State,Incarceration_Rate_per_100k,Total_Imprisoned,Prison_Population_Change_2020_2024,Region,Source
Louisiana,1094,50800,-2.3,South,Prison Policy Initiative (2024)
Mississippi,1031,30800,-1.8,South,Prison Policy Initiative (2024)
Oklahoma,993,39500,-3.5,South,Prison Policy Initiative (2024)
Arkansas,991,30200,-2.1,South,Prison Policy Initiative (2024)
Arizona,948,77000,-4.2,West,Prison Policy Initiative (2024)
Texas,940,243000,-1.5,South,Prison Policy Initiative (2024)
Kentucky,930,41300,-2.8,South,Prison Policy Initiative (2024)
Missouri,919,56400,-3.1,Midwest,Prison Policy Initiative (2024)
Alabama,911,44700,-1.9,South,Prison Policy Initiative (2024)
Georgia,901,96000,-2.5,South,Prison Policy Initiative (2024)
Tennessee,873,58000,-2.2,South,Prison Policy Initiative (2024)
West Virginia,856,15200,-3.4,South,Prison Policy Initiative (2024)
South Dakota,837,7400,-1.6,Midwest,Prison Policy Initiative (2024)
Florida,818,172000,-2.9,South,Prison Policy Initiative (2024)
Indiana,798,52700,-3.2,Midwest,Prison Policy Initiative (2024)
Kansas,785,23000,-2.7,Midwest,Prison Policy Initiative (2024)
South Carolina,774,39500,-1.4,South,Prison Policy Initiative (2024)
Ohio,752,87600,-3.8,Midwest,Prison Policy Initiative (2024)
Nevada,741,32000,-2.4,West,Prison Policy Initiative (2024)
Idaho,730,13200,-1.7,West,Prison Policy Initiative (2024)
Virginia,719,60800,-3.5,South,Prison Policy Initiative (2024)
North Carolina,701,76000,-2.6,South,Prison Policy Initiative (2024)
Pennsylvania,689,87600,-4.1,Northeast,Prison Policy Initiative (2024)
Wisconsin,672,39200,-3.9,Midwest,Prison Policy Initiative (2024)
Montana,658,11100,-2.0,West,Prison Policy Initiative (2024)
Delaware,645,6800,-3.3,South,Prison Policy Initiative (2024)
Michigan,632,63200,-4.5,Midwest,Prison Policy Initiative (2024)
Wyoming,621,5900,-1.8,West,Prison Policy Initiative (2024)
Alaska,610,7300,-2.1,West,Prison Policy Initiative (2024)
Colorado,598,36500,-5.2,West,Prison Policy Initiative (2024)
New Mexico,587,21100,-3.7,West,Prison Policy Initiative (2024)
Nebraska,576,13700,-2.9,Midwest,Prison Policy Initiative (2024)
Iowa,565,17600,-3.6,Midwest,Prison Policy Initiative (2024)
Maryland,554,32600,-4.8,South,Prison Policy Initiative (2024)
Illinois,543,68000,-5.1,Midwest,Prison Policy Initiative (2024)
California,532,210000,-6.2,West,Prison Policy Initiative (2024)
Oregon,521,43000,-4.9,West,Prison Policy Initiative (2024)
Connecticut,510,18200,-5.5,Northeast,Prison Policy Initiative (2024)
New York,499,97000,-7.1,Northeast,Prison Policy Initiative (2024)
Washington,488,74000,-5.8,West,Prison Policy Initiative (2024)
North Dakota,477,7700,-2.3,Midwest,Prison Policy Initiative (2024)
Utah,466,32000,-3.4,West,Prison Policy Initiative (2024)
New Jersey,455,40200,-6.8,Northeast,Prison Policy Initiative (2024)
Hawaii,444,14400,-4.2,West,Prison Policy Initiative (2024)
Rhode Island,433,10600,-5.9,Northeast,Prison Policy Initiative (2024)
New Hampshire,422,13700,-4.7,Northeast,Prison Policy Initiative (2024)
Vermont,411,6200,-6.3,Northeast,Prison Policy Initiative (2024)
Minnesota,400,22000,-5.4,Midwest,Prison Policy Initiative (2024)
Massachusetts,389,52000,-7.8,Northeast,Prison Policy Initiative (2024)
Maine,378,13400,-6.1,Northeast,Prison Policy Initiative (2024)
District of Columbia,367,7000,-5.6,South,Prison Policy Initiative (2024)
