State,Cost_per_Inmate_Annual,Total_Corrections_Budget_Millions,Rehabilitation_Program_Spending_Pct,Source
Louisiana,18500,940,8.2,Prison Policy Initiative (2024); State Budget Documents
Mississippi,19200,590,7.5,Prison Policy Initiative (2024); State Budget Documents
Oklahoma,20100,795,9.1,Prison Policy Initiative (2024); State Budget Documents
Arkansas,19800,598,8.8,Prison Policy Initiative (2024); State Budget Documents
Arizona,26500,2042,12.3,Prison Policy Initiative (2024); State Budget Documents
Texas,22800,5540,10.5,Prison Policy Initiative (2024); State Budget Documents
Kentucky,21300,880,9.7,Prison Policy Initiative (2024); State Budget Documents
Missouri,23500,1325,11.2,Prison Policy Initiative (2024); State Budget Documents
Alabama,20800,932,8.9,Prison Policy Initiative (2024); State Budget Documents
Georgia,22100,2122,10.1,Prison Policy Initiative (2024); State Budget Documents
California,81000,17010,22.5,Prison Policy Initiative (2024); State Budget Documents
New York,69000,6693,24.8,Prison Policy Initiative (2024); State Budget Documents
Florida,25100,4315,11.8,Prison Policy Initiative (2024); State Budget Documents
Illinois,38400,2611,18.9,Prison Policy Initiative (2024); State Budget Documents
Pennsylvania,42500,3723,16.3,Prison Policy Initiative (2024); State Budget Documents
Ohio,29700,2603,14.7,Prison Policy Initiative (2024); State Budget Documents
North Carolina,25800,1963,12.5,Prison Policy Initiative (2024); State Budget Documents
Michigan,38100,2410,17.2,Prison Policy Initiative (2024); State Budget Documents
New Jersey,61600,2475,19.8,Prison Policy Initiative (2024); State Budget Documents
Virginia,28900,1760,13.4,Prison Policy Initiative (2024); State Budget Documents
Washington,45900,3399,21.3,Prison Policy Initiative (2024); State Budget Documents
Massachusetts,69900,3634,26.1,Prison Policy Initiative (2024); State Budget Documents
Indiana,24300,1280,13.9,Prison Policy Initiative (2024); State Budget Documents
Tennessee,23700,1374,12.7,Prison Policy Initiative (2024); State Budget Documents
Maryland,46700,1524,20.5,Prison Policy Initiative (2024); State Budget Documents
Wisconsin,38200,1500,16.8,Prison Policy Initiative (2024); State Budget Documents
Minnesota,42300,930,23.4,Prison Policy Initiative (2024); State Budget Documents
Colorado,39800,1453,19.7,Prison Policy Initiative (2024); State Budget Documents
South Carolina,23100,913,13.1,Prison Policy Initiative (2024); State Budget Documents
Oregon,43200,1858,22.8,Prison Policy Initiative (2024); State Budget Documents
Connecticut,62600,1140,21.9,Prison Policy Initiative (2024); State Budget Documents
Iowa,35400,622,15.3,Prison Policy Initiative (2024); State Budget Documents
Kansas,27800,640,14.2,Prison Policy Initiative (2024); State Budget Documents
Nevada,32100,1024,15.8,Prison Policy Initiative (2024); State Budget Documents
Utah,30500,976,16.5,Prison Policy Initiative (2024); State Budget Documents
New Mexico,31800,670,14.9,Prison Policy Initiative (2024); State Budget Documents
West Virginia,24600,374,12.3,Prison Policy Initiative (2024); State Budget Documents
Nebraska,33900,465,16.1,Prison Policy Initiative (2024); State Budget Documents
Idaho,28400,374,14.8,Prison Policy Initiative (2024); State Budget Documents
Maine,51200,686,25.3,Prison Policy Initiative (2024); State Budget Documents
New Hampshire,47300,647,24.7,Prison Policy Initiative (2024); State Budget Documents
Rhode Island,58100,615,23.2,Prison Policy Initiative (2024); State Budget Documents
Montana,35700,397,15.9,Prison Policy Initiative (2024); State Budget Documents
Delaware,44800,305,19.1,Prison Policy Initiative (2024); State Budget Documents
South Dakota,29300,217,14.5,Prison Policy Initiative (2024); State Budget Documents
North Dakota,37600,289,17.8,Prison Policy Initiative (2024); State Budget Documents
Alaska,52800,385,20.2,Prison Policy Initiative (2024); State Budget Documents
Vermont,60100,372,27.5,Prison Policy Initiative (2024); State Budget Documents
Wyoming,34200,202,15.4,Prison Policy Initiative (2024); State Budget Documents
Hawaii,54300,781,23.9,Prison Policy Initiative (2024); State Budget Documents
District of Columbia,65400,458,22.1,Prison Policy Initiative (2024); State Budget Documents
