State,Three_Year_Recidivism_Rate,Rearrest_Rate,Reconviction_Rate,Recidivism_Trend_2018_2024,Source
Louisiana,72.5,78.3,53.2,-5.2,Council on Criminal Justice (2024); State DOC Reports
Mississippi,70.8,76.5,51.8,-6.1,Council on Criminal Justice (2024); State DOC Reports
Oklahoma,69.2,74.8,50.5,-7.3,Council on Criminal Justice (2024); State DOC Reports
Arkansas,68.5,74.2,50.0,-6.8,Council on Criminal Justice (2024); State DOC Reports
Arizona,67.3,73.1,49.1,-8.5,Council on Criminal Justice (2024); State DOC Reports
Texas,66.8,72.5,48.7,-7.1,Council on Criminal Justice (2024); State DOC Reports
Kentucky,66.2,71.9,48.3,-6.9,Council on Criminal Justice (2024); State DOC Reports
Missouri,65.7,71.3,47.9,-7.8,Council on Criminal Justice (2024); State DOC Reports
Alabama,65.1,70.7,47.5,-6.3,Council on Criminal Justice (2024); State DOC Reports
Georgia,64.5,70.1,47.1,-7.5,Council on Criminal Justice (2024); State DOC Reports
California,49.2,55.8,35.8,-15.2,Council on Criminal Justice (2024); State DOC Reports
New York,48.7,55.2,35.5,-16.8,Council on Criminal Justice (2024); State DOC Reports
Florida,63.8,69.5,46.6,-8.2,Council on Criminal Justice (2024); State DOC Reports
Illinois,52.3,58.9,38.2,-14.3,Council on Criminal Justice (2024); State DOC Reports
Pennsylvania,58.4,64.2,42.6,-10.5,Council on Criminal Justice (2024); State DOC Reports
Ohio,60.2,66.1,43.9,-9.7,Council on Criminal Justice (2024); State DOC Reports
North Carolina,62.1,67.9,45.3,-8.9,Council on Criminal Justice (2024); State DOC Reports
Michigan,54.7,60.5,39.9,-12.1,Council on Criminal Justice (2024); State DOC Reports
New Jersey,51.8,57.6,37.8,-13.5,Council on Criminal Justice (2024); State DOC Reports
Virginia,63.5,69.2,46.3,-8.7,Council on Criminal Justice (2024); State DOC Reports
Washington,47.3,53.1,34.5,-17.3,Council on Criminal Justice (2024); State DOC Reports
Massachusetts,46.8,52.5,34.1,-18.1,Council on Criminal Justice (2024); State DOC Reports
Indiana,61.4,67.2,44.8,-9.4,Council on Criminal Justice (2024); State DOC Reports
Tennessee,64.2,69.9,46.8,-8.1,Council on Criminal Justice (2024); State DOC Reports
Maryland,50.5,56.3,36.8,-14.8,Council on Criminal Justice (2024); State DOC Reports
Wisconsin,56.3,62.1,41.1,-11.2,Council on Criminal Justice (2024); State DOC Reports
Minnesota,48.9,54.7,35.7,-16.5,Council on Criminal Justice (2024); State DOC Reports
Colorado,50.1,55.9,36.6,-15.7,Council on Criminal Justice (2024); State DOC Reports
South Carolina,62.8,68.6,45.8,-9.2,Council on Criminal Justice (2024); State DOC Reports
Oregon,48.2,53.9,35.2,-16.9,Council on Criminal Justice (2024); State DOC Reports
Connecticut,49.7,55.5,36.2,-15.3,Council on Criminal Justice (2024); State DOC Reports
Iowa,55.8,61.6,40.5,-10.8,Council on Criminal Justice (2024); State DOC Reports
Kansas,59.3,65.1,43.3,-10.1,Council on Criminal Justice (2024); State DOC Reports
Nevada,60.7,66.5,44.5,-10.5,Council on Criminal Justice (2024); State DOC Reports
Utah,57.2,63.0,41.9,-11.8,Council on Criminal Justice (2024); State DOC Reports
New Mexico,58.9,64.7,43.1,-10.3,Council on Criminal Justice (2024); State DOC Reports
West Virginia,63.1,68.9,46.1,-8.5,Council on Criminal Justice (2024); State DOC Reports
Nebraska,56.7,62.5,41.5,-11.5,Council on Criminal Justice (2024); State DOC Reports
Idaho,59.8,65.6,43.7,-10.2,Council on Criminal Justice (2024); State DOC Reports
Maine,45.3,51.1,33.1,-19.2,Council on Criminal Justice (2024); State DOC Reports
New Hampshire,46.1,51.9,33.7,-18.5,Council on Criminal Justice (2024); State DOC Reports
Rhode Island,48.5,54.3,35.3,-16.7,Council on Criminal Justice (2024); State DOC Reports
Montana,58.4,64.2,42.3,-11.3,Council on Criminal Justice (2024); State DOC Reports
Delaware,54.2,60.0,39.3,-13.2,Council on Criminal Justice (2024); State DOC Reports
South Dakota,60.1,65.9,43.9,-10.7,Council on Criminal Justice (2024); State DOC Reports
North Dakota,52.7,58.5,38.0,-13.8,Council on Criminal Justice (2024); State DOC Reports
Alaska,51.3,57.1,37.1,-14.5,Council on Criminal Justice (2024); State DOC Reports
Vermont,44.8,50.6,32.8,-19.8,Council on Criminal Justice (2024); State DOC Reports
Wyoming,59.2,65.0,43.5,-10.9,Council on Criminal Justice (2024); State DOC Reports
Hawaii,47.9,53.7,35.0,-17.1,Council on Criminal Justice (2024); State DOC Reports
District of Columbia,50.8,56.6,37.0,-15.9,Council on Criminal Justice (2024); State DOC Reports
