State,Sentencing_Reform_2020_2024,Marijuana_Legalization,Bail_Reform,Reentry_Programs,Prison_Education_Programs,Source
Louisiana,Yes,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Mississippi,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Oklahoma,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Arkansas,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Arizona,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Texas,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Kentucky,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Missouri,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Alabama,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Georgia,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
California,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
New York,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Florida,Limited,Medical Only,No,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Illinois,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Pennsylvania,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Ohio,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
North Carolina,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Michigan,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
New Jersey,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Virginia,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Washington,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Massachusetts,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Indiana,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Tennessee,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Maryland,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Wisconsin,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Minnesota,Yes,Recreational,Limited,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Colorado,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
South Carolina,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Oregon,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Connecticut,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Iowa,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Kansas,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Nevada,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Utah,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
New Mexico,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
West Virginia,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Nebraska,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Idaho,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Maine,Extensive,Recreational,Limited,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
New Hampshire,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Rhode Island,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Montana,Yes,Recreational,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Delaware,Yes,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
South Dakota,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
North Dakota,Yes,Medical Only,Limited,Moderate,Moderate,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Alaska,Yes,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Vermont,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Wyoming,Limited,Medical Only,No,Basic,Limited,The Sentencing Project (2024); NCSL Criminal Justice Legislation
Hawaii,Extensive,Medical Only,Limited,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
District of Columbia,Extensive,Recreational,Extensive,Comprehensive,Extensive,The Sentencing Project (2024); NCSL Criminal Justice Legislation
