State,Three_Strikes_Law,Mandatory_Minimum_Drug_Laws,Death_Penalty,Felony_Disenfranchisement,Good_Time_Credits,Source
Louisiana,Yes,Strict,Yes,Permanent,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Mississippi,No,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Oklahoma,No,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Arkansas,Yes,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Arizona,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Texas,Yes,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Kentucky,No,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Missouri,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Alabama,Yes,Strict,Yes,Permanent,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Georgia,Yes,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
California,Yes,Reformed,Yes,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
New York,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Florida,Yes,Strict,Yes,Permanent,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Illinois,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Pennsylvania,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Ohio,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
North Carolina,Yes,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Michigan,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
New Jersey,Yes,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Virginia,Yes,Strict,Yes,Permanent,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Washington,Yes,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Massachusetts,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Indiana,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Tennessee,Yes,Strict,Yes,Permanent,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Maryland,Yes,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Wisconsin,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Minnesota,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Colorado,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
South Carolina,Yes,Strict,Yes,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Oregon,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Connecticut,Yes,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Iowa,No,Moderate,No,Permanent,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Kansas,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Nevada,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Utah,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
New Mexico,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
West Virginia,No,Strict,No,After Sentence,Limited,The Sentencing Project (2024); Prison Policy Initiative (2024)
Nebraska,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Idaho,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Maine,No,Reformed,No,Restored,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
New Hampshire,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Rhode Island,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Montana,Yes,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Delaware,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
South Dakota,No,Moderate,Yes,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
North Dakota,No,Moderate,No,After Sentence,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Alaska,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Vermont,No,Reformed,No,Restored,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
Wyoming,No,Moderate,Yes,Permanent,Moderate,The Sentencing Project (2024); Prison Policy Initiative (2024)
Hawaii,No,Reformed,No,After Sentence,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
District of Columbia,No,Reformed,No,Restored,Generous,The Sentencing Project (2024); Prison Policy Initiative (2024)
