"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings and Outcomes"
"Career and technical education program’s influences on post-release outcomes for offenders in Virginia","https://scispace.com/paper/career-and-technical-education-program-s-influences-on-post-5ffskleiyv","2010","","","Rosemaliza Kamalludeen","","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Virginia CTE program to show lower recidivism and better employment for ex‑offenders, directly linking education to outcomes and referencing human‑capital theory.","Correctional education’s effectiveness in improving the lives of ex-offenders has been constantly debated. Human capital theory suggests that a person’s income is greatly increased by investments in education and training. Correctional education aims to improve an ex- offender’s life post-release through investment in education. This paper describes post-release employment outcomes and recidivism rates among ex-offenders in Virginia based on their participation in career and technical education (CTE) programs. The aim of the study was to investigate the impact of CTE on time to gain employment post-release, length of employment, and average quarterly earnings among ex-offenders, as well as recidivism. Results revealed better employment outcomes and lower recidivism rates among program participants, suggesting positive influences of correctional education on post-release outcomes among ex-offenders. Further investigation is suggested to include demographics and other variables as they might have direct or indirect effects on ex-offenders’ employment outcomes and recidivism likelihood.","Career and technical education (CTE) programs showed better employment outcomes and lower recidivism rates among ex-offenders in Virginia. These results suggest positive influences of correctional education on post-release outcomes. The study investigated the impact of CTE on time to gain employment, length of employment, and average quarterly earnings. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are provided in the metadata."
"Are Schools in Prison Worth It? The Effects and Economic Returns of Prison Education","https://scispace.com/paper/are-schools-in-prison-worth-it-the-effects-and-economic-c9mty67z4q","2023","Journal Article","American Journal of Criminal Justice","Ben Stickle
Steven Sprick Schuster","10.1007/s12103-023-09747-3","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses meta‑analysis of prison education programs to show reduced recidivism, higher post‑release employment/wages, and strong economic returns; links education to human‑capital gains and policy recommendations, though detailed curriculum specifics and uniform long‑term follow‑up are limited.","Abstract Recent expansions in prison school offerings and the re-introduction of the Second Chance Pell Grant have heightened the need for a better understanding of the effectiveness of prison education programs on policy-relevant outcomes. We estimate the effects of various forms of prison education on recidivism, post-release employment, and post-release wages. Using a sample of 152 estimates drawn from 79 papers, we conducted a meta-analysis to estimate the effect of four forms of prison education (adult basic education, secondary, vocational, and college). We find that prison education decreases recidivism and increases post-release employment and wages. The largest effects are experienced by prisoners participating in vocational or college education programs. We also calculate the economic returns on educational investment for prisons and prisoners. We find that each form of education yields large, positive returns due primarily to the high costs of incarceration and, therefore, high benefits to crime avoidance. The returns vary across education types, with vocational education having the highest return per dollar spent ($3.05) and college having the highest positive impact per student participating ($16,908). ","Prison education decreases recidivism and increases post-release employment and wages, with vocational and college programs showing the largest effects. Each education type yields large, positive economic returns, primarily due to crime avoidance. Vocational education has the highest return per dollar spent ($3.05), while college education has the highest positive impact per student ($16,908)."
"Prison-Based Training Programs, Recidivism, and Employment","https://scispace.com/paper/prison-based-training-programs-recidivism-and-employment-249r9ylqr5","2023","Preprint","","Maria Antonella Mancino","10.2139/ssrn.4509303","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Shows that prison-based social and job‑skills training cuts recidivism, boosts employment, and models mechanisms, focusing on juvenile inmates with policy relevance.","In this paper, I study the effects of prison-based social skills and job skills training programs on post-release employment and crime outcomes. First, I provide empirical evidence that these programs significantly reduce recidivism and increase employment in the medium term. To do so, I take advantage of a rich panel dataset on serious juvenile offenders, the Pathways to Desistance. Second, I develop and estimate a model of crime, employment, and prison-based training program participation, which allows me to explore the underlying mechanisms. In the model, training programs alter individuals' preferences towards crime and provide information about the legal labor sector, facilitating the transition once released. I find that participating in a prison program increases the psychic cost of crime and reduces the average time to receive a job offer by a month, partially neutralizing the negative effect of criminal records. I further use the model to show that prison-based training programs have significant effects on crime and employment even if criminal experience has accumulated, and that policies that reduce the cost of training programs can have important and lasting effects on subsequent crime and employment outcomes. ","Prison-based training programs significantly reduce recidivism and increase post-release employment in the medium term. These programs alter individuals' preferences towards crime and provide information about the legal labor sector. Participation increases the psychic cost of crime and reduces the average time to receive a job offer by one month, even for those with accumulated criminal experience. The paper suggests that reducing program costs can have lasting effects."
"How Effective Is Correctional Education, and Where Do We Go from Here?","https://scispace.com/paper/how-effective-is-correctional-education-and-where-do-we-go-38os6jubl2","2014","","","Lois M. Davis
Jennifer L. Steele
Robert Bozick
Malcolm V. Williams
Susan Turner
Jeremy N. V. Miles
Jessica Saunders
Paul S. Steinberg","","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses systematic review and meta‑analysis to assess correctional education’s impact on recidivism and employment, links outcomes to education, compares costs, and discusses policy.","More than two million adults are incarcerated in US prisons, and each year more than 700,000 leave federal and state prisons and return to communities. Unfortunately, within three years, 40 per cent will be reincarcerated. One reason for this is that ex-offenders lack the knowledge, training, and skills to support a successful return to communities. Trying to reduce such high recidivism rates is partly why states devote resources to educating and training individuals in prison. This raises the question of how effective - and cost-effective - correctional education is - an even more salient question given the funding environment states face from the 2008 recession and its continuing aftermath. The RAND team conducted a systematic review of correctional education programs for incarcerated adults and juveniles. This included a meta-analysis on correctional education's effects on recidivism and post-release employment outcomes for incarcerated adults, as well as a synthesis of evidence on programs for juveniles. The study also included a nationwide survey of state correctional education directors to understand how correctional education is provided today and the recession's impact. The authors also compared the direct costs of correctional education with those of reincarceration to put the recidivism findings into a broader context.","The systematic review included a meta-analysis on correctional education's effects on recidivism and post-release employment outcomes for incarcerated adults. It also synthesized evidence on programs for juveniles. The study compared direct costs of correctional education with reincarceration costs to contextualize recidivism findings, but specific quantitative effect sizes or cost-benefit ratios are not detailed in the metadata."
"Effectiveness of Vocational Education and Employment Programs for Adult Offenders","https://scispace.com/paper/effectiveness-of-vocational-education-and-employment-4k3rjwpb0c","2000","Journal Article","Journal of Offender Rehabilitation","Jeffrey A. Bouffard
Doris Layton MacKenzie
Laura J. Hickman","10.1300/J076V31N01_01","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses systematic review to assess vocational programs in prisons, showing reduced recidivism and improved employment, links education to outcomes, discusses human‑capital gains and policy, with limited cost and implementation detail.","A number of jurisdictions have adopted vocational education and employment programs intended, among other aims, to reduce recidivism among adult correctional populations. Because of the well-established links between low educational attainment, unemployment and crime, these programs do seem to target a risk factor for recidivism. Whether, in fact, they are effective in reducing future offending behavior is still open to question. This review assesses the empirical status of the effectiveness of vocational education and employment programs by drawing conclusions based upon systematic rankings of methodological rigor of individual program evaluations. Evaluation research in vocational education/job training, community employment, and correctional industries program areas was assessed. Based upon rankings of methodological rigor and specific decision criteria for assessing overall empirical support for program effectiveness, several types were identified as generally successful at reducing offender ...","The paper identifies several types of vocational education and employment programs as generally successful at reducing offender recidivism. It assesses the empirical status of these programs by systematically ranking methodological rigor of individual evaluations, focusing on vocational education/job training, community employment, and correctional industries. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are detailed in the metadata."
"How Effective is Correctional Education?: The Results of a Meta-Analysis","https://scispace.com/paper/how-effective-is-correctional-education-the-results-of-a-3j2rxfxigb","2013","Book","","Lois M. Davis
Robert Bozick
Jennifer L. Steele
Jessica Saunders
Jeremy N. V. Miles","10.7249/RB9728","https://scispace.com/pdf/how-effective-is-correctional-education-the-results-of-a-3j2rxfxigb.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses meta‑analysis of correctional education programs to show 43% lower recidivism odds and modest employment gains; links outcomes to education type, discusses cost‑effectiveness and policy, but provides limited curriculum specifics and primary longitudinal data.","To examine the effectiveness of correctional education and its association with reductions in recidivism and improvement in employment after release from prison, the authors present the results a comprehensive literature review and meta-analysis.","Correctional education significantly reduces recidivism, with participants having 43 percent lower odds of reoffending and a 13 percentage point reduction in reincarceration risk. Vocational training increased post-release employment odds by 28 percent. High school/GED programs showed a 30 percent lower recidivism odds. Correctional education is cost-effective, with reincarceration costs $870,000 to $970,000 less for educated inmates."
"The Impact of Vocational Education and Training Programs on Recidivism: A Systematic Review of Current Experimental Evidence:","https://scispace.com/paper/the-impact-of-vocational-education-and-training-programs-on-5p4se2gdkx","2018","Journal Article","International Journal of Offender Therapy and Comparative Criminology","Danielle Newton
Andrew Day
Margaret Giles
Joanne Wodak
Joseph Graffam
Eileen Baldry
Eileen Baldry","10.1177/0306624X16645083","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses experimental/quasi‑experimental vocational programs in prisons to assess recidivism reduction, links outcomes to education, includes employment effects, focuses on inmates, offers policy guidance, touches on skill development, but lacks cost analysis and detailed curriculum description.","Although the association between unemployment and offending is well established, relatively little is known about the impact of vocational education and training programs on re-offending, with much of the previous work in this area failing to control for, or correct, selection bias. This article reports the findings of a systematic review, which considers the findings of only those studies that have used experimental or quasi-experimental designs to evaluate vocational training and employment program outcomes for adult offenders. The analysis identifies key features, based on these studies, of those programs associated with the best outcomes and recommends selection criteria for those who are most likely to benefit from prison vocational education and training.","This systematic review identifies key features of vocational training and employment programs associated with the best outcomes for adult offenders. It also recommends selection criteria for those most likely to benefit from prison vocational education and training. The analysis focuses on studies using experimental or quasi-experimental designs to evaluate program outcomes. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are available in the provided metadata."
"The effects of prison-based educational programming on recidivism and employment","https://scispace.com/paper/the-effects-of-prison-based-educational-programming-on-2j4psozeh2","2014","Journal Article","The Prison Journal","Grant Duwe
Valerie A. Clark","10.1177/0032885514548009","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses prison-based education to assess secondary/post‑secondary degree effects on recidivism and employment, directly linking outcomes; follows released inmates over time and discusses policy, human‑capital benefits, with limited implementation detail and no cost analysis.","This study evaluated the effectiveness of prison-based educational programming by examining the effects of obtaining secondary and post-secondary degrees on recidivism and post-release employment o...","The study evaluated prison-based educational programming, examining the effects of obtaining secondary and post-secondary degrees on recidivism and post-release employment within the US Prison System. The authors aimed to determine the effectiveness of such programs in reducing recidivism and improving employment outcomes. No specific quantitative effect sizes, cost-benefit ratios, or ROI estimates are detailed in the provided metadata."
"Prison Vocational Education and Post-release Employment Outcomes: A Systematic Review","https://scispace.com/paper/GMRkBreb30QJ","","","","DG Smith","","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=ysu1754330390640078&disposition=inline","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses systematic review of prison vocational programs to show strong links to employment gains, reduced recidivism, human‑capital growth, and policy recommendations.","","The systematic review supported Human Capital and Social Learning Theories, emphasizing correctional education practices for successful reintegration and recidivism reduction. Findings showed strong links between prison vocational programs and employment gains. Quantitative effect sizes, cost-benefit ratios, or ROI estimates are not available in the metadata."
"An evaluation of the effect of correctional education programs on post-release recidivism and employment: An empirical study in Indiana","https://scispace.com/paper/an-evaluation-of-the-effect-of-correctional-education-2j54c3ba0s","2012","Journal Article","Journal of correctional education","John M. Nally
Susan Lockwood
Katie Knutson
Taiping Ho","","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Indiana correctional education program data to show reduced recidivism and higher post‑release employment among inmates, directly linking education to outcomes; mentions human‑capital benefits and policy relevance but lacks cost analysis, detailed curriculum info, and long‑term follow‑up.","","Correctional education programs in Indiana were found to reduce recidivism and increase post-release employment among inmates. The study directly linked education to these positive outcomes, highlighting human-capital benefits. Quantitative effect sizes, cost-benefit ratios, or ROI estimates are not available in the metadata."
