"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings and Outcomes"
"Return on Investment in Public and Private Higher Education Institutions in Vietnam: A Comparative Analysis","https://scispace.com/paper/sJioaTglnr0J","","","","CD Bao","","https://www.academia.edu/download/124917766/1IJEBM_OCT20251_Returnon.pdf","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses human‑capital theory to model earnings gains; quantifies tuition and opportunity costs, computes ROI; measures graduate wages and employment rates; focuses on public universities while also comparing private institutions; links investment to labor‑market outcomes but does not fully isolate public‑sector productivity effects; offers policy recommendations; employs econometric techniques; provides direct sector‑by‑sector return comparison.","","The paper uses human-capital theory to model earnings gains and quantifies tuition and opportunity costs to compute Return on Investment (ROI). It measures graduate wages and employment rates, providing a direct sector-by-sector return comparison. The study employs econometric techniques to link education investment to labor-market outcomes, offering policy recommendations."
"Return on Investment on Naval Education & Research","https://scispace.com/paper/XIau6B8sxU8J","","","","J Mun","","https://calhoun.nps.edu/bitstream/handle/10945/67430/ROI%20Education%20-%20Final%20Report.pdf?sequence=1","- **Relevance Score:** 83/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ROI metrics to quantify naval education costs, reports 20% productivity gain, links training investment to public‑sector workforce outcomes, and frames analysis in human‑capital terms.","","The study quantifies naval education costs using ROI metrics, reporting a ""20% productivity gain and 5% skill productivity differential."" It links training investment to public-sector workforce outcomes, framing the analysis in human capital terms. Determining ROI in human capital requires a large dataset to assess economic and incalculable returns."
"Return on investment of rapid ICU workforce upskilling: an economic and cost-effectiveness analysis","https://scispace.com/paper/return-on-investment-of-rapid-icu-workforce-upskilling-an-rv9psh3vujpw","2025","Journal Article","Intensive Care Medicine","C Ebm
M Istrate
F Van Gelder
GJ Szőllősi","10.1007/s00134-025-08033-6","https://link.springer.com/content/pdf/10.1007/s00134-025-08033-6.pdf","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses detailed ROI and cost‑benefit modeling of a publicly funded ICU upskilling program; links training investment to system capacity gains; frames analysis in economic terms but without explicit human‑capital theory or wage‑based labor‑market metrics.","Although healthcare crises are infrequent, they may place extraordinary stress on Intensive Care Units (ICUs), often exposing critical weaknesses in workforce planning and resulting in acute staffing shortages. This study presents a comprehensive economic evaluation of large-scale, rapid ICU workforce upskilling as a strategic response to such pressures. Specifically, we assess the cost-effectiveness, economic sustainability, and resilience-building potential of these interventions during crisis conditions. C19_SPACE, a Europe-wide upskilling initiative led by the European Society of Intensive Care Medicine (ESICM), was implemented across 24 countries between 2020 and 2021. A societal economic evaluation and return on investment (ROI) was calculated through deterministic modeling and validated using probabilistic sensitivity analysis across a range of plausible scenarios, including variations in patient throughput, training efficacy, and healthcare system parameters. The total societal investment in the program was €20.1 million, translating to an average cost of €1146 per participant and €1720 per Quality-Adjusted Healthcare Worker (QAHW). Deterministic modeling estimated an ROI of 478%, with program costs fully recovered in just 5.1 days. Probabilistic sensitivity analysis confirmed the robustness of these findings, with a mean ROI of 455% (95% CI 130–1029%) and a median break-even point of 5.4 days (95% CI 2.66–13.04 days). Rapid, structured ICU workforce upskilling initiatives deliver substantial economic returns and significantly expands healthcare capacity. Strategic investment in emergency workforce upskilling is economically sound and crucial for healthcare system resilience during future crises.","Rapid, structured ICU workforce upskilling initiatives demonstrate substantial economic returns. The C19_SPACE program, a Europe-wide initiative, had a total societal investment of €20.1 million, costing €1146 per participant. Deterministic modeling estimated a 478% ROI, with program costs recovered in 5.1 days. Probabilistic sensitivity analysis confirmed a mean ROI of 455% and a median break-even point of 5.4 days, significantly expanding healthcare capacity and building resilience."
"Rate of return on investment in university education: A case study of Iraq","https://scispace.com/paper/rate-of-return-on-investment-in-university-education-a-case-5giw99qit9","1993","Dissertation","","Hamid Sultan. Jawad","","https://figshare.le.ac.uk/articles/thesis/Rate_of_return_on_investment_in_university_education_A_case_study_of_iraq_/10187543/1/files/18357842.pdf","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses cost‑benefit analysis to compute private and social ROI for 15 university programs; measures wage‑related returns; links findings to government spending decisions; less direct on public‑sector workforce specifics.","RATE OF RETURN ON INVESTMENT IN UNIVERSITY EDUCATION A CASE STUDY OF IRAQ by Hamid Sultan JAWAD This study is concerned with a cost-benefit analysis of university education in Iraq. The major purpose is the calculation of the monetary private and social rate of return to investment in particular forms of university education in Iraq, represented by University of Baghdad. The subjects chosen for calculating were fifteen different programs. The present study evaluated the decision to invest in various university subject groups at age eighteen (i.e. immediately after secondary school graduation) and at later age. Costs and benefits are caleulated from point of view of three entities: Private; the institution; and society as a whole. Costs and benefits per student year and per graduate are also calculated. The results indicate that private rates of return are higher than social rates of return in all subject groups; that the social and private rates of return on investment in Engineering are the highest; that the private and social rates of return for Medicine program higher than other programs (four-year and five-year program) except for engineering; that the private rates of return to investment in five programs (Engineering, Medicine, Pharmacy, Dentistry, and Veterinary Medicine) are found to be greater than returns associated with other land of investment i.e . to exceed 12%); that the social rate of return on investment in all four-year subject groups, except Engineering are found lower than 7% ; that the social rate of return, while the social rate of return in Engineering is greater than 12%; that there is a negative relationship between the commencement age and private rate of return; that there is a positive relationship between commencement age and foregone earnings (private cost). The implications of these results for allocation of government spending on university education in Iraq are discussed.","The study found private rates of return on university education in Iraq are higher than social rates, with Engineering having the highest social and private returns. Private returns for Engineering, Medicine, Pharmacy, Dentistry, and Veterinary Medicine exceeded 12%. A negative relationship exists between commencement age and private return, and a positive one between commencement age and foregone earnings."
"FACTORS ANALYSIS ON RETURN ON INVESTMENT TO TECHNICAL, VOCATIONAL EDUCATION AND TRAINING IN CAMBODIA","https://scispace.com/paper/gGDdUFwF2V8J","","","","SOK CHANRITHY","","https://cjes-dsrmoeys.com/wp-content/uploads/2025/06/1ce71-sok-chanrithy_cjes.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human‑capital theory to link TVET spending with earnings gains; quantifies education costs and ROI; reports wage and employment effects; primarily examines Cambodian TVET, which is largely publicly funded but not framed as a specific public‑sector workforce program; integrates ROI and labor‑market outcomes but stops short of a full public‑sector productivity linkage.","","This study uses human-capital theory to examine factors affecting economic and monetary returns on investments in Technical, Vocational Education and Training (TVET) in Cambodia. It quantifies education costs and ROI, reporting wage and employment effects. The paper integrates ROI and labor-market outcomes, primarily for publicly funded TVET, linking spending with earnings gains."
"Analysis of the Return Model of Educational Investment Decision","https://scispace.com/paper/analysis-of-the-return-model-of-educational-investment-k8w27zpsarxj","","","","CHEN Ye-ling
XIAO Hao","10.3969/j.issn.1673-1298.2011.06.014","","- **Relevance Score:** 67/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a human‑capital lens to model education ROI, quantifies direct, opportunity, and mental costs, links returns to wages and employment, includes government investment but lacks a focused public‑sector workforce‑development program analysis.","In the cost-return function model of education investment built in this study,investment costs include direct cost,opportunity cost and mental cost;and investment return consists of economic benefits and non-economic gains.The study transformed mental cost and non-economic gains into values and incorporated them in the model.The results show that education efficiency,wage level and employment rate affected education return directly,and the students' talent,current human capital level,family and government education investment level had positive effect on education return.The study also explores the education investment decision and equilibrium of family and government through comparing the return rates of physical capital,family education investment and government education investment,from the short-term and long-term perspective.It is suggested that deepening education investment requires improving education environment and labor market,attaching importance to individual talent and aiming at economic and social sustainable development.","The study found education efficiency, wage level, and employment rate directly affected education return. Students' talent, current human capital level, and family/government education investment positively impacted education return. The model incorporated mental costs and non-economic gains, comparing return rates of physical, family, and government education investments. No quantitative estimates of ROI, wage premiums, or cost-benefit ratios are provided."
"Education and Workforce Development Cost-Benefit Analysis Guidance","https://scispace.com/paper/u_EPor2CuXQJ","","","","EIFE into Force
GDPGD Product
UAU Assessment","","","- **Relevance Score:** 63/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Provides detailed CBA guidance rooted in human‑capital theory; mentions productivity gains but lacks empirical wage or employment data; oriented toward public‑sector programs but offers methodology rather than a full integrated ROI case study.","","The guidance emphasizes human capital's importance, facilitating technology adoption, and increasing efficiency and productivity. It provides detailed cost-benefit analysis guidance rooted in human capital theory. While it mentions productivity gains and is oriented toward public-sector programs, the metadata lacks empirical wage or employment data, specific quantitative estimates of ROI, or cost-benefit ratios."
"E-learning and Labour Market: Wage-premium Analysis","https://scispace.com/paper/e-learning-and-labour-market-wage-premium-analysis-9osyu5oy8b","2008","Journal Article","International Journal of Educational Technology in Higher Education","David Castillo Merino
Jordi Vilaseca i Requena
Enric Serradell López
Natàlia Valls Ruiz","10.7238/RUSC.V5I1.322","https://scispace.com/pdf/e-learning-and-labour-market-wage-premium-analysis-9osyu5oy8b.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human‑capital theory to link e‑learning to wage premiums; quantifies education costs and ROI; measures wage effects; lacks explicit public‑sector program focus, so ROI‑productivity link to public workforce is only indirect.","The link between ICT and the demand for high-skilled labour is due to the fact that the introduction of digital technologies alters the skill requirements of occupations in three main ways (Spitz, 2003): 1) ICT capital substitutes repetitive manual and repetitive cognitive activities, 2) ICT capital is complementary to analytic and interactive activities, and 3) ICT capital increases the requirement for computing skills. Within this framework, we have analysed the determinants of labour productivity of individuals that have taken higher education programmes online to test how occupational skill requirements and the degree of ICT adoption by the industry matches skills of online students. In order to do this, we have assumed an implicit relationship between education and ability (Griliches and Mason, 1972), recognizing that online students may acquire specific skills, such as computing skills and abilities related to ICT use. For the empirical analysis we have used a database of degree students from the UOC (Universitat Oberta de Catalunya). The results from our model based on Mincerian equations show three important facts: 1) schooling is not a significant variable to explain wage differentials; 2) experience, understood as previous productivity and production losses avoided, is the most important variable explaining improvement of wages; and 3) ICT skills have a positive and significant effect on wage levels.","The paper's Mincerian analysis of online degree students revealed that schooling is not a significant variable for wage differentials, but experience is the most important factor for wage improvement. ICT skills positively and significantly affect wage levels, yet related soft skills (technical knowledge, continuous learning, etc.) do not significantly impact wages, indicating a gap between worker skills and industry needs. The study emphasizes the importance of ICT capital in altering occupational skill requirements."
"THAILAND: USING COST-BENEFIT ANALYSIS TO DERIVE THE RATES-OF-RETURN IN DIFFERENT LEVELS OF EDUCATION.","https://scispace.com/paper/HdIQY2vW-9UJ","","","","K Sethasathien","","","- **Relevance Score:** 60/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses human‑capital framework to link education spending with productivity gains; quantifies costs and benefits to compute ROI; reports wage and employment effects; lacks focus on government‑run workforce programs, so integration with public‑sector labor‑market outcomes is limited.","","This study uses a human-capital framework and cost-benefit analysis to derive rates-of-return for different education levels in Thailand. It quantifies costs and benefits to compute the return on investment (ROI), linking education expenditures to greater productivity. The analysis reports wage and employment effects, indicating labor market returns from educational investments."
"Research On Cost-Benefit Analysis And Path Optimization Of Attracting And Retaining Talents In County-level Vocational Education","https://scispace.com/paper/research-on-cost-benefit-analysis-and-path-optimization-of-crwi1z5i1q4t","2025","Journal Article","","H Yuxi
Q Yueqiong","10.63650/jeve.v4i3.61","https://zyjyts.cn/index.php/tet/article/download/61/37","- **Relevance Score:** 56/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses detailed cost‑benefit analysis for county vocational talent programs; focuses on public‑sector training; references human‑capital ideas but lacks wage/productivity data; provides ROI estimates without full labor‑market outcome linkage.","","The study uses detailed cost-benefit analysis for county vocational talent programs, focusing on public-sector training. It reveals key bottlenecks and optimization paths concerning the cost-benefit imbalance of attracting and retaining talents. While referencing human capital ideas and providing ROI estimates, the paper lacks explicit wage/productivity data and a full linkage to labor-market outcomes."
