"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The effect of education on crime: Evidence from prison inmates, arrests, and self-reports","https://scispace.com/paper/the-effect-of-education-on-crime-evidence-from-prison-3xn6jz4upa","2001","Posted Content","Social Science Research Network","Lance Lochner
Lance Lochner
Enrico Moretti
Enrico Moretti
Enrico Moretti","","https://www.nber.org/system/files/working_papers/w8605/w8605.pdf","- **Relevance Score:** 89/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses IV estimates to quantify schooling's crime‑reduction effect; provides prison, arrest, and self‑report case studies; links high‑school graduation to human‑capital gains, with limited theory definition and modest policy discussion.","We estimate the effect of high school graduation on participation in criminal activity accounting for endogeneity of schooling. We begin by analyzing the effect of high school graduation on incarceration using Census data. Instrumental variable estimates using changes in state compulsory attendance laws as an instrument for high school graduation uncover a significant reduction in incarceration for both blacks and whites. When estimating the impact of high school graduation only, OLS and IV estimators estimate different weighted sums of the impact of each schooling progression on the probability of incarceration. We clarify the relationship between OLS and IV estimates and show that the 'weights' placed on the impact of each schooling progression can explain differences in the estimates. Overall, the estimates suggest that completing high school reduces the probability of incarceration by about .76 percentage points for whites and 3.4 percentage points for blacks. We corroborate these findings using FBI data on arrests that distinguish among different types of crimes. The biggest impacts of graduation are associated with murder, assault, and motor vehicle theft. We also examine the effect of drop out on self-reported crime in the NLSY and find that our estimates for imprisonment and arrest are caused by changes in criminal behavior and not educational differences in the probability of arrest or incarceration conditional on crime. We estimate that the externality of education is about 14-26% of the private return to schooling, suggesting that a significant part of the social return to education comes in the form of externalities from crime reduction."
"A review of human capital theory: Microeconomics","https://scispace.com/paper/a-review-of-human-capital-theory-microeconomics-4zu8gu4orv","2007","Journal Article","Social Science Research Network","Kai-Joseph Fleischhauer","10.2139/SSRN.957993","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=957993","- **Relevance Score:** 87/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses comprehensive definition and measurement review; focuses on education investment contexts; discusses taxes/subsidies; includes empirical overviews but lacks detailed case studies or cross‑group comparisons.","With the beginning of the new millennium it has become more and more apparent that education and human capital constitute a key element of modern economies. Despite the important role of human capital in modern societies, there are still many unknowns about the process of educational production as well as individual and collective decisions concerning how much and what kind of education to obtain. Chapter 1 of my PhD thesis aims at providing a better understanding of the process of human capital formation and educational attainment. Although human capital plays an important role in both microeconomics and macroeconomics, we focus on the former branch of literature in order to analyze the individual incentives to acquire skills. 
This literature review is divided into six parts each of them representing an important topic of human capital literature. First, we introduce the basic concept of human capital that models individuals as investing in skills in response to the expected returns to education. After this, we investigate the different implications of investments in general and specific human capital and then provide an overview of various empirical studies measuring the rate of return to education. Because educational attainment may also be affected by other factors such as school characteristics or family background, we review the literature on educational production functions and discuss the significance of potential inputs into the process of educational production. Subsequently, we refer to models of human capital accumulation over the life-cycle that manage to replicate the empirical life-cycle patterns concerning the age-earnings profile of individuals. Finally, we analyze the effects of taxation and education subsidies on human capital formation."
"The influence of the knowledge-based economy agenda on the integration of Roma : a case study of higher education in Slovakia","https://scispace.com/paper/the-influence-of-the-knowledge-based-economy-agenda-on-the-3gxqojin3v","2011","Dissertation","","S. Wissmann","","https://scispace.com/pdf/the-influence-of-the-knowledge-based-economy-agenda-on-the-3gxqojin3v.pdf","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Defines human capital, measures via education categories, applies theory to Roma education, provides Slovak case study, analyzes schooling investment, mentions 1960s origins and policy reforms.","More than ten million Roma live in the European Union (Beger & Grabbe, 2010). Many of them face discrimination and social exclusion. Although Roma face discrimination in several areas of society, the focus of this paper will be on Roma in the education system of Slovakia.
There are between 100,000 and 500,000 Roma in Slovakia thus being one of the largest minority groups (Roma Education Fund, 2007). Besides several attempts to end the discrimination of Roma it is still present today. Many Roma children are already segregated in primary school to special classes or schools for mentally handicapped children. Only 2.2% of Roma children finish secondary school as their highest education and only 0.4% complete higher education (Salner, 2005). This low level of education is one of the main problems of Roma and limits their access to the labour market (Grienig, 2010). The low level of education forms a vicious circle because it leads to discrimination in the labour market, which leads to a lower income of Roma households and thus less money to spend for the education of Roma children. The main reason why Roma do not get access to higher education is due to their previous educational attainment (Roma Education Fund, 2007). In order to access higher education in Slovakia students have to pass the final examinations in secondary school. However, the attainment of the vysvedcenie o maturitnej skuske (as the certificate is called in Slovak) might not be the only entrance requirement. Institutions can require entrance examinations or set other criteria. (European Commission, 2010a)
The low level of schooling of Roma leads to a loss of human capital of Slovakia because Roma do not acquire the same knowledge and skills other citizens get. In order to face globalization however more and more human capital is needed to build “knowledge-based economies”. This is even more so now when Slovakia has become a member of the European Union. Human capital and knowledge are very important resources of economies in the EU."
"The relationship between participation in different types of training programs and gainful employment for formerly incarcerated individuals","https://scispace.com/paper/the-relationship-between-participation-in-different-types-of-53kskxlm5n","2018","Journal Article","Human Resource Development Quarterly","Candace Flatt
Candace Flatt
Ronald L. Jacobs","10.1002/HRDQ.21325","https://scispace.com/pdf/the-relationship-between-participation-in-different-types-of-53kskxlm5n.pdf","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses training program data to test human capital theory for formerly incarcerated; measures employment outcomes as proxy; provides empirical case study; evaluates education investment effects; offers policy recommendations but lacks formal theory definition, historical overview, and cross‑group comparison.",""
"Investing in futures: Economic and fiscal benefits of postsecondary education in prison","https://scispace.com/paper/investing-in-futures-economic-and-fiscal-benefits-of-x6oi24ujx3","2019","","","Patrick Oakford
Cara Brumfield
Casey Goldvale
Margaret diZerega
Fred Patrick","","https://risingscholarsnetwork.org/wp-content/uploads/assets/general/investing-in-futures.pdf","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses prison postsecondary education to illustrate human capital gains, estimates earnings and recidivism impacts, provides policy recommendations, but lacks formal theory definition and broader historical context.","Efforts to build robust postsecondary education programs in prison have accelerated in recent years, with support from a broad range of groups from correctional officers to college administrators. This report describes how lifting the current ban on awarding Pell Grants to incarcerated people would benefit workers, employers, and states. Specifically, it analyzes the potential employment and earnings impact of postsecondary education programs in prison; identifies the millions of job openings annually that require the skills a person in prison could acquire through postsecondary education; and estimates the money states
would save through lower recidivism rates these postsecondary education programs would yield."
"Measuring Human Capital in Higher Education","https://scispace.com/paper/measuring-human-capital-in-higher-education-2ft4ikrqas","2013","Journal Article","Advances in Latent Variables - Methods, Models and Applications","Pietro Giorgio Lovaglio
Gianmarco Vacca
Stefano Verzillo","","","- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a solid HC definition, uses Generalized Redundancy Analysis to measure HC, applies to university graduates, offers case study data, evaluates education's limited impact, hints at policy relevance, and compares two university samples.","The concept of Human Capital (HC) could be defined, from an economical viewpoint, as a stock variable representing the capacity of an individual to produce a sustained flow of income due to its investment in (higher) education and work experience. This paper focuses on the empirical estimation of the latent variable HC, composed of two principal dimensions, Educational HC and Work Experience HC, within a realistic structural model allowing causal relationship among endogenous and exogenous indicators taking into account possible effects of concomitants indicators. To this end, new administrative archives and a novel methodological approach, called Generalized Redundancy Analysis are used. The methodology is applied to estimate HC of graduates in two universities of the Milan area in the early stages of their working career. The empirical results confirm the structure of the Italian job market, where the work experience and economic background of origin family play significant roles for explaining the economic performance of graduates in the labour market, contrary to investment in HC through higher education."
"The Economic Way of Looking at Behavior: The Nobel Lecture","https://scispace.com/paper/the-economic-way-of-looking-at-behavior-the-nobel-lecture-3chqc57rjx","1996","Book","","Gary S. Becker
Peace","","https://scispace.com/pdf/the-economic-way-of-looking-at-behavior-the-nobel-lecture-3chqc57rjx.pdf","- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Defines human capital, outlines returns and measurement, links education investment, gives historical context, discusses crime policy; limited specific focus on prisoners or military, no cross‑group comparison.",""
"Human Capital: Educational Aspects","https://scispace.com/paper/human-capital-educational-aspects-3fiivf7yp0","2001","Book Chapter","","M. Woodhall","10.1016/B0-08-043076-7/02469-4","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Defines human capital and its stock of skills; uses rates of return to measure returns to education; applies theory to education investment contexts; lacks concrete case studies; discusses policy impacts; offers limited historical overview; no comparative group analysis.","The economic concept ‘human capital’ refers to the fact that education and training can be regarded as a form of investment that will increase future levels of income for both individuals and society, by making people more productive, in the same way as buildings or machinery represent investment in physical capital. Economists traditionally measure the relationship between costs and benefits of investment by estimating ‘rates of return.’ This article examines the applicability of the economic concept of human capital to education, summarizes research and literature on educational aspects of human capital, discusses ways in which estimates of rates of return to education and the links between education, employment and economic growth have influenced education policy, particularly on financing of education, and examines criticisms of human capital theories, including the idea that education may represent a ‘screening device,’ rather than a genuinely productive form of investment. The article ends with a discussion of the more recently developed concept of ‘social capital,’ which challenges narrow definitions of human capital."
"Human Capital: A Theoretical and Empirical Analysis, with Special Reference to Education","https://scispace.com/paper/human-capital-a-theoretical-and-empirical-analysis-with-2enwamuyk2","2009","Book","","Gary S. Becker","","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides a clear definition of human capital and uses earnings regressions to measure returns; focuses on education investment, offers empirical illustrations, gives historical context, and discusses policy, but lacks specific military/prisoner applications or cross‑group comparisons.","""Human Capital"" is Becker's study of how investment in an individual's education and training is similar to business investments in equipment. Becker looks at the effects of investment in education on earnings and employment, and shows how his theory measures the incentive for such investment, as well as the costs and returns from college and high school education. Another part of the study explores the relation between age and earnings. This edition includes four new chapters, covering recent ideas about human capital, fertility and economic growth, the division of labour, economic considerations within the family, and inequality in earnings."
"The Evolution of the Returns to Human Capital in Canada, 1980-2006","https://scispace.com/paper/the-evolution-of-the-returns-to-human-capital-in-canada-1980-a57lch6cvr","2008","Posted Content","Research Papers in Economics","Brahim Boudarbat
Thomas Lemieux
W. Craig Riddell","","https://scispace.com/pdf/the-evolution-of-the-returns-to-human-capital-in-canada-1980-a57lch6cvr.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Canadian earnings data to estimate average returns to university versus high‑school education, employing earnings regressions and treatment‑effect analysis; focuses on education investment outcomes, provides a clear human‑capital definition, and offers a concrete university‑vs‑high‑school case study. Briefly mentions policy relevance of marginal returns; lacks historical overview and cross‑group comparisons.","This paper examines the evolution of the returns to human capital in Canada over the period 1980-2006. Most of the analysis is based on Census data, and on weekly wage and salary earnings of full-time workers. Our main finding is that the returns to education increased substantially for Canadian men between 1980 and 2000, in contrast to conclusions reached in previous studies. For example, the adjusted wage gap between men with exactly a bachelorsâ€™ degree and men with only a high school diploma increased from 34 percent to 43 percent during this period. Most of this rise took place in the early 1980s and late 1990s. Returns to education also rose for Canadian women, but the magnitudes of the increases were more modest. For instance, the adjusted BA-high school wage differential among women increased about 4 percentage points between 1980 and 1985 and remained stable thereafter. Results based on Labour Force Survey data show the upward trend in returns to education has recently been reversed for both men and women. Another important development is that after fifteen years of expansion (1980-1995), the return to work experience measured by the wage gap between younger and older workers declined between 1995 and 2000. Finally, we find little difference between measures based on means and those based on medians of log wages for both genders. Also, the use of broader earnings measures (such as including self-employment earnings, using weekly earnings of all workers, or using annual earnings of full-time workers) does not alter the main conclusions from the analysis based on weekly wage and salary earnings of full-time workers."
