"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Die Theorie der institutionellen Rollenmodelle als Grundlagentheorie für Transformationsprozesse in Organisationen","https://scispace.com/paper/die-theorie-der-institutionellen-rollenmodelle-als-wj46gozbz0","2021","Book Chapter","","Wolfgang H. Schulz
Oliver Franck
Stanley Smolka","10.1007/978-3-662-62148-6_5","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses system theory and system dynamics to build algorithmic role‑model calculations; integrates institutional economics but lacks public‑sector focus, human‑capital or policy‑friction analysis. Provides limited quantitative modeling, no empirical case or policy guidance.","Die Theorie der institutionellen Rollenmodelle (IRM) ist ein dynamisches Organisationsmodell, welches zwei Ziele verfolgt. Einerseits die Reduzierung von Unsicherheiten fur alle beteiligten Akteure und andererseits die Entwicklung eines Vertrauensverhaltnisses, die Etablierung einer diskriminierungsfreien Kooperationsdynamik und die Verfolgung gemeinsamer Interessen. Das IRM bedient sich aus drei unterschiedlichen Disziplinen: Die Institutionenokonomik, die Systemtheorie sowie die Systemdynamik. Die Vernetzung dieser drei Disziplinen fuhrt unweigerlich zu einem komplexen Gebilde, das jedoch zwingend notwendig ist, um die Systemkomplexitat der zu untersuchenden Organisation adaquat erfassen zu konnen. Zu den grundlegenden Bestandteilen des Modells gehoren die Elemente: „Rollen und Funktionen“, „Akteure“ und „Regeln“. Diese drei Elemente werden anhand einer Zahlenkodierung bewertet und in die algorithmische Kalkulation einbezogen. Das aus den Kalkulationen resultierende Ergebnis bietet eine optimale Grundlage, um ein Organisationssystem effektiv, effizient und diskriminierungsfrei zu strukturieren. Dies ermoglicht Organisationen in den unterschiedlichsten Themengebieten ihr volles Potenzial auszuschopfen. Ziel dieses Beitrages ist die Anwendung der Theorie der Institutionellen Rollenmodelle auf die Themengebiete der Digitalisierung, der Kunstlichen Intelligenz, des maschinellen Lernens sowie der Innovationsforderung."
"Towards Efficient Hospital Management: Theoretical Model of Systemic Management Policies","https://scispace.com/paper/towards-efficient-hospital-management-theoretical-model-of-c8asvadx3g94","2025","Journal Article","","Juan Pablo González Rivas
Irma Perez de Mezzogori
Raquel Barrios
Edgar Gabriel Chirinos Gutiérrez","10.70164/ihsr.v1i2.4","","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses systems theory to model hospital efficiency; provides a real‑world case study with concrete policy recommendations; lacks Institutional Throughput Theory integration and formal modeling.","This article presents a theoretical model of managerial policies aimed at optimizing hospital efficiency in non-profit public entities. It analyzes the “Antonio Maria Pineda” University Hospital using a complementary qualitative and quantitative approach. Based on systems theory, it proposes strategies emphasizing operational efficiency, equity, and sustainability. It identifies issues in resource allocation and the lack of integrated information systems, negatively affecting service quality. Recommendations include implementing management indicators, training personnel, and adopting digital technologies for evidence-based decision-making, improving hospital management comprehensively. "
"Efficiency dynamics in Latin American healthcare reforms: a comprehensive growth mixture analysis within institutional theory","https://scispace.com/paper/efficiency-dynamics-in-latin-american-healthcare-reforms-a-p6mkic4zmrk7","2025","Journal Article","","Claudia Isabel Vivas Tobar
Diana Escandon-Barbosa
Jairo Salas-Paramo
Víctor Giménez","10.1108/jhom-11-2022-0347","https://www.emerald.com/insight/content/doi/10.1108/jhom-11-2022-0347/full/pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses growth mixture analysis of Latin American health reforms to assess public‑sector efficiency; discusses institutional theory and human‑resource deployment, but lacks systems‑theory integration, formal modeling, and comparative framing.",""
"The Effect of Balanced Scorecard as a Strategic Implementation Tool to Enhance Efficiency at Kenya Bureau of Standards","https://scispace.com/paper/the-effect-of-balanced-scorecard-as-a-strategic-7scpirb57g","2016","Journal Article","IOSR Journal of Business and Management","Listone Kipkirui Langat
Daniel M. Wanyoike","10.9790/487X-180803112125","https://scispace.com/pdf/the-effect-of-balanced-scorecard-as-a-strategic-7scpirb57g.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses open systems theory to analyse KBS; focuses on efficiency gains via Balanced Scorecard; provides a Kenya case study with recommendations; lacks Institutional Throughput Theory integration, human‑capital focus, and formal modelling.","The Government of Kenya has made substantial investment in the public sector through creation of diverse corporations. However, most public sector firms have not shown the required levels of efficiency and effectiveness that would be required of them. This has necessitated diverse measures such as the Results Based Management System (RBMS) which was initiated by the Government of Kenya in 2005. This management system has been put in place to ensure efficiency and effectiveness in service delivery in public sector organizations. Therefore the Kenya Bureau of Standards (KEBS), like any other public sector organizations, is required to operate under the RBMS of which Performance Contracts (PC) are a key component. The application of the Balanced Score Card (BSC) in the strategy management process has been found to be a useful tool in the clarification of the vision and mission of organizations and the rallying of the organizational members towards its achievement. This study examined the role of the BSC as a strategic implementation tool to enhance efficiency at KEBS. The specific research objectives included the examination of financial perspective, customer perspective, internal business processes perspective, and learning and growth perspective of the BSC on the efficiency at KEBS. The theoretical underpinning of the study was open systems theory and the institutions' theory. The study was based on the descriptive research design with the target population of 150 management staff at KEBS. The sample size is 109 respondents. The study out the following; that there was a significant relationship between financial perspective of the balanced scorecard and organizational efficiency at KEBS. This was attributed to the availability and sufficiency of resources at both the organizational and departmental levels for KEBS to execute its mandates at those levels on time, and in the required scope hence improving on the organizational efficiency. Secondly, there was a significant relationship between the customer perspective aspect of the BSC and organizational efficiency at KEBS. The customer perspective was important to the organizational efficiency at KEBS through reduction of turnaround timelines in service delivery. There was also a significant relationship between the internal business process perspective of the BSC and organizational efficiency at KEBS. This was attributed to the internal business processes ability to influence customer satisfaction. Lastly, there was a significant and positive relationship between learning and growth perspective aspect of the BSC and organizational efficiency at the organization. This significance was attributed to the ability of KEBS to benchmark and learn on best practices on diverse aspects of its mandates. The study recommends that KEBS should focus on the learning and growth perspective of the balanced scorecard as it had the greatest influence on its organizational efficiency. The study suggests further studies on the examination on other financial perspective metrics of the balanced scorecard and the ways in which it can help in organizational efficiency at KEBS."
"Exploring the Role of Human Capital Management on Organizational Success: Evidence from Public Universities","https://scispace.com/paper/exploring-the-role-of-human-capital-management-on-4oqvwz5kxb","2016","Journal Article","Management Dynamics in the Knowledge Economy Journal","Odunayo Paul Salau
Hezekiah Olubusayo Falola
Ayodotun Stephen. Ibidunni
Ebeguki Edith Igbinoba","","https://scispace.com/pdf/exploring-the-role-of-human-capital-management-on-4oqvwz5kxb.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses human capital theory to link skills development with performance; applies cybernetic input‑throughput‑output model (systems lens). Lacks Institutional Throughput Theory integration and detailed policy‑friction analysis; provides limited empirical data from Ghana/Nigeria universities, no formal modeling, modest policy suggestions.","The demand for higher education in Nigeria has been considered as not only an investment in human capital, but also a pre-requisite for economic development. Consequent upon the expansion of higher education in Nigeria, quite a number of institutions have suffered decay due to poor work environments, inadequate educational facilities and poor funding which have resulted into unabated brain drain, strike and turnover. However, the need to develop talents is no longer hidden, what remains controversial is knowing the best method for managing human capacity especially in Nigerian State owned universities. Thus, this study examined the relationship between human capital management and organizational success using three State owned universities in Southwest, Nigeria. These universities (Ekiti State University (EKSU), Lagos State University (LASU), Tai Solarin University of Education (TASUED) were chosen for their uniqueness. Survey research design was adopted with 398 respondents (staff). Self-administered questionnaire was adopted and analyzed with the adoption of Structural Equation Modelling (SEM). However, the results indicated that adequate leadership practices; learning capacity; workforce optimization; knowledge accessibility; workplace culture and; mentorship are significant predictors of organizational success in higher education."
"Measuring government management capacity: A comparative analysis of city human resources management systems","https://scispace.com/paper/measuring-government-management-capacity-a-comparative-3mz0drzjay","2000","Journal Article","Journal of Public Administration Research and Theory","Amy K. Donahue
Sally Coleman Selden
Patricia W. Ingraham","10.1093/OXFORDJOURNALS.JPART.A024274","https://www.researchgate.net/profile/Patricia-Ingraham/publication/275107687_Measuring_Government_Management_Capacity_A_Comparative_Analysis_of_City_Human_Resources_Management_Systems/links/559fe09008ae5ab90245a1fe/Measuring-Government-Management-Capacity-A-Comparative-Analysis-of-City-Human-Resources-Management-Systems.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses city HR management data to compare capacities across municipalities; measures outcomes but lacks Institutional Throughput or Systems Theory integration, modeling, or barrier analysis.","This article fills a gap in both the public management and human resources literatures by applying a conceptual model supported by a criteria-based evaluative framework to assess and compare the nature and capacity of city government human . resources management systems. Various management reforms have swept through many American governments recently, but practitioners and researchers have not reflected carefully on how these reforms contribute to management effectiveness. One management system that has received relatively little systematic attention is human resources management. The easting research about assessing human resources is sparse, focuses on the private sector, and fails to converge upon a set of criteria for evaluating human resources management systems comprehensively. In earlier work, we proposed a theory that dissects the black box of government management to identify key management systems and define their contribution to management capacity and to overall government performance. In this article, we refine this model by developing a set of criteria that serve as indicators of the effectiveness of human resources management systems. We apply our framework and criteria to a sample of cities in an empirical analysis that measures human resources management capacity and controls for two key environmental contingencies: unionization and government structure. We find that higher capacity governments are able to achieve better human resources outcomes, and that more unionized governments and those that a senior professional administrative officer generally have lower human resources management capacity."
"… a Theoretical Model for Human Resource Management Information Systems, Government Policy and Organizational Performance: A Research Agenda","https://scispace.com/paper/ayHDX7A5kvkJ","","","","SI Akoyo
SMA Muathe","","https://ir-library.ku.ac.ke/bitstreams/eb5d3350-3f13-43a2-8d3f-6bd69e0178c9/download","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses HRMIS to examine human‑capital leverage and boosts public‑sector performance; lacks explicit Institutional Throughput or Systems Theory integration and formal modelling.",""
"Factors influencing project funds utilization in water service boards in Kenya: the case of Tana water services board","https://scispace.com/paper/factors-influencing-project-funds-utilization-in-water-1vu5ef5mij","2014","Dissertation","","Issa Mohammed Ismail","","https://scispace.com/pdf/factors-influencing-project-funds-utilization-in-water-1vu5ef5mij.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Systems Theory to discuss institutional capacity; examines barriers and political interference affecting project implementation; provides a Kenyan water board case study; lacks explicit Institutional Throughput Theory integration, human‑capital conversion analysis, formal modeling, and comparative frameworks.","Kenya faces serious challenges with regards to provision of water services despite the efforts of investments provided in the past years by the Government and development partners since existing facilities have continued to deteriorate and fail to meet the demand of the increasing the population, particularly in many rural areas and the very rapidly growing settlements of the urban poor. This challenge is more so due to over reliance of external funding to build sustainable water systems. Poor project funds utilization makes many water projects not to see the day light. Therefore, this study set out to investigate factors affecting projects funds utilization in Water Service Boards in Kenya. It therefore focused on the influence of funding requirements, institutional capacity, management information systems and policy framework or project funds utilization. The study was conducted through a descriptive research design. The study targeted workers in Tana Water Service Board in Nyeri. The study was conducted through a census. Both primary and secondary data were used to collect information for the study. Descriptive statistics as well as inferential statistics was used for the analysis. This infers that institutional capacity contributes most to the project funds utilization followed by management information system, policy frame work and institutional capacity. This study also established that funds allocated to projects by the government and other organizations should be disbursed in time. The study also found that most of the projects were not staffed appropriately. This study therefore recommends that more staff should be employed to work in projects so as to staff projects appropriately."
"Building sustainable capacity in the public sector: what can be done?","https://scispace.com/paper/building-sustainable-capacity-in-the-public-sector-what-can-j5kcpeazo7","1995","Journal Article","Public Administration and Development","Merilee S. Grindle
Mary E. Hilderbrand","10.1002/PAD.4230150502","","- **Relevance Score:** 18/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses six country case studies to identify cultural and managerial drivers of performance; lacks Institutional Throughput or Systems Theory integration, formal modeling, or comparative theory analysis.","Effective government performance is central to the creation of market-oriented economies, secure and productive populations, and democratic political systems in developing countries. Capacity building to improve public sector performance is thus an important focus of development initiatives. Several implicit assumptions underlie most such efforts: that organizations or training activities are the logical site for capacity-building interventions; that administrative structures and monetary rewards determine organizational and individual performance; that organizations work well when structures and control mechanisms are in place; and that individual performance improves as a result of skill and technology transfer through training activities. Each of these assumptions is called into question by the findings of research carried out in six developing countries and reported in this article. Our studies indicate designing interventions that most constructively address sources of poor performance must follow from an assessment of a relatively broad set of variables, including the action environment in which all such activities take place. We also found that effective public sector performance is more often driven by strong organizational cultures, good management practices, and effective communication networks than it is by rules and regulations or procedures and pay scales. Our case studies further indicate that individual performance is more affected by opportunities for meaningful work, shared professional norms, teamwork, and promotion based on performance rather than it is by training in specific skills. In this article, we describe a framework or conceptual map that emphasizes that training activities, organizational performance and administrative structures are embedded within complex environments that significantly constrain their success and that often account for training or organizational failure. When it was applied in the six case study countries, the framework proved useful in identifying capacity gaps and providing a tool for the strategic design of interventions that are sensitive to the roots of performance deficits. This allows us to conclude that the assumptions underlying many capacity-building initiatives may focus attention on interventions that do not generate the highest payoffs in terms of improved performance."
"Challenges in building the capacity of human resource development in decentralized local governments: Evidence from Ghana","https://scispace.com/paper/challenges-in-building-the-capacity-of-human-resource-5ghqb9wd7m","2008","Journal Article","Management Research News","K.B. Antwi
Farhad Analoui","10.1108/01409170810876071","","- **Relevance Score:** 18/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses Ghana local‑government HR data to explore capacity challenges; lacks Institutional Throughput or Systems Theory integration, but provides empirical case insights and modest policy suggestions.","Purpose – The purpose of this paper is to explore and try to understand the human side of public sector reform (PSR) in local government in Ghana in the context of the challenges facing human resource capacity building and development policies.Design/methodology/approach – Adopting an exploratory case study design, the paper triangulates both secondary and primary sources of data. Primary data were generated from self‐completing questionnaire and interview schedule tools covering 105 local government employees selected from national, regional and district levels. Semi‐structured interviews also solicited views from 16 senior public officers and managers in nine public and quasi‐public organizations. These primary sources were complemented with relevant secondary documents from the organisations investigated.Findings – It was found that Ghana's PSR has significantly influenced the strategic direction of human resource development policies of the decentralized local government service. Major challenges in h..."
