"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Key Findings and Outcomes"
"Fighting for education: Financial aid and degree attainment","https://scispace.com/paper/fighting-for-education-financial-aid-and-degree-attainment-jccpd3zsoh","2019","Journal Article","Journal of Labor Economics","Andrew Barr","10.1086/700191","https://people.tamu.edu/~abarr/Fighting_Education_Aug_2017.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Post‑9/11 GI Bill data to link tuition aid with degree completion, earnings, and occupational outcomes; details eligibility and funding; examines skill acquisition; employs quasi‑experimental methods on panel data; includes limited cost‑benefit discussion.","The Post-9/11 GI Bill brought about the largest expansion in veteran education benefits since the end of World War II, increasing annual benefit expenditures from $3 billion to more than $13 billio...","Not available in metadata."
"The Effect of Veterans Benefits on Education and Earnings","https://scispace.com/paper/the-effect-of-veterans-benefits-on-education-and-earnings-400v5j6f05","1993","Journal Article","Industrial and Labor Relations Review","Joshua D. Angrist","10.1177/001979399304600404","https://www.jstor.org/stable/2524309","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses 1987 Survey of Veterans to estimate GI Bill benefits increase schooling by 1.4 years and earnings ~6%, detailing program design, eligibility, and human‑capital gains; measures post‑military earnings; employs instrumental‑variable style estimates; tracks veterans longitudinally; includes basic cost‑benefit insight via earnings premium.","Veterans benefits that subsidize education and training constitute the largest federal program for student aid. Using data from the 1987 Survey of Veterans, the author presents estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings. Veterans benefits are estimated to increase schooling by roughly 1.4 years, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits. This premium appears to accrue primarily to the 77% of benefit users who attended college or graduate school. Beginning with the 1944 G.I. Bill, the federal government has subsidized education and training for veterans of the armed forces. The rationale for the original G.I. Bill was to speed the transition to peacetime production and to compensate veterans whose educational plans were interrupted by military service. Increasingly, however, veterans benefits have come to be seen as an essential","Veterans benefits are estimated to increase schooling by roughly 1.4 years. This leads to annual earnings approximately 6% higher than expected without benefits. This earnings premium primarily accrues to the 77% of benefit users who attended college or graduate school, indicating a significant human capital development effect."
"Veterans Educational Benefits: Post-9/11 GI Bill's Impact on African American Men","https://scispace.com/paper/npWsaQa2rQ8J","","","","C Peters","","https://www.oxy.edu/sites/default/files/assets/UEP/Comps/Cameron%2520Peters_Veterans%2520Educational%2520Benefits.pdf","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Post‑9/11 GI Bill data to link tuition assistance with African American veterans' college completion, credential gains, and post‑service employment/earnings; details eligibility and funding; examines skill and credential acquisition; measures labor market outcomes. Evaluation methods and panel tracking are implied but not central; no cost‑benefit analysis.","","The Post-9/11 GI Bill facilitates college attainment and credential gains for African American veterans. It links tuition assistance to college completion and improved post-service employment/earnings, contributing to human capital development. The paper examines skill and credential acquisition and measures labor market outcomes, but specific quantitative effect sizes or ROI estimates are not detailed in the metadata."
"The Effect of Veterans Benefits on Veterans' Education and Earnings","https://scispace.com/paper/the-effect-of-veterans-benefits-on-veterans-education-and-hvv2nvg5ii","1990","Report","Social Science Research Network","Joshua D. Angrist
Joshua D. Angrist
Joshua D. Angrist","10.3386/W3492","https://scispace.com/pdf/the-effect-of-veterans-benefits-on-veterans-education-and-hvv2nvg5ii.pdf","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses VA benefits data to causally link tuition assistance to 1.4 extra schooling years and ~6% earnings gain; discusses GI Bill design and eligibility; focuses on skill/credential gains; measures post‑service earnings.","The majority of armed forces veterans make use of the subsidized training and educational benefits provided by the Department of Veterans Affairs. The effect of veterans benefits on educational attainment am civilian earnings is estimated here using the Census Bureau's 1987 Survey of Veterans. Two identification strategies are employed to control for unobserved characteristics that are correlated with educational attainment and benefit usage. First, a fixed effects strategy is implemented by exploiting information on educational attainment at the time of entry to service. Second, instrumental variables estimates are computed, where the excluded instruments are interactions between period of service am educational attainment at entry to service. The effect of veterans benefits on earnings is estimated by decomposing the return to education into a return to the grade completed at entry to service and a return to the post-entry grade increment. Veterans benefits are estimated to increase schooling by roughly 1.4 years and the grade increment is worth roughly 4.3 percent, so that veterans benefits raise annual earnings by approximately 6 percent. This premium appears to accrue primarily to the 77 percent of benefit users who attended college or graduate school.","Veterans benefits are estimated to increase schooling by roughly 1.4 years. This grade increment is worth approximately 4.3 percent, leading to an overall increase in annual earnings of about 6 percent for benefit users. This premium primarily accrues to the 77 percent of benefit users who attended college or graduate school. The 6 percent premium has a discounted 1986 dollar value of 17,717 over a 30-year working life."
"You Can’t Handle The Truth: The Effects Of The Post-9/11 Gi Bill On Higher Education And Earnings","https://scispace.com/paper/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62","2021","Report","Research Papers in Economics","Andrew Barr
Laura Kawano
Bruce Sacerdote
William L. Skimmyhorn
Michael Stevens","10.3386/W29024","https://scispace.com/pdf/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62.pdf","- **Relevance Score:** 86/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Post‑9/11 GI Bill expansion to assess education uptake and earnings, detailing program design, enrollment shifts, degree gains, and veteran earnings, with modest causal methods and panel tracking but no cost‑benefit analysis.","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the U.S. We examine the impact of the PGIB on veterans’ college-going, degree completion, federal education tax benefit utilization, and long run earnings. Among veterans potentially induced to enroll, the introduction of the PGIB raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a base of 9 percent). But, the PGIB reduced average annual earnings nine years after separation from the Army by $900 (on a base of $32,000). Years enrolled effects are larger and earnings effects more negative for veterans with lower AFQT scores and those who were less occupationally skilled. Under a variety of conservative assumptions, veterans are unlikely to recoup these reduced earnings during their working careers. All veterans who were already enrolled in college at the time of bill passage increase their months of schooling, but only for those in public institutions did this translate into increases in bachelor’s degree attainment and longer-run earnings. For specific groups of students, large subsidies can modestly help degree completion but harm long run earnings due to lost labor market experience.","The Post-9/11 GI Bill raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a 9% base). However, it reduced average annual earnings by $900 nine years post-separation (on a $32,000 base), a 2-3% reduction. This negative effect, largely due to lost labor market experience and low-return investments, makes recouping earnings unlikely. The implied average cost per additional bachelor's degree exceeds $590,000."
"You Can’t Handle the Truth: the Effects of the Post-9/11 Gi Bill on Higher Education and Earnings","https://scispace.com/paper/you-cant-handle-the-truth-the-effects-of-the-post-9-11-gi-83k32co8hzoz","","","","Andrew Barr
Laura Kawano
Bruce Sacerdote
William Skimmyhorn
Michael Stevens","10.2139/ssrn.3889130","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses PGIB to assess enrollment, degree completion, and earnings; provides program context; links tuition aid to human‑capital gains; measures post‑service labor market results.","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the U.S. We examine the impact of the PGIB on veterans' college-going, degree completion, federal education tax benefit utilization, and long run earnings.Among veterans potentially induced to enroll, the introduction of the PGIB raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a base of 9 percent).But, the PGIB reduced average annual earnings nine years after separation from the Army by $900 (on a base of $32,000).Years enrolled effects are larger and earnings effects more negative for veterans with lower AFQT scores and those who were less occupationally skilled.Under a variety of conservative assumptions, veterans are unlikely to recoup these reduced earnings during their working careers.All veterans who were already enrolled in college at the time of bill passage increase their months of schooling, but only for those in public institutions did this translate into increases in bachelor's degree attainment and longer-run earnings.For specific groups of students, large subsidies can modestly help degree completion but harm long run earnings due to lost labor market experience.","The Post 9/11 GI Bill increased college enrollment by 0.17 years and B.A. completion by 1.2 percentage points for induced veterans. However, it reduced average annual earnings nine years post-separation by $900. These negative earnings effects were more pronounced for veterans with lower AFQT scores and less occupational skill, making long-term recoupment unlikely. For those already enrolled, public institution students saw increased bachelor's attainment and longer-run earnings."
"The Relationship Between Training Program Participation and Gainful Civilian Employment of Gulf War-Era II Veterans","https://scispace.com/paper/the-relationship-between-training-program-participation-and-3q1vqitluq","2019","Journal Article","","Candace Rae Flatt
Delmar Rhodes","10.21061/JVS.V4I2.113","https://scispace.com/pdf/the-relationship-between-training-program-participation-and-3q1vqitluq.pdf","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses GI Bill-funded training data to link assistance with veteran employment, details benefit amounts and eligibility, applies human capital theory to skill gains, and measures post‑service job outcomes.","The GI Bill of Rights has helped millions of veterans with their transition into civilian employment through education and training programs. In addition to higher education benefits, the GI Bill provides educational assistance for vocational training, entrepreneurship courses, apprenticeships, on-the-job training, and remedial courses. Compared to previous studies, this study is unique in three aspects. First, this study focuses on training programs completed by veterans rather than higher education. Second, the training categories are constructed based on job-specific versus general properties of human capital theory. Finally, the study captures all training programs completed by veterans regardless of provider or sponsoring organization by using the National Longitudinal Survey of Youth 1997 (NLSY97) . Generalized linear mixed models are used to determine the relationship between the type of training program and gainful employment. Pre-employment training programs were found to be positively related to the gainful employment of Gulf War-Era II veterans.","Pre-employment training programs positively related to gainful employment, increasing employment odds by 39.8% and income by 6.6%. School-based and post-employment training showed no statistically significant relationship to gainful employment for Gulf War-Era II veterans. This suggests pre-employment training effectively enhances job-specific skills and employability."
"Long-Term Economic Consequences of Vietnam-Era Conscription: Schooling, Experience and Earnings","https://scispace.com/paper/long-term-economic-consequences-of-vietnam-era-conscription-2fjxncs2ci","2008","Posted Content","Social Science Research Network","Joshua D. Angrist
Joshua D. Angrist
Joshua D. Angrist
Stacey H. Chen","10.1111/J.0042-7092.2007.00700.X","https://scispace.com/pdf/long-term-economic-consequences-of-vietnam-era-conscription-2fjxncs2ci.pdf","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Vietnam-era GI Bill to assess how tuition assistance raises schooling and offsets experience loss, finding near‑zero earnings impact in 2000 and detailing program design, human‑capital gains, and veteran labor market results.","Military service reduces civilian labor market experience but subsidizes higher education through the GI Bill Both of these channels are likely to affect civilian earnings New estimates of the effects of military service using Vietnam-era draft-lottery instruments show post-service earnings effects close to zero in 2000, in contrast with earlier results showing substantial earnings losses for white Vietnam veterans in the 1970s and 1980s The recent estimates also point to a marked increase in post-secondary schooling that appears to be attributable to the Vietnam-era GI Bill Seen through the lens of a Mincer wage equation, the wage effects observed in 2000 data can be explained by a flattening of the experience profile in middle age and a modest return to the additional schooling funded by the GI Bill In particular, IV estimates of the returns to GI Bill-funded schooling are well below OLS estimates Wage equations that allow for nonlinearities in the returns to schooling and a possible negative effect of military service on health, leave the main findings unchanged","Vietnam-era conscription significantly increased white veterans' post-secondary schooling by about 0.3 years, primarily college attendance, attributed to the GI Bill. By 2000, post-service earnings effects for white veterans were near zero, contrasting with earlier losses. This is explained by a flattening experience profile in middle age and a modest return (around 7%) to GI Bill-funded schooling. Conscription, however, still reduced veterans' lifetime earnings by about 10% due to lost experience."
"Replication data for: The Effect of Veterans Benefits on Education and Earnings","https://scispace.com/paper/replication-data-for-the-effect-of-veterans-benefits-on-4nps2qp47b","2009","Dataset","","Joshua D. Angrist","10.7910/dvn/caqyme","","- **Relevance Score:** 73/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses 1987 Survey of Veterans to estimate benefits increase schooling by 1.4 years and earnings ~6%, linking tuition aid to human‑capital gains and veteran earnings.","Veterans benefits that subsidize education and training constitute the largest federal program for student aid. Using data from the 1987 Survey of Veterans, the author presents estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings. Veterans benefits are estimated to increase schooling by roughly 1.4 years, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits. This premium appears to accrue primarily to the 77% of benefit users who attended college or graduate school. ","Veterans benefits are estimated to increase schooling by roughly 1.4 years. This leads to annual earnings approximately 6% higher than expected without benefits. This earnings premium primarily benefits the 77% of users who attended college or graduate school, indicating a significant impact on human capital development and labor market returns."
"Schooling and the Vietnam-Era GI Bill: Evidence from the Draft Lottery","https://scispace.com/paper/schooling-and-the-vietnam-era-gi-bill-evidence-from-the-ijv88j1z9b","2011","Posted Content","Social Science Research Network","Joshua D. Angrist
Joshua D. Angrist
Joshua D. Angrist
Stacey H. Chen","","https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID1806391_code238096.pdf?abstractid=1806391&mirid=1&type=2","- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses draft lottery IV to estimate GI Bill-driven schooling gains and modest earnings effects; discusses GI Bill usage but lacks deep program design; focuses on education as human capital; measures veteran earnings, employment, migration, and public‑sector jobs.","Draft-lottery estimates of the causal effects of Vietnam-era military service using 2000 census data show marked schooling gains for veterans. We argue that these gains can be attributed to Vietnam veterans’ use of the GI Bill rather than draft avoidance behavior. At the same time, draft lottery estimates of the earnings consequences of Vietnam-era service are close to zero in 2000. The earnings and schooling results can be reconciled by a flattening of the age earnings profile in middle age and a modest economic return to the schooling subsidized by the GI Bill. Other long-run consequences of Vietnam-era service include increases in migration and public sector employment.","Draft-lottery estimates show marked schooling gains for Vietnam-era veterans, attributed to GI Bill use. Earnings consequences were near zero in 2000, reconciled by a flattening age earnings profile and modest economic return to GI Bill-subsidized schooling. Other long-run effects include increased migration and public sector employment."
