"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"You can't handle the truth: The effects of the post-9/11 GI bill on higher education and earnings","https://scispace.com/paper/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62","2021","Report","Research Papers in Economics","Andrew Barr
Laura Kawano
Bruce Sacerdote
William L. Skimmyhorn
Michael Stevens","10.3386/W29024","https://www.nber.org/system/files/working_papers/w29024/w29024.pdf","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the US We examine the impact of the PGIB on veterans’ college-going, …","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the U.S. We examine the impact of the PGIB on veterans’ college-going, degree completion, federal education tax benefit utilization, and long run earnings. Among veterans potentially induced to enroll, the introduction of the PGIB raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a base of 9 percent). But, the PGIB reduced average annual earnings nine years after separation from the Army by $900 (on a base of $32,000). Years enrolled effects are larger and earnings effects more negative for veterans with lower AFQT scores and those who were less occupationally skilled. Under a variety of conservative assumptions, veterans are unlikely to recoup these reduced earnings during their working careers. All veterans who were already enrolled in college at the time of bill passage increase their months of schooling, but only for those in public institutions did this translate into increases in bachelor’s degree attainment and longer-run earnings. For specific groups of students, large subsidies can modestly help degree completion but harm long run earnings due to lost labor market experience."
"The post-9/11 GI Bill: Beneficiaries, choices, and cost","https://scispace.com/paper/the-post-9-11-gi-bill-beneficiaries-choices-and-cost-4zyi673pz2","2019","","","Elizabeth Bass","","https://apps.dtic.mil/sti/trecms/pdf/AD1134856.pdf","… complete programs and no information on employment outcomes, the effectiveness of the … Montgomery GI Bill provides veterans who are enrolled full time in postsecondary education …",""
"The Post-9/11 GI Bill: A catalyst to change service voluntary education programs","https://scispace.com/paper/the-post-9-11-g-i-bill-a-catalyst-to-change-service-9t1vo2nnsn","2011","","","Jonathan D Picker","","https://apps.dtic.mil/sti/tr/pdf/ADA545637.pdf","… and distinct in that these education benefits were not available to … Code from the passage of the Post9/11 GI Bill now entitles all … the implementation of the Post-9/11 GI Bill has created a …",": This research paper examines the merit of educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective. Prior to the signing of the Post-9/11 G.I. Bill into law, education benefits provided through the Veterans Administration (VA) and DoD were separate and distinct in that these education benefits were not available to the entire force, but rather to targeted groups. G.I. Bill benefits were available to enlisted members plus certain categories of officers after meeting minimum qualification standards. Tuition Assistance is available to the entire active duty force. The resulting change to Title 38 of U.S. Code from the passage of the Post- 9/11 G.I. Bill now entitles all servicemembers to educational benefits through the VA, once minimum qualifications are met. Therefore, the key question guiding this paper is whether the implementation of the Post-9/11 G.I. Bill has created a redundant funding mechanism for servicemembers despite the current and foreseeable fiscally constrained environment. Additionally, this paper examines the alignment of educational benefits to the current National Security Strategy. This topic is explored through a historical survey of applicable programs followed by a discussion of program execution in order to establish a basis for possible avenues for program improvement or changes to law."
"The Post-9/11 GI Bill and its Role in For-Profit University Enrollment","https://scispace.com/paper/the-post-9-11-gi-bill-and-its-role-in-for-profit-university-3k8f2wzvqq","2019","","","Irma Paul","","https://scholarworks.waldenu.edu/cgi/viewcontent.cgi?article=7752&context=dissertations","… veterans who received Post-9/11 GI Bill educational benefits. The … outcomes and sustainable employment for veterans. … who receive education benefits through the Post-9/11 GI Bill and …","The Post-9/11 GI Bill and its Role in For-Profit University Enrollment by Irma Paul MBA, University of Phoenix, 2009 BA, Florida Atlantic University, 2006 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy PPA – Public Management and Leadership Walden University February 2019 Abstract There is limited research on the Post-9/11 Veterans Educational Assistance Act of 2008, known as the 9/11 GI Bill, which provides educational benefits to veterans who have served in the United States military on active duty for 90 days. While outcomes for public and nonprofit universities are well known, less is known about whether proprietary universities are successful in recruitment and enrollment of veterans under the 9/11 GIThere is limited research on the Post-9/11 Veterans Educational Assistance Act of 2008, known as the 9/11 GI Bill, which provides educational benefits to veterans who have served in the United States military on active duty for 90 days. While outcomes for public and nonprofit universities are well known, less is known about whether proprietary universities are successful in recruitment and enrollment of veterans under the 9/11 GI Bill. The purpose of this phenomenological study was to examine the experiences that veterans who were Post 9/11 Bill beneficiaries had with recruitment strategies and institutional public policy practices from for-profit institutions. Ten veterans who participated in this study received Post-9/11 GI Bill educational benefits and enrolled in a for-profit institution based in Florida. Data was collected using the transcripts of the responses from the face-to-face interviews. These data were inductively coded and analyzed using a modified Van Kaam analysis procedure. The findings indicated that for-profit institutions used excessive recruitment strategies and aggressive targeting to attract veterans who received Post-9/11 GI Bill educational benefits. The findings also suggested that for-profit universities appear to need institutional policy changes and programs to assist veterans in transitioning from academic to civilian life. Recommendations to Veterans’ Affairs Offices, legislators, and leaders of proprietary institutions that support positive social change include mandatory reporting of federal funds, development of civilian transition programs, and adopting of key collaborations within departments. These recommendations may promote successful educational outcomes and sustainable employment for veterans. The Post-9/11 GI Bill and its Role in For-Profit University Enrollment by Irma Paul MBA, University of Phoenix, 2009 BA, Florida Atlantic University, 2006 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy PPA – Public Management and Leadership Walden University February 2019 Dedication I dedicate this doctoral degree to the one and only “granny” or better known to me and my siblings as “Nenen” – my mother! For me, my mom, Isaline Theresa Paul, has always stood tall; though in physical terms she is rather short. A single parent of nine children, my mom’s dedication, sacrifice, generosity, love, and support has been the anchor and glue which kept me from giving up on this journey of obtaining my Ph.D. It is her hard work and temperament that allowed me to aspire for greatness in this world as an expert researcher. Mom, you are and always will be my queen, my rock, and my prayer warrior. Thank you supporting me, not just through this journey, but through so many difficulties. I know that you have made sacrifices for me, especially when you have put my needs ahead of your own, my goals above yours, and especially when you put your education on hold so that I could pursue mine. Thank you for making my dreams come true. Thank you most of all for being my mom and believing in me. I love you! Acknowledgments First, I give honor and glory to my Lord and Savior Jesus Christ for taking me through this academic journey. I also wish to acknowledge Walden University Family: Faculty, Staff, and fellow Colleagues. Susie, we met at the Paris Residency in 2015, and we are still very close. Thanks for letting me rest my head in your room in Paris before my room was ready. I owe such gratitude to Walden University for accepting me into their Ph.D. program back in 2013. I do not take lightly this path that you afforded me; I am honored to have been selected. Most importantly, I want to acknowledge my current Chair, Dr. Michael Brewer. Although you came in the middle of my dissertation process at the IRB stage, it seems like we have known each other forever. Dr. Brewer, thank you for embracing my topic from the beginning and assuring me that I can do this! But most importantly thank you for your military service. To my former Chair Dr. John Hutcheson, without your guidance this moment would not have been possible. It was you who sparked my interest in this topic. It was your advice that led me to write about our veterans. Dr. Gloria Billinsley thank you for being with me on this journey and for challenging me always. To Dr. Nicole Strange-Martin thank you for all your support. To the participants (Veterans Service Members) who jumped and were willing to take part in this study. I ‘take my hat off’ to all of you for taking the time to interview with me; but I am especially grateful for your bravery and for allowing me to share your lived experiences. You protected our nation and you deserve our highest honor and respect for your selfless military services. My hope is that this study will pave the way for new student veterans to find more appreciation for their service and less attention for their academic benefits as they transition to for-profit institutions. To TJM, my research liaison, thank you for your list of contacts, without you this study would not be possible. As well, I hope that new institutional public policies will foster adequate positive social change in federal disbursement to for-profit institutions and other institutions. Finally, to my family especially my siblings Jennifer, Juliet, Cymbert, Christiana, Maudrina, Charles, Rupert, and Stewart and all my nieces and nephews; thank you family for your love and support throughout this journey. Miracson, you came into my life when I most needed you. Your love, your calmness, your patience, and your passion for learning is what kept me going. Thank you, my love!"
"The influences of the post-9/11 GI bill on veteran educational attainment and civic engagement","https://scispace.com/paper/the-influences-of-the-post-9-11-gi-bill-on-veteran-4a99nzgt8m","2014","","","Ryan Buck","","","… The 2008 GI Bill, known as the Post-9/11 GI Bill, was fully … benefited from the Post9/11 GI Bill education subsidy, specific … was widely presented as a necessity for career success and as …",""
"What's Next for the Post 9/11 GI Bill after the closure of the 90/10 Loophole?","https://scispace.com/paper/A1DfwIBZksgJ","","","","MS KOFOED","","https://www.american.edu/spa/peer/upload/peer_post-9_11-gi-bill_c.pdf","… the Post 9/11 GI Bill negative.Evidence of decreased graduation probability, employment opportunities,4 and reduced wages … of Education just proposed new Gainful Employment (GE) …",""
"Post 9/11 GI Bill: A Proposal for Enhanced Services","https://scispace.com/paper/YUk21t8oUZEJ","","","","SL Bordley-Hughes","","","… the most Post-9/11 GI Bill benefits would fail to meet the proposed gainful employment rule, … The provisions of the bill are applicable to training pursued under the Post-9/11 GI Bill that …",""
"An Assessment of the Post 9/11 GI Bill Transfer Entitlement on Navy Enlisted Retention Rates","https://scispace.com/paper/7qyVyVv1_5YJ","","","","D Long II","","https://www.dair.nps.edu/bitstream/123456789/5033/1/NPS-CE-24-014.pdf","… This act provided funds for home, farm, and business loans, unemployment and self-employment, mustering-out pay, and education and training. The act also made changes to prevent …",""
"Veterans Educational Benefits: Post-9/11 GI Bill's Impact on African American Men","https://scispace.com/paper/npWsaQa2rQ8J","","","","C Peters","","https://www.oxy.edu/sites/default/files/assets/UEP/Comps/Cameron%2520Peters_Veterans%2520Educational%2520Benefits.pdf","… Additionally the post-9/11 GI Bill facilitates the college attainment … levels based on post-9/11 GI Bill educational benefits, this … of higher education to obtain gainful employment expressed …",""
"Evaluating the impact of the Post-9/11 GI Bill on college enrollment for veterans with service-connected disabilities","https://scispace.com/paper/evaluating-the-impact-of-the-post-9-11-gi-bill-on-college-2z3hcpd2x3","2020","Journal Article","Teachers College Record","Liang Zhang","10.1177/016146812012200305","","… by their identified employment opportunities and then use the Post-9/11 GI Bill benefits to … Informed by and extending the lens of human capital, I aim to address this significant gap in …","Background/ContextThe Post-9/11 GI Bill has provided educational benefits to millions of military service members and veterans since its adoption in August 2009. Recent studies indicate that the bi..."
