"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The impact of prison education programs on post-release outcomes","https://scispace.com/paper/Dj9v9SueySAJ","","","","GG Gaes","","http://www.antoniocasella.eu/nume/Gaes_2008.pdf","… I believe the takeaway message is that correctional education … on the level of educational need for inmates, the conclusions … in these groups indicate possible human capital returns. The …",""
"The influence of correctional education, skill proficiency, and lifelong learning on social outcomes of incarcerated individuals: Results from PIAAC","https://scispace.com/paper/the-influence-of-correctional-education-skill-proficiency-qz8020jgpl","2020","Journal Article","Social Science Journal","Roofia Galeshi
Riane M. Bolin","10.1016/J.SOSCIJ.2019.09.007","https://www.researchgate.net/profile/Roofia-Galeshi/publication/336730246_The_influence_of_correctional_education_skill_proficiency_and_lifelong_learning_on_social_outcomes_of_incarcerated_individuals_Results_from_PIAAC/links/640261b2b1704f343f9d85fa/The-influence-of-correctional-education-skill-proficiency-and-lifelong-learning-on-social-outcomes-of-incarcerated-individuals-Results-from-PIAAC.pdf","… of correctional education, the extent of association between other forms of human capital … formal educational attainment as a measure of human capital, we included three measures: …","A rich body of scientific research suggests a positive relationship between education and social and political engagement. Active social engagement is important for incarcerated individuals if they are to successfully reintegrate into communities and desist from further involvement in crime. While a plethora of research has focused on the importance of correctional education, the extent of association between other forms of human capital such as cognitive skills and adult lifelong learning is unclear. The current study utilized data from the U.S. PIAAC Prison Study (2014) to explore the relationship between educational attainment, adult cognitive skill proficiency, lifelong learning, and social outcomes among incarcerated individuals. At least one of the three types of human capital variables included was found to be positively and significantly related to the three social outcomes of political efficacy, interpersonal trust, and health perception, even after controlling for the other two human capital variables and a number of demographics, demonstrating that each has its own, distinct contribution to social outcomes. Policy implications regarding these findings are discussed."
"Investment in human capital during incarceration and employment prospects of prisoners","https://scispace.com/paper/investment-in-human-capital-during-incarceration-and-2leifo2i16","2009","Posted Content","Social Science Research Network","Margaret Giles
Anh Le","","https://www.econstor.eu/bitstream/10419/36344/1/616727488.pdf","… labour market outcomes of this investment. The results suggest that prisoners use education/… in training between prisoners who have completed an educational qualification during this …","The costs of incarceration and recidivism to the community are substantial. These costs not only include the direct costs of imprisonment but also the opportunity costs arising from depletion of human capital and loss of output. Policy makers have emphasised the importance of rehabilitating prisoners as a way of reducing recidivism. Consequently, the management of prisoners has changed, with more prisoners being encouraged to undertake some form of education, training and/or work during their incarceration in conjunction with any behavioural management programmes. This paper examines, using the 2003 Survey of Prisoners in Western Australia, the decision of prisoners to invest in education/training during their prison term and the potential labour market outcomes of this investment. The results suggest that prisoners use education/training to improve their skills in preparation for release from prison. From this perspective it can be argued that these prisoners see education/training as an investment in human capital rather than consumption. In addition, the decision to participate in either education or training is non-random and varies across the time remaining on the prison sentence, thus suggesting prisoners view education and training as different activities. However, the results show the expected benefit prisoners place on education and training is similar."
"Are schools in prison worth it? The effects and economic returns of prison education","https://scispace.com/paper/are-schools-in-prison-worth-it-the-effects-and-economic-c9mty67z4q","2023","Journal Article","American Journal of Criminal Justice","Ben Stickle
Steven Sprick Schuster","10.1007/s12103-023-09747-3","https://link.springer.com/content/pdf/10.1007/s12103-023-09747-3.pdf","… returns on educational investment for prisons and prisoners. We find that each form of education yields large, positive returns … of 231 correctional education programs operating between …","Abstract Recent expansions in prison school offerings and the re-introduction of the Second Chance Pell Grant have heightened the need for a better understanding of the effectiveness of prison education programs on policy-relevant outcomes. We estimate the effects of various forms of prison education on recidivism, post-release employment, and post-release wages. Using a sample of 152 estimates drawn from 79 papers, we conducted a meta-analysis to estimate the effect of four forms of prison education (adult basic education, secondary, vocational, and college). We find that prison education decreases recidivism and increases post-release employment and wages. The largest effects are experienced by prisoners participating in vocational or college education programs. We also calculate the economic returns on educational investment for prisons and prisoners. We find that each form of education yields large, positive returns due primarily to the high costs of incarceration and, therefore, high benefits to crime avoidance. The returns vary across education types, with vocational education having the highest return per dollar spent ($3.05) and college having the highest positive impact per student participating ($16,908). "
"Does providing inmates with education improve postrelease outcomes? A meta-analysis of correctional education programs in the United States","https://scispace.com/paper/does-providing-inmates-with-education-improve-postrelease-4jbemb0poz","2018","Journal Article","Journal of Experimental Criminology","Robert Bozick
Jennifer L. Steele
Lois M. Davis
Susan Turner","10.1007/S11292-018-9334-6","https://www.researchgate.net/profile/Lois-Davis/publication/325342681_Does_providing_inmates_with_education_improve_postrelease_outcomes_A_meta-analysis_of_correctional_education_programs_in_the_United_States/links/601c2e87299bf1cc26a2ce7b/Does-providing-inmates-with-education-improve-postrelease-outcomes-A-meta-analysis-of-correctional-education-programs-in-the-United-States.pdf?_sg%5B0%5D=started_experiment_milestone&_sg%5B1%5D=started_experiment_milestone&origin=journalDetail","… Our meta-analysis demonstrates the value in providing inmates with educational opportunities while they serve their sentences if the goal of the program is to reduce recidivism. …","Our study addresses the question: Does providing inmates with education while incarcerated reduce their chances of recidivism and improve their postrelease employment prospects? We aggregated 37 years of research (1980–2017) on correctional education and applied meta-analytic techniques. As the basis for our meta-analysis, we identified a total of 57 studies that used recidivism as an outcome and 21 studies that used employment as an outcome. We then applied random-effects regression across the effect sizes abstracted from each of these studies. When focusing on studies with the highest caliber research designs, we found that inmates participating in correctional education programs were 28% less likely to recidivate when compared with inmates who did not participate in correctional education programs. However, we found that inmates receiving correctional education were as likely to obtain postrelease employment as inmates not receiving correctional education. Our meta-analysis demonstrates the value in providing inmates with educational opportunities while they serve their sentences if the goal of the program is to reduce recidivism."
"The influence of correctional education, skills, and lifelong learning on social outcomes","https://scispace.com/paper/ildbjqokhXUJ","","","","R Galeshi
RM Bolin","","https://acea.org.au/wp-content/uploads/2020/06/2019_Galeshi_Bolin_CorrectionalEducation_Skills_LifelongLearning_SocialOutcomes.pdf","… educational attainment as a measure of human capital, the PIAAC includes a number of additional measures of human capital, … of human capital variables and various social outcomes …",""
"Prison-based education and re-entry into the mainstream labor market","https://scispace.com/paper/prison-based-education-and-re-entry-into-the-mainstream-25934cp2l5","2004","Report","National Bureau of Economic Research","John H. Tyler
Jeffrey R. Kling","10.3386/W12114","https://www.nber.org/system/files/working_papers/w12114/w12114.pdf","… in prison-based General Educational Development (GED) … correctional education programs on outcomes states that “[t]… more prison-related human capital than the failers, contrasts …","We estimate the post-release economic effects of participation in prison-based General Educational Development (GED) programs using a panel of earnings records and a rich set of individual information from administrative data in the state of Florida. Fixed effects estimates of the impact of participating in the GED education program show post-release quarterly earnings gains of about 15 percent for program participants relative to observationally similar nonparticipants. We also show, however, that these earnings gains accrue only to racial/ethnic minority offenders and any GED-related earnings gains for this group seem to fade in the third year after release from prison. Estimates comparing offenders who obtained a GED to those who participated in GED-related prison education programs but left prison without a GED show no systematic evidence of an independent impact of the credential itself on post-release quarterly earnings."
"Investing in futures: Economic and fiscal benefits of postsecondary education in prison","https://scispace.com/paper/investing-in-futures-economic-and-fiscal-benefits-of-x6oi24ujx3","2019","","","Patrick Oakford
Cara Brumfield
Casey Goldvale
Margaret diZerega
Fred Patrick","","https://risingscholarsnetwork.org/wp-content/uploads/assets/general/investing-in-futures.pdf","… incarcerated people in state and federal prisons and current rates of participation in prison educational … has the potential to improve economic outcomes for formerly incarcerated people …","Efforts to build robust postsecondary education programs in prison have accelerated in recent years, with support from a broad range of groups from correctional officers to college administrators. This report describes how lifting the current ban on awarding Pell Grants to incarcerated people would benefit workers, employers, and states. Specifically, it analyzes the potential employment and earnings impact of postsecondary education programs in prison; identifies the millions of job openings annually that require the skills a person in prison could acquire through postsecondary education; and estimates the money states
would save through lower recidivism rates these postsecondary education programs would yield."
"Educated prisoners are less likely to return to prison","https://scispace.com/paper/educated-prisoners-are-less-likely-to-return-to-prison-11wrsqzmx7","2004","Journal Article","Journal of correctional education","James S. Vacca","","","… outcomes about what effective prison education programs do and why they are successful at reducing recidivism. For example, inmates exposed to education … in prison reported lower …","Since 1990, the literature has shown that prisoners who attend educational programs while they are incarcerated are less likely to return to prison following their release. Studies in several states have indicated that recidivism rates have declined where inmates have received an appropriate education. Furthermore, the right kind of educational program leads to less violence by inmates involved in the programs and a more positive prison environment. Effective Education Programs are those that help prisoners with their social skills, artistic development and techniques and strategies to help them deal with their emotions. In addition, these programs emphasize academic, vocational and social education. The inmates who participate in these programs do so because they see clear opportunities to improve their capabilities for employment after being released. Program success or failure is hampered, however, by the values and attitudes of those in the authority position, over crowded prison population conditions and inadequate funding for teaching personnel, supplies and materials. In addition, recent studies show that most inmates are males who have little or no employable skills. They are also frequently school dropouts who have difficulties with reading and writing skills and poor self-concepts and negative attitudes toward education. Literacy skills in learner-centered programs with meaningful contexts that recognize the different learning styles, cultural backgrounds and learning needs of inmates are important to program success and inmate participation. Inmates need education programs that not only teach them to read effectively but also provide them with the necessary reinforcement that promote a positive transition to society when they are released. Efforts in this direction would help stimulate better participation of inmates in all prison education programs and will go a long way to help the prisoner rehabilitation process. Prisoners who attend education programs while they are incarcerated are less likely to return to prison following their release. Since 1990, literature"
"Shaping futures of prison inmates and former prisoners via higher education: A conceptual study on social return on investment assessment for stakeholders","https://scispace.com/paper/ec2rQPIZK2AJ","","","","S Raghavan
TFT Sulaiman
BNA Khan
J Ramly","","http://library.oum.edu.my/repository/1191/1/library-document-1191.pdf","… to rehabilitate and educate its inmates and create employment … SROI has been the selected form of measurement as it … education programmes and play a vital role in human capital …",""
