"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"… a Theoretical Model for Human Resource Management Information Systems, Government Policy and Organizational Performance: A Research Agenda","https://scispace.com/paper/ayHDX7A5kvkJ","","","","SI Akoyo
SMA Muathe","","https://ir-library.ku.ac.ke/bitstreams/eb5d3350-3f13-43a2-8d3f-6bd69e0178c9/download","… institution be regarded as a new practice since it enhances effectiveness in operational performance. … on the government role on HRMIS implementation on organizational performance. …",""
"Strategic human capital and the performance of public sector organizations","https://scispace.com/paper/strategic-human-capital-and-the-performance-of-public-sector-3ne9wqwwpu","2004","Journal Article","Scandinavian Journal of Management","Abraham Carmeli","10.1016/J.SCAMAN.2003.11.003","","… as a strategic asset that contributes to organizational effectiveness. Whereas the strategic importance of human capital has been widely studied in the case of for-profit organizations, …",""
"E-government adoption in public administration organizations: integrating institutional theory perspective and resource-based view","https://scispace.com/paper/e-government-adoption-in-public-administration-organizations-2koz87akmv","2013","Journal Article","European Journal of Information Systems","Daqing Zheng
Jin Chen
Lihua Huang
Cheng Zhang","10.1057/EJIS.2012.28","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2229093","… , but also enhance the total quality of public services that … ) that have enhanced performance by implementing G2G. In the … that financial resources and IT human resources are important …","We develop and test a theoretical model to investigate the adoption of government-to-government (G2G) information systems in public administration organizations Specifically, this model explains h"
"A Review of the Impact of Institutions on Public Sector Efficiency","https://scispace.com/paper/a-review-of-the-impact-of-institutions-on-public-sector-c6a08ewk9aph","2025","Journal Article","International Review of Management and Marketing","Salem Abdulrahman Alqasimi
Panagiotis Zervopoulos
Abu Elias Sharker
Andreas E. Fousteris","10.32479/irmm.19428","","… of policy implementation, civil servant proficiency, and the caliber of public services are all reflected in government effectiveness. It … our understanding of public sector performance. In …",""
"Beyond state capacity: bureaucratic performance, policy implementation and reform","https://scispace.com/paper/beyond-state-capacity-bureaucratic-performance-policy-3xc3ylv8lc","2021","Journal Article","Journal of Institutional Economics","Martin J. Williams","10.1017/S1744137420000478","https://ora.ox.ac.uk/objects/uuid:b60163bc-5b31-4901-8c53-17de33b2f619/download_file?file_format=&safe_filename=WilliamsAAM2020.pdf&type_of_work=Journal+article","… and measurement; and (2) that the advancing our knowledge about the effectiveness of … we have little longitudinal evidence from the public sector that speaks to this question beyond …","There is a broad consensus that state capacity is central to economic and institutional development. But while the concept originated as a tool for macro-historical and comparative analysis, its success has led the term ‘capacity’ to become a default metaphor for discussing the quality of government bureaucracies. This paper discusses the limitations to conceiving of narrower questions of bureaucratic performance and policy implementation through the lens of the broad, aggregate concept of capacity. Whereas capacity refers to bureaucracies' hypothetical potential, this usually differs from their actual actions due to internal information and incentive problems created by bureaucracies' collective nature, and the constraints and uncertainty imposed by their multiple political principals. Capacity is a convenient shorthand term and is appropriate for some purposes, but it achieves this convenience by abstracting away from the mechanisms that determine bureaucratic performance and policy implementation. To advance the study of bureaucratic quality, researchers should seek to understand the implications of bureaucracies' collective nature, engage with contextual specificity and contingency in policy implementation, and focus measurement and reform efforts more towards actual performance than hypothetical capacity."
"Enhancing performance through public sector networks: Mobilizing human capital in communities of practice","https://scispace.com/paper/enhancing-performance-through-public-sector-networks-2ag0rwwii3","2008","Journal Article","Public Performance & Management Review","Robert Agranoff","10.2753/PMR1530-9576310301","","… Programs and resources at both policymaking and implementation stages are increasingly … any loss in efficiency due to political, institutional, or technical pressures diminishes …","Important performance outcomes of public management networks are examined, based on a study of 14 intergovernmental networks comprised of administrators and program specialists. The key to performance is based on the application of connective human capital. Collaborative public value is added as network actors pursue those knowledge-building actions related to solving interagency problems. Performance outcomes are examined from individual administrator, partner agency, network process, and tangible results perspectives. Specific project outcomes of each network are illustrated. Finally, the importance of networks as communities of practice for achieving collaborative outcomes is demonstrated as a key public management process."
"An institutional perspective on performance measurement and management in the 'new public sector'","https://scispace.com/paper/an-institutional-perspective-on-performance-measurement-and-3f46wrj4om","2000","Journal Article","Management Accounting Research","Stan Brignall
Sven Modell","10.1006/MARE.2000.0136","https://courses.edx.org/assets/courseware/v1/8997445dfb524f2603f8e86d1fa582b6/asset-v1:DelftX+SaSC01x+2T2022+type@asset+block/1-s2.0-S1044500500901367-main.pdf","… of institutional theory for the successful implementation of … , while institutional theorists recognize that efficiency in a more … control and human resource management in public health …",""
"Organizational Managers Strategies Increasing Human Capital Efficiency An Exploratory Case Study","https://scispace.com/paper/7WMgUcrZWn8J","","","","A Abdou","","","… directly reflected in a country's poor economic performance. … human resources in start-ups and the implementation of … is the low internal efficiency of educational institutions, which is …",""
"Measuring government management capacity: A comparative analysis of city human resources management systems","https://scispace.com/paper/measuring-government-management-capacity-a-comparative-3mz0drzjay","2000","Journal Article","Journal of Public Administration Research and Theory","Amy K. Donahue
Sally Coleman Selden
Patricia W. Ingraham","10.1093/OXFORDJOURNALS.JPART.A024274","https://www.researchgate.net/profile/Patricia-Ingraham/publication/275107687_Measuring_Government_Management_Capacity_A_Comparative_Analysis_of_City_Human_Resources_Management_Systems/links/559fe09008ae5ab90245a1fe/Measuring-Government-Management-Capacity-A-Comparative-Analysis-of-City-Human-Resources-Management-Systems.pdf","… of political institutions, and the party competition and control … chain that connects people with performance; thus they will … critical levers of effectiveness in human resources management (…","This article fills a gap in both the public management and human resources literatures by applying a conceptual model supported by a criteria-based evaluative framework to assess and compare the nature and capacity of city government human . resources management systems. Various management reforms have swept through many American governments recently, but practitioners and researchers have not reflected carefully on how these reforms contribute to management effectiveness. One management system that has received relatively little systematic attention is human resources management. The easting research about assessing human resources is sparse, focuses on the private sector, and fails to converge upon a set of criteria for evaluating human resources management systems comprehensively. In earlier work, we proposed a theory that dissects the black box of government management to identify key management systems and define their contribution to management capacity and to overall government performance. In this article, we refine this model by developing a set of criteria that serve as indicators of the effectiveness of human resources management systems. We apply our framework and criteria to a sample of cities in an empirical analysis that measures human resources management capacity and controls for two key environmental contingencies: unionization and government structure. We find that higher capacity governments are able to achieve better human resources outcomes, and that more unionized governments and those that a senior professional administrative officer generally have lower human resources management capacity."
"Strategic human resource practices: Introducing alternatives for organizational performance improvement in the public sector","https://scispace.com/paper/strategic-human-resource-practices-introducing-alternatives-1d5kzblpng","2010","Journal Article","Public Administration Review","Jungin Kim","10.1111/J.1540-6210.2009.02109.X","","… to find answers to questions of the public sector's productivity and efficiency through … four aspects of human resource practices to develop competitive organizational environments that …","Can public sector organizations increase productivity through competition in spite of inherent limitations, such as budget constraints? This study addresses that question by examining the impact of four factors that contribute to employees’ expectations regarding competitive work environments on organizational performance in terms of overall quality of work and client satisfaction. The four factors measured include rewards for merit such as salary and benefits, opportunities, organizational rules, and the capacity to deal with risks as perceived by employees. Using data on public and nonprofit sector employees, expectations for merit rewards were positively related to employees’ perception of organizational performance when the conditions of performance-based organizational rules and risk-taking behaviors were also satisfied. Moreover, employees’ perceptions of organizational performance tended to increase when they felt that organizational rules were oriented toward performance plus organizational members and top leaders exhibited greater risk-taking behaviors. However, no correlation was evident between employees’ expectations of opportunities and perceived organizational performance."
