"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"United Nations standard minimum rules for the treatment of prisoners (Nelson Mandela Rules)","https://scispace.com/paper/C8VF0p3xReYJ","","","","K McCall-Smith","","https://www.research.ed.ac.uk/files/30913792/Final_draft_Introductory_Note_on_UN_Minimum_Standards_for_Treatment_of_Prisoners.pdf","… The updates clarify that minimum standards require not only … The Mandela Rules synthesize a range of international laws … and reflect key human rights and criminal justice standards that …",""
"World implementation of the united nations standard minimum rules for treatment of prisoners","https://scispace.com/paper/oT7Iw3vHhmcJ","","","","DL Skoler","","","… Perhaps the most advanced comparative work being conducted today in the area of enforcement and supervision of human rights and correctional treatment standards is that of UNSDRI…",""
"The Nelson Mandela Rules: The Revised United Nations Standard Minimum Rules for the Treatment of Prisoners-Short Review","https://scispace.com/paper/wXOhIOwGN_cJ","","","","AG Drakulevski","","","… minimum standards for the management of prison facilities and the treatment of prisoners. … in nine substantive areas to reflect standards that have emerged in correctional science and …",""
"Modernizing the standard minimum rules for the treatment of prisoners–A human rights perspective","https://scispace.com/paper/g8ya_se8joMJ","","","","K Tiroch","","","… The Nelson Mandela Rules require prison administrations to accept regular and unannounced inspections, with the freedom to choose which prison to visit. Inspection teams shall …",""
"Prison-based rehabilitation programmes","https://scispace.com/paper/1xUf0RmSIMQJ","","","","CJH SERIES","","http://herzog-evans.com/wp-content/uploads/2013/12/UNODC-Roadmap-for-prison-based-rehab-programmes-2007.pdf","… for the Treatment of Prisoners (the Nelson Mandela Rules) … Mandela Rules call “normal occupational life”,9 which prison … life in prison can help reduce the risk of prisoners’ developing …",""
"Dignity unlocked? The Nelson Mandela Rules as a key to the transnational legal ordering of imprisonment","https://scispace.com/paper/dignity-unlocked-the-nelson-mandela-rules-as-a-key-to-the-astung5oozc5","","","","Dirk van Zyl Smit","10.7420/ak2023.07","","… than the development of more rigorous general prison standards. The initiative of the Crime … who were both knowledgeable on prison policy and sympathetic to the UNODC’s knowledge …","This paper explains how the United Nations Standard Minimum Rules for the Treatment of Prisoners (UNSMR), known since their 2015 amendment as the Nelson Mandela Rules, have become an international instrument regulating imprisonment. This explanation deals with the emergence of the original UNSMR and the process that led to their amendment. It pays particular attention to the impact of ideas about how prisons should ideally function, developed in a series of handbooks published by the United Nations Office on Drugs and Crime, both before and after the adoption of the Nelson Mandela Rules. The paper concludes that the campaign to publicise the Nelson Mandela Rules has made them an important component of discussions about prison reform worldwide. Although they are regarded as a soft law instrument, this has not lessened their impact on prison laws and policies. There is limited empirical evidence, however, of their ability to alter prison conditions substantively."
"The situation of the prisoners in Japan judging by The United Nations Standard Minimum Rules for the Treatment of Prisoners (Nelson Mandela Rules)","https://scispace.com/paper/rLnF0Lw2Vw0J","","","","K KIKUTA","","https://meiji.repo.nii.ac.jp/record/17470/files/lawjournal_30_1.pdf","… Mandela Rules. However, the human rights standards for prisoners should not be “conditional.… It is clearly defined in Article 5 of the Universal Declaration of Human Rights (prohibition of …",""
"Introductory Note: United Nations Revised Rules on Treatment of Prisoners","https://scispace.com/paper/3OqT_S3QLvsJ","","","","KL McCall-Smith","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2900344","… The Mandela Rules synthesize a range of international laws … reflect key human rights and criminal justice standards that have … on prison professionals to uphold the Mandela Rules is …",""
"On Nelson Mandela Rule 63: Prisoner's Moral Vulnerability and Development in the Context of the 2030 United Nations Sustainable World","https://scispace.com/paper/on-nelson-mandela-rule-63-prisoner-s-moral-vulnerability-and-2ahl81w2rh","2021","Book Chapter","","Sławomir Redo
Krzysztof Sawicki","10.1007/978-3-030-56227-4_9","https://www.researchgate.net/profile/Jebamalai-Vinanchiarachi/publication/325480797_Addressing_the_Plight_of_Immigrants_and_Refugees_The_Role_of_UNIDO/links/61aa85f629948f41dbc27d6c/Addressing-the-Plight-of-Immigrants-and-Refugees-The-Role-of-UNIDO.pdf#page=192","… New media are a special challenge for prison staff. Unfortunately, the Mandela Rules did not notice their role in contemporary social relations. Despite the prohibitions, smartphones are …","This public policy chapter analyses and discusses the provision of prison inmates with “wireless” communication with the outside world (Rule 63 of the United Nations Standard Minimum Rules for the Treatment of Prisoners (Nelson Mandela Rules). In the context of the 2030 United Nations Sustainable Development Goal (SDG) 16 to promote peaceful, just and inclusive societies, the chapter calls on the prison administration and non-governmental organisations authorised to assist in the rehabilitation and reintegration of inmates and ex-prisoners to jointly pursue through training, periodicals and special institutional publications the related SDGs’ action-oriented preventive content, with due regard to the group-oriented and individual respective resilience or vulnerability of inmates. Throughout the chapter, the authors seek to demonstrate the importance of the 2030 United Nations SDGs which aspire to transform the world so “no one will be left behind,” even if they stay behind prison bars, or behind others as one of the other kind of minority in an open multicultural society."
"Dignity unlocked? The Nelson Mandela Rules as a key to the transnational legal ordering of imprisonment: Godność uwolniona? Reguły Nelsona Mandeli jako klucz …","https://scispace.com/paper/vqHse2juEGAJ","","","","D van Zyl Smit","","https://czasopisma.inp.pan.pl/index.php/ak/article/download/4138/2836","… than the development of more rigorous general prison standards. The initiative of the Crime … who were both knowledgeable on prison policy and sympathetic to the UNODC’s knowledge …",""
