"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Improving the labor market outcomes of US veterans: The long-run effect of the Transition Assistance Program","https://scispace.com/paper/improving-the-labor-market-outcomes-of-us-veterans-the-long-3iankw8j1z","2020","Journal Article","Defence and Peace Economics","Xiaoxue Li","10.1080/10242694.2018.1532229","","… of military services. This study examines how military service affects labor market outcomes of … For example, if veterans increase the use of GI Bill, their educational attainment would …","The success of military recruiting depends largely on the potential consequences of military services. This study examines how military service affects labor market outcomes of veterans. Specifical..."
"Tracking Outcomes of Voluntary Military Education Programs: A Literature Review","https://scispace.com/paper/3St51u0eKy8J","","","","N Noble
E Clelan
L Malone","","https://apps.dtic.mil/sti/trecms/pdf/AD1181582.pdf","… Two such benefits are the Tuition Assistance (TA) program, designed to decrease the … development of portable employment and careers for military spouses. The Tuition Assistance (TA) …",""
"Higher education benefits for post-9/11 military service members and veterans","https://scispace.com/paper/higher-education-benefits-for-post-9-11-military-service-3x1njed86q","2015","","","Gabriella C. Gonzalez
Laura L. Miller
Peter Buryk
Jennie W. Wenger","","https://apps.dtic.mil/sti/tr/pdf/ADA617158.pdf","… response to military education benefits. See Simon, Negrusa, and Warner, 2010, for an analysis of military recruit … To better support the transition to veteran status, service members who …",": The Post-9/11 Veterans Educational Assistance Act represented the largest expansion of veterans education benefits since their origin with the enactment of the Servicemen's Readjustment Act of 1944. Modern bills reaffirm President Franklin D. Roosevelt s declaration upon signing the original legislation that educational benefits are an integral way to support service members transition into civilian life and compensate them for the sacrifices made during military service. 3 Educational benefits have also historically helped to recruit and retain individuals for voluntary military service; service members consistently acknowledge the importance of education benefits in their enlistment decisions. For example, 62 percent of service members responding to the 1999 Active-Duty Survey selected education benefits as the primary reason for enlisting in the military4 and 74 percent of active-duty military and veterans responding to a 2014 survey indicated that receipt of educational benefits was either an important or very important reason for joining the military.5 The most popular and generous educational benefit available today is the Post-9/11 GI Bill, which took effect in August of 2009. With over 1 million users as of 2014, it significantly increased the higher-education benefits available to those who served on active duty in the U.S. armed forces after September 10, 2001. With over 2 million total post- 9/11 era veterans and planned military end strength reductions in the coming years, usage of the program will likely continue to grow both in participation and cost. It is therefore vital that military personnel and veterans understand and are able to access educational benefits in order to successfully reach their educational goals and earning potential."
"The effect of 21st century military service on civilian labor and educational outcomes","https://scispace.com/paper/the-effect-of-21st-century-military-service-on-civilian-h78qn1de8x","2014","Journal Article","Journal of Labor Research","P. Wesley Routon","10.1007/S12122-013-9170-4","https://ivmf.syracuse.edu/wp-content/uploads/2016/06/The-Effect-of-21st-Century-Military-Service-on-Civilian-Labor-and-Educational-Outcomes.pdf","… interested in how military service affects the civilian labor market outcomes of veterans. Are … to be taking advantage of improvements in the GI bill. They are both attempting college and …","I estimate the effect of military service during the Afghanistan and Iraq wars on civilian labor and educational outcomes using several empirical methodologies including sibling fixed effects and propensity score matching. Since military occupations and training have changed significantly in the past few decades, these effects may be different than those found in previous studies on veterans of earlier theaters. I find that veteran status increases civilian wages by approximately ten percent for minorities but has little or no effect on whites in this regard. Veterans of all demographic groups are found to be equally employable and equally as satisfied with their civilian occupation as non-veterans. For females and minorities, veteran status substantially increases the likelihood one attempts college. These veterans are found to be more apt to pursue and obtain a two year (associate’s) degree instead of a four year (bachelor’s) degree. Lastly, I find mixed evidence that veteran status increases the likelihood of public sector employment."
"Transitioning from the military to higher education: A case study of the transition assistance program","https://scispace.com/paper/transitioning-from-the-military-to-higher-education-a-case-ftwqre162d","2020","Journal Article","","Catherine Ziencik","10.21061/JVS.V6I2.178","https://scispace.com/pdf/transitioning-from-the-military-to-higher-education-a-case-ftwqre162d.pdf","… More than 900,000 veterans and military service members received education benefits … Managing the re-employment of military veterans through the transition assistance program (…",""
"Fighting for education: Veterans and financial aid","https://scispace.com/paper/fighting-for-education-veterans-and-financial-aid-2szwzcfit0","2014","","","Andrew Barr","","https://scholar.archive.org/work/chch24tm35ct7lmkk5e6vhol44/access/wayback/http://www.cesifo-group.de/dms/ifodoc/docs/Akad_Conf/CFP_CONF/CFP_CONF_2014/Conf-ee14-Hanushek/Papers/ee14_Barr.pdf","… veteran educational outcomes. This study provides the first evaluation of the longer run effects of the Post-9/11 GI Bill … to labor market contractions than non-eligible veteran educational …","The Post-9/11 GI Bill brought about the largest expansion in veteran education benets since the end of World War II, roughly doubling the average benet level. I leverage large changes in nancial aid generated by the benet expansion, including geographic variation in"
"Are current military education benefits efficient and effective for the services?","https://scispace.com/paper/are-current-military-education-benefits-efficient-and-27d1z2m7p9","2017","Book","","Jennie W. Wenger
Trey Miller
Matthew D. Baird
Peter Buryk
Lindsay Daugherty
Marlon Graf
Simon Hollands
Salar Jahedi
Douglas Yeung","","https://www.rand.org/content/dam/rand/pubs/research_reports/RR1700/RR1766/RAND_RR1766.pdf","… The literature on educational attainment and labor market outcomes is rich and well established; we describe this literature only briefly before focusing on research that emphasizes …","A primary purpose of military education benefits is to assist service members' transitions back to civilian life, but the benefits likely have implications for recruiting and retention as well. This research takes a mixed-methods approach to examine the effects of education benefit programs on recruiting and retention–related outcomes, and to assess how the two largest education benefits may work together."
"Student veterans' outcomes by higher education sector: Evidence from three cohorts of the baccalaureate and beyond","https://scispace.com/paper/student-veterans-outcomes-by-higher-education-sector-594s435gki","2018","Journal Article","Research in Higher Education","Jennifer L. Steele
Peter Buryk
Geoffrey McGovern","10.1007/S11162-017-9491-X","","… ’ labor market outcomes and on returns to postsecondary education by higher education sector, and we discuss the potential role of the GI Bill … to examine military veterans’ outcomes by …","We use nationally representative survey data from three cohorts of bachelor’s degree recipients to examine military veterans’ student loan debt at graduation and their employment and earnings 1, 4, and 10 years after graduation, relative to observably similar graduates. We also examine whether the effects of veteran status depend on college sector. Using propensity score weights with covariate adjustment, we find employment and earnings premiums for veterans 1 and 4 years after graduation, and an employment penalty but earnings premium (conditional on employment) 10 years after graduation. We find no clear evidence of a for-profit employment or earnings penalty among bachelor’s degree recipients, including veterans. We do find that veterans are as likely as similar non-veterans to graduate with debt, and that graduating from a for-profit institution yields markedly higher debt amounts, especially for veterans, despite the availability of Montgomery GI Bill benefits for these cohorts."
"Understanding the cost and quality of military-related education benefit programs","https://scispace.com/paper/understanding-the-cost-and-quality-of-military-related-4cdjpc19w9","2013","","","Paco Martorell
Peter Bergman","","https://apps.dtic.mil/sti/pdfs/ADA591167.pdf","… the efficiency of military-related education benefits and describe strategies to … labor-market outcomes; but we did not find similarly rigorous studies on the impact of the Post-9/11 GI Bill…",": Since the passage of the original GI Bill following World War II (Serviceman's Readjustment Act, 1944), the military has provided veterans with a collection of financial aid benefits designed to help them attend college. While research has shown that these programs have helped many veterans acquire a college education, less is known about the impact of more recent educational benefits for veterans. This is especially true of the Post-9/11 GI Bill, which, in conjunction with a number of other assistance programs, has afforded veterans new educational opportunities. The Post-9/11 GI Bill offers tuition subsidies paid directly to institutions, a housing allowance tied to the cost of living, and a book stipend, which in combination are usually more generous than preceding GI Bills. However, issues such as rising tuition costs; an increasing presence of low-quality, for-profit institutions that target veterans; and a potentially confusing array of benefit options could mitigate the impact of these programs on the recruitment, retention, and human capital development of service members. This report contextualizes these issues and formulates a research agenda to address them. Specifically, the report addresses the following research questions: (1) What are the key features of the military-related education benefit programs, including changes to these programs and historical utilization patterns of some of the key programs?; (2) What has prior research found about the impacts of these programs?; (3) What are the primary challenges policymakers face for improving the evaluation, implementation, and efficiency of the benefit programs?; and (4) How can future research help overcome the challenges policymakers face?"
"EDUCATIONAL BENEFITS AND MILITARY SERVICE: AN ANALYSIS OF ENLISTMENT, REENLISTMENT, AND VETERANS' BENEFIT USAGE 1991–2005*","https://scispace.com/paper/educational-benefits-and-military-service-an-analysis-of-4768dzxwml","2010","Journal Article","Economic Inquiry","Curtis J. Simon
Sebastian Negrusa
John T. Warner","10.1111/J.1465-7295.2009.00233.X","https://users.nber.org/~confer/2008/si2008/PENS/simon.pdf","… This paper analyzes how GI Bill benefits affect military … and usage effects of military education benefits are now quite … trends in military compensation and civilian earnings during our …","I. INTRODUCTION Educational benefits for military veterans have become a prime recruiting tool in the All-Volunteer military force (AVF). The primary education benefit for most of the AVF era has been the Montgomery GI Bill (MGIB). This version of the GI Bill began in July 1985 and bears the name of its sponsor, Alabama representative Sonny Montgomery. Under this program, eligible veterans who enroll in an education program approved by the Veterans Administration are eligible to receive up to 36 mo of benefits if they begin usage within 10 yr of separating from service. Veterans are only eligible for MGIB benefits if they contribute $100 per month during their first year of service. (1) From time to time, three of the four military branches have supplemented the basic MGIB benefit with College Fund (CF) benefits. Research has indicated that educational benefits do in fact attract enlistments of ""high-quality"" youth, defined by the military services to be youth who possess a high school degree and who score above the youth population average of 50 on the Armed Forces Qualification Test (AFQT). (2) Although educational benefits attract more highly qualified youth into the military, those benefits may be costly for at least two reasons. First, such youth may be more likely to separate from the military to use their benefits, thus requiring higher rates of recruitment of new enlistees to maintain the size and quality of the force. Second, higher benefits may increase the tendency of youth who separate from the military to use those benefits as well as increase the duration of usage. Of course, this would not be surprising; a growing body of research finds that college tuition subsidies raise college attendance. Interest in the potential behavioral effects of military educational benefits was recently heightened by a vigorous debate in Congress over veterans' benefits. This debate culminated in the Post-9/11 Veterans Education Assistance Act of 2008, which was passed in July 2008, becoming effective on August 1, 2009. The act provides future veterans with substantially higher educational benefits than those available through the MGIB. This paper analyzes how GI Bill benefits affect military retention and veterans' benefit usage. The analysis is useful for two reasons. First, as our review of the literature below indicates, existing studies of the retention and usage effects of military education benefits are now quite dated. Second, prior studies have all ignored issues relating to selection; as a result the estimates of retention and usage effects found in them cannot be cleanly interpreted as pure incentive effects arising from benefit changes. Our analysis accounts for the possibility that higher veterans' education benefits may attract youth who are more likely to separate and use those benefits, conditional on their observables. Over the period of our analysis, the nominal value of GI Bill benefits were set legislatively and changed unpredictably. We use the unpredictable evolution of the value of veterans' education benefits over our data period to disentangle selection effects and incentive effects of benefit changes on retention and benefit usage. Our analysis makes use of administrative data that span the period 1988-2005 and contains annual information on every individual who entered active military service from the time of entry to the time of separation or, if still in service, until the end of fiscal year (FY) 2004. As shown below, this was a period during which the real value of military educational benefits fluctuated considerably. For those who separated, details of educational benefit usage were available to us as of June 2005. If educational benefits do affect the retention behavior of military personnel or the educational decisions of military veterans, their effects should be apparent in data over this period. To highlight our key findings, we estimate that a $10,000 increase in MGIB benefits would increase the fraction of Army veterans who use them within 2 yr of separation by 5-8 percentage points. …"
