"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Veterans' licensing and certification demonstration","https://scispace.com/paper/S8TXpogTWCQJ","","","","A Dunker
B Parton
M Simon","","https://www.dol.gov/sites/dolgov/files/ETA/publications/ETAOP_2015-03.pdf","… , demonstration states faced challenges getting various staffs with multiple existing responsibilities to focus on the complex work of accelerating veterans’ licensure and certification. …",""
"Exploring the teaching certification and career change of twelve military veterans","https://scispace.com/paper/5uyE99YVVXEJ","","","","DL Jones","","","… Corps, and Navy), the information from 12 military veterans concerning military transition to civilian life will be similar in nature and sufficient to understand the decision making of the …",""
"The influence of employment program components upon job attainment during a time of identity and career transition","https://scispace.com/paper/the-influence-of-employment-program-components-upon-job-19zmfg41","2022","Journal Article","International journal for educational and vocational guidance","Daniel F. Perkins
Katie Davenport
Nicole R. Morgan
Keith R. Aronson
Julia A. Bleser
Kimberly J. McCarthy
Dawne Vogt
Erin P. Finley
Laurel A. Copeland
Cynthia L. Gilman","10.1007/s10775-022-09527-1","https://pmc.ncbi.nlm.nih.gov/articles/PMC8853002/pdf/10775_2022_Article_9527.pdf","… intent and promise of career development, career education, … support veterans, and many focus on assisting veterans with … 25% of all veterans) job training or certification, networking …","This study assessed the effectiveness of employment programs components, which resulted in the identification of content and process components that increase employability. Employment program use was studied among 1172 United States of America military veterans to determine which content (i.e., interviewing skills) and process (i.e., working with a mentor/coach) components influence job attainment during a time of career and identity transition. Components were distilled utilizing a common components analysis approach (Morgan et al., 2018). Associations with finding employment up to 15 months after the military-to-civilian transition were explored. Veterans who engaged with employment programs were primarily accessing the following components: career planning, resume writing, and interviewing skills. However, only a few content components were significantly related to obtaining employment: interviewing (with mentor/coach), resume writing (online tools), translating military to civilian work (with mentor/coach), entrepreneurship (with mentor/coach), and virtual career fairs. Furthermore, not all processes or modes of instruction for content components were associated with success in the job market. Having a mentor/coach was one of the most effective delivery strategies. For example, veterans using programs delivered by a mentor/coach that translated military skills to civilian work were more likely to find a job at 6-9-months (84%) and 12-15-months (91%) post military separation. In addition, risks that predicted lower use of employment program components by veterans were identified such as junior enlisted rank, combat exposure, combat arms occupation, and physical health problems. With these findings, program developers, implementers, and funders can channel efforts towards the utilization of employment programs with effective components.L'influence des composantes du programme d'emploi sur l'obtention d'un travail au cours d’ une période de transition identitaire et professionnelle L'utilisation des programmes d'emploi a été étudiée parmi 1172 vétérans de l'armée américaine afin de déterminer quelles composantes du contenu et du processus influencent l'obtention d'un emploi. Une approche d'analyse des composantes communes (common component analysis, CCA) a été utilisée. Les associations avec l’obtention d’un emploi jusqu'à 15 mois après la transition de l'armée à la société civile ont identifié des composantes significativement liées à l'obtention d'un emploi: l'entretien (avec un mentor/coach), la rédaction d'un CV (outils en ligne), la transposition du travail militaire au travail civil (avec un mentor/coach), l'esprit entrepreneurial (avec un mentor/coach) et les salons de l'emploi virtuels. Le recours à un mentor/coach était l'une des stratégies de prestation les plus efficaces. Les risques prédisant une utilisation moindre des composantes du programme ont été identifiés: grade d'enrôlé junior, exposition au combat, occupation dans les armes de combat et problèmes de santé physique.Der Einfluss von Komponenten eines Beschäftigungsprogramms auf das Erhalten eines Arbeitsplatzes in einer Zeit des Identitäts- und Karriereübergangs Die Nutzung von Beschäftigungsprogrammen wurde unter 1172 US-Militärveteranen untersucht, um festzustellen, welche Inhalts- und Prozesskomponenten den Erhalt eines Arbeitsplatzes beeinflussen. Es wurde ein Ansatz der gemeinsamen Komponentenanalyse verwendet. Die Assoziationen mit der Arbeitssuche bis zu 15 Monate nach dem Übergang vom Militär zum Zivilleben identifizierten folgende Komponenten, die signifikant mit der Arbeitssuche zusammenhängen: Vorstellungsgespräche (mit Mentor/Coach), Verfassen von Lebensläufen (Online-Tools), Übertragung militärischer Arbeit auf zivile Arbeit (mit Mentor/Coach), Unternehmertum (mit Mentor/Coach) und virtuelle Karrieremessen. Die Betreuung durch einen Mentor/Coach war eine der effektivsten Strategien. Folgende Risiken wurden identifiziert, die eine geringere Inanspruchnahme der Programmkomponenten vorhersagen: tiefer Dienstgrad, Kampfexposition, bewaffneter Dienst und körperliche Gesundheitsprobleme.La influencia de los componentes del programa de empleo en la consecución del trabajo durante una época de transición de identidad y carrera Se estudió el uso del programa de empleo entre 1,172 veteranos militares de los Estados Unidos para determinar qué contenido y componentes del proceso influyen en la consecución del empleo. Se utilizó un enfoque de análisis de componentes comunes. Las asociaciones con la búsqueda de empleo hasta 15 meses después de la transición de militar a civil identificaron componentes relacionados significativamente con la obtención de empleo: entrevistas (con mentor / entrenador), redacción de currículos (herramientas en línea), traducción de trabajo militar a civil (con mentor / entrenador), emprendimiento (con mentor / coach) y ferias de carreras virtuales. Tener un mentor / entrenador fue una de las estrategias de ejecución más efectivas. Se identificaron los riesgos que predecían un menor uso de los componentes del programa: rango de alistados juveniles, exposición al combate, ocupación de armas de combate y problemas de salud física. "
"Veteran Transition to the Workplace","https://scispace.com/paper/WkTELBuIIacJ","","","","J Gordon","","https://digitalcommons.liberty.edu/cgi/viewcontent.cgi?article=5325&context=doctoral","… form of training, education, or certification to qualify for the position in question. … military transition to civilian work life is one of the most difficult and stressful experiences many veterans …",""
"More research on veteran employment would show what's good for business and for veterans","https://scispace.com/paper/more-research-on-veteran-employment-would-show-what-s-good-101sy0dqih","2016","Book","","Caroline Batka
Kimberly Curry Hall","10.7249/PE196-1","https://apps.dtic.mil/sti/tr/pdf/AD1014106.pdf","… , veteran employment efforts should support transitions to similar career fields, assisting with licensing and certification … Transition GPS seeks to offer career development information to …",": RAND hosted two workshops, in May and October 2015, that brought together key stakeholders, including representatives from federal agencies, private-sector companies, and research organizations, to collaborate and share ideas to improve veterans employment opportunities. Through these workshops, we sought to explore solutions to key challenges to veteran employment identified in previous RAND research, Veteran Employment: Lessons from the 100,000 Jobs Mission (www.rand.org/t/RR836). Another goal of the workshops was to build on the existing knowledge base and identify remaining research gaps. The discussions outlined the future research agenda to best support the efficacy of efforts to hire and support veterans in the civilian workforce."
"… military to federal civil service employment: Preferential hiring and its unintended consequences on the mid-life career transition and workplace adaptation of veterans","https://scispace.com/paper/LTqI7H4B1R4J","","","","BL Carter-Boyd","","","… -to-civilian transition experiences of veterans employed with the … presence of veterans, potentially hired under veteran preference … Certification received while on active duty also makes …",""
"Educational Pathways for Military Veterans Transitioning Into Information Technology and Cybersecurity-Related Career Fields","https://scispace.com/paper/hUaXzxxqBdQJ","","","","A Hamilton","","","… This dissertation is dedicated to the US military veterans who have voluntarily given so much for our nation and to all who serve in any sort of transition assistance role to help them …",""
"Transitioning enlisted military veterans seeking civilian employment","https://scispace.com/paper/transitioning-enlisted-military-veterans-seeking-civilian-1nleuilhmj","2018","","","Frank Hart","","","… of the military transition program in preparing these enlisted military veterans for the next step … Military retirees serve more than 20 years before retirement, and enlisted military veterans …",""
"Post-9/11 veteran transitions to civilian life: Predictors of the use of employment programs","https://scispace.com/paper/post-9-11-veteran-transitions-to-civilian-life-predictors-of-327wldx347","2019","Journal Article","","Keith R. Aronson
Daniel F. Perkins
Nicole R. Morgan
Julia A. Bleser
Dawne Vogt
Laurel A. Copeland
Erin P. Finley
Cynthia L. Gilman","10.21061/JVS.V5I1.127","","… Some corporations attempt to meet the needs of underemployed veterans by providing the necessary training and certification for civilian careers (eg, Troops to Teachers, Solar Ready …","Post-9/11 veterans indicate that obtaining employment is both a priority and a challenge. Numerous federal, state, community, foundation-funded and corporate programs have been created to assist veterans; however, there is little empirical evidence to know what programming is effective and for whom. This study examined predictors of employment program use among new post-9/11 veterans. Male veterans were less likely to utilize online job databases and resume writing assistance than female veterans. Veterans from the junior enlisted paygrades (E1 to E4) were less likely to use online job databases, career fairs, resume writing assistance, job placement, career counseling, and training or certification programs than more senior enlisted paygrades or officers. Veterans from racial or ethnic minority groups (e.g., Black non-Hispanic, Asian) were more likely to utilize a variety of employment programs than their White non-Hispanic peers. Veterans who were exposed to warfare and those with a current physical health condition were more likely to use employment programs. Moreover, veterans with an ongoing mental health problem were no more likely to use any employment programs than veterans without such problems. To increase the use of employment programs, accessibility and targeted engagement strategies should be developed for veterans of different backgrounds and circumstances. Future directions for the longitudinal analysis of veteran’s utilization of employment programs and their effectiveness in obtaining employment are discussed."
"Career Development through Career Transition Coaching: A Qualitative Study of Military Veterans and Student Coaches.","https://scispace.com/paper/hleE0cR2uQYJ","","","","TH Porter
C Rathert
D Lawong","","https://files.eric.ed.gov/fulltext/EJ1382270.pdf","… The experience gave the students a level of understanding of the context of veteran experiences (eg life in the military, certification, war experience) which may motivate them to actively …",""
