"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Role of Incarceration-Based Education in Recidivism Reduction: A Literature Review","https://scispace.com/paper/the-role-of-incarceration-based-education-in-recidivism-pwbdydvp5bds","2024","Journal Article","Journal of Student Research","Matthew F. Griffith
H Zettler","10.47611/jsrhs.v13i4.7725","","Higher education, GED programs, and vocational training play a major role in reducing recidivism among incarcerated individuals. Research shows that these educational initiatives inside incarceration not only lower recidivism rates but also support successful reintegration into society by increasing employment opportunities. This paper aims to analyze the effectiveness of each educational program and its direct impact on recidivism. Despite the effectiveness of each educational program in reducing recidivism rates among previously incarcerated individuals, challenges such as limited access, program quality, and post-release support persist. Recommendations for enhancing these program's effectiveness and impact include expanding access to higher education within correctional facilities, improving the delivery and integration of GED programs, increasing investment in vocational training aligned with labor market trends, developing holistic reentry programs that address various post-incarceration challenges, and standardizing recidivism definitions for more reliable research. Addressing these recommendations can strengthen the impact of correctional education programs, reduce recidivism, and promote successful reintegration, ultimately further contributing to increased public safety and economic stability. ","This literature review examines the effectiveness of incarceration-based education in reducing recidivism, highlighting the benefits of higher education, GED programs, and vocational training in increasing employment opportunities and successful reintegration into society."
"The Effects of Vocational Education on Recidivism and Employment Among Individuals Released Before and During the COVID-19 Pandemic","https://scispace.com/paper/the-effects-of-vocational-education-on-recidivism-and-18pfxnv5","2023","Journal Article","International Journal of Offender Therapy and Comparative Criminology","Susan McNeeley","10.1177/0306624X231159886","","Prior research shows employment is an important component of desistance, but there is mixed evidence regarding the effectiveness of prison-based education programs. Therefore, this study examines whether participation in vocational education programs while incarcerated improves recidivism and post-release employment outcomes. In addition, the study controls for the timing of release to examine whether recidivism and employment outcomes varied during the COVID-19 pandemic. Observable selection bias was reduced by using propensity score matching to create similar treatment and comparison groups. After matching, there were no differences in any outcome between those who obtained vocational certificates and the comparison group. The results demonstrate the importance of accounting for selection bias in evaluations of education and employment programs. It is recommended that career-focused educational programs incorporate the risk-needs-responsivity model and the continuum of care principle, build relationships with community employers, and assist with practical barriers to employment.","In this paper , the authors examined whether participation in vocational education programs while incarcerated improves recidivism and post-release employment outcomes and found no differences in any outcome between those who obtained vocational certificates and the comparison group."
"The Effects of Vocational Education on Recidivism and Employment Among Individuals Released Before and During the COVID-19 Pandemic","https://scispace.com/paper/the-effects-of-vocational-education-on-recidivism-and-2yu3up2g","2023","Journal Article","International Journal of Offender Therapy and Comparative Criminology","Susan McNeeley","10.1177/0306624x231159886","","Prior research shows employment is an important component of desistance, but there is mixed evidence regarding the effectiveness of prison-based education programs. Therefore, this study examines whether participation in vocational education programs while incarcerated improves recidivism and post-release employment outcomes. In addition, the study controls for the timing of release to examine whether recidivism and employment outcomes varied during the COVID-19 pandemic. Observable selection bias was reduced by using propensity score matching to create similar treatment and comparison groups. After matching, there were no differences in any outcome between those who obtained vocational certificates and the comparison group. The results demonstrate the importance of accounting for selection bias in evaluations of education and employment programs. It is recommended that career-focused educational programs incorporate the risk-needs-responsivity model and the continuum of care principle, build relationships with community employers, and assist with practical barriers to employment. ","In this article , the authors examined whether participation in vocational education programs while incarcerated improves recidivism and post-release employment outcomes and found no differences in any outcome between those who obtained vocational certificates and the comparison group."
"Are Schools in Prison Worth It? The Effects and Economic Returns of Prison Education","https://scispace.com/paper/are-schools-in-prison-worth-it-the-effects-and-economic-c9mty67z4q","2023","Journal Article","American Journal of Criminal Justice","Ben Stickle
Steven Sprick Schuster","10.1007/s12103-023-09747-3","","Abstract Recent expansions in prison school offerings and the re-introduction of the Second Chance Pell Grant have heightened the need for a better understanding of the effectiveness of prison education programs on policy-relevant outcomes. We estimate the effects of various forms of prison education on recidivism, post-release employment, and post-release wages. Using a sample of 152 estimates drawn from 79 papers, we conducted a meta-analysis to estimate the effect of four forms of prison education (adult basic education, secondary, vocational, and college). We find that prison education decreases recidivism and increases post-release employment and wages. The largest effects are experienced by prisoners participating in vocational or college education programs. We also calculate the economic returns on educational investment for prisons and prisoners. We find that each form of education yields large, positive returns due primarily to the high costs of incarceration and, therefore, high benefits to crime avoidance. The returns vary across education types, with vocational education having the highest return per dollar spent ($3.05) and college having the highest positive impact per student participating ($16,908). ","This meta-analysis of 152 estimates from 79 papers finds that prison education decreases recidivism, increases post-release employment and wages, with vocational and college programs yielding the largest effects and highest economic returns."
"Does providing inmates with education improve postrelease outcomes? A meta-analysis of correctional education programs in the United States","https://scispace.com/paper/does-providing-inmates-with-education-improve-postrelease-4jbemb0poz","2018","Journal Article","Journal of Experimental Criminology","Robert Bozick
Jennifer L. Steele
Lois M. Davis
Susan Turner","10.1007/S11292-018-9334-6","","Our study addresses the question: Does providing inmates with education while incarcerated reduce their chances of recidivism and improve their postrelease employment prospects? We aggregated 37 years of research (1980–2017) on correctional education and applied meta-analytic techniques. As the basis for our meta-analysis, we identified a total of 57 studies that used recidivism as an outcome and 21 studies that used employment as an outcome. We then applied random-effects regression across the effect sizes abstracted from each of these studies. When focusing on studies with the highest caliber research designs, we found that inmates participating in correctional education programs were 28% less likely to recidivate when compared with inmates who did not participate in correctional education programs. However, we found that inmates receiving correctional education were as likely to obtain postrelease employment as inmates not receiving correctional education. Our meta-analysis demonstrates the value in providing inmates with educational opportunities while they serve their sentences if the goal of the program is to reduce recidivism.","In this paper, a meta-analysis showed that providing inmates with education while incarcerated reduced their chances of recidivism and improved their post-release employment prospects, and that inmates who received education were 28% less likely to recidivate when compared with those who did not receive education."
"The Impact of Career and Technical Education Programs on Adult Offenders: Learning Behind Bars","https://scispace.com/paper/the-impact-of-career-and-technical-education-programs-on-4kujnhp5ig","2016","","","Weldon","","https://www.jstor.org/stable/23292175","The primary purpose of this study was to examine recidivism rates of inmates who par ticipated in educational programs during the time they were incarcerated at Huttonsvilie Correctional Center in West Virginia. The Education Department at Huttonsville Correctional Center provided files pertaining to inmates who were enrolled in educational programs during 1999-2000. Vocational completers had a recidivism rate of 8.75%, inmates who participated in both CED and vocational training reported a recidivism of 6.71%, and non-educational participants had a recidivism rate of 26%. CED and vocational training programs had a positive effect on reducing recidivism. Overall, participation of the incarcerated in correctional education programs appears to reduce recidivism. Education is a change agent. Incarceration is meant to change atti tudes. The combination of career and technical education along with incarceration for the qualified inmate may help to increase the safety of society when the offender is released. West Virginia Department of Corrections should provide adequate funding and ensure the quality of education throughout both the prison system and the com munity correction system to further develop social, cultural, academic and vocational learning.","In this article, the authors examined recidivism rates of inmates who participated in educational programs during the time they were incarcerated at Huttonsvilie Correctional Center in West Virginia."
"Corrections education and employment assistance ‘down under’: current and emerging practices and paradigms","https://scispace.com/paper/corrections-education-and-employment-assistance-down-under-1v4bg1x587","2014","Journal Article","London Review of Education","Joseph Graffam
Alison J. Shinkfield
Barbara Lavelle","10.18546/LRE.12.2.07","https://scispace.com/pdf/corrections-education-and-employment-assistance-down-under-1v4bg1x587.pdf","This article provides a view of contemporary Australia in terms of patterns of offending and incarceration, the characteristics of its correctional systems, vocational education and training (VET) within correctional settings, and post-release employment of prisoners and offenders serving community-based orders (CBOs). A two-year case study of employment assistance for 2,458 Australian prisoners and offenders serving CBOs was evaluated. The voluntary 12-month programme targeted participants at moderate to high risk of reoffending. Overall, employment outcomes were positive with more than one-third of registrations resulting in employment. Employment outcomes varied for gender and participant status (prisoner/offender). Recidivism outcomes were analysed for the whole programme and for a random sample of 600 prisoner participants. Results indicated a very low overall recidivism rate (7.46 per cent) for programme participants, and comparison of pre-programme and post-release recidivism showed reduced recidivism on three recidivism measures. The findings are contextualized in terms of current thinking and emerging practices in offender treatment, with a focus on reintegration as ecological system engagement and integrated systems of support as central to promoting positive lifestyle change.","In this paper, a case study of employment assistance for 2,458 Australian prisoners and offenders serving community-based orders (CBOs) was evaluated, with a focus on reintegration as ecological system engagement and integrated systems of support as central to promoting positive lifestyle change."
"Prison-Based Training Programs, Recidivism, and Employment","https://scispace.com/paper/prison-based-training-programs-recidivism-and-employment-249r9ylqr5","2023","Preprint","","Maria Antonella Mancino","10.2139/ssrn.4509303","","In this paper, I study the effects of prison-based social skills and job skills training programs on post-release employment and crime outcomes. First, I provide empirical evidence that these programs significantly reduce recidivism and increase employment in the medium term. To do so, I take advantage of a rich panel dataset on serious juvenile offenders, the Pathways to Desistance. Second, I develop and estimate a model of crime, employment, and prison-based training program participation, which allows me to explore the underlying mechanisms. In the model, training programs alter individuals' preferences towards crime and provide information about the legal labor sector, facilitating the transition once released. I find that participating in a prison program increases the psychic cost of crime and reduces the average time to receive a job offer by a month, partially neutralizing the negative effect of criminal records. I further use the model to show that prison-based training programs have significant effects on crime and employment even if criminal experience has accumulated, and that policies that reduce the cost of training programs can have important and lasting effects on subsequent crime and employment outcomes. ","Prison-based training programs significantly reduce recidivism and increase employment in the medium term. They alter individuals' preferences towards crime and provide information about the legal labor sector, facilitating the transition once released."
"Offender Employment Programs: A Meta-Analysis Regarding Offender Work Opportunities and Post-Release Outcomes","https://scispace.com/paper/offender-employment-programs-a-meta-analysis-regarding-2cpov1ffcb","2017","","","Michael L. Rush","","","Employment is a critical component during reentry and provides recently released offenders with legitimate income while establishing a foothold in the community. Correctional departments facilitate vocational education and training, allowing offenders to learn technical and soft skills . Coined as offender employment programs (OEPs), this meta-analysis provides additional insight regarding their effectiveness by observing postrelease employment and recidivism outcomes . The study identifies OEPs impact on offender participants and provides an explanation as to why the effect on post-release employment and recidivism outcomes are small. While utilizing a random effect model, effect sizes for 46 independent OEP outcome measures from 10 publications are partitioned into subcategories to identify relationships among OEPs, employment, and recidivism after offenders are released from prison. Although OEP related studies often report statistically significant results in favor of participants (treatment groups), the present study illustrates a more detailed picture about OEP effectiveness when measuring rearrests, reconvictions, reincarcerations, and obtaining employment. Findings in the research are analogous to previously published OEP meta-analyses . Small effect sizes were found throughout all employment and recidivism categories . Statistical tests also displayed a small effect size when combining all independent outcome","In this paper, a meta-analysis of 46 independent OEP outcome measures from 10 publications was performed to identify relationships among OEP, employment, and recidivism after offenders are released from prison."
"Formação profissional e educação técnica como estratégias de empoderamento no sistema prisional","https://scispace.com/paper/formacao-profissional-e-educacao-tecnica-como-estrategias-de-1lytiecxw9","2024","Journal Article","Observatorio de la economía latinoamericana","Silvana Maria Aparecida Viana Santos","10.55905/oelv22n4-037","","Este estudo abordou o problema da reinserção social de detentos e a redução da reincidência criminal através da formação profissional e educação técnica no sistema prisional. O objetivo geral foi analisar como essas estratégias educacionais contribuem para o empoderamento de detentos, facilitando sua reintegração à sociedade. A metodologia adotada consistiu em uma revisão de literatura, incluindo a análise de estudos de caso relevantes e a comparação entre diferentes contextos nacionais e internacionais. Os resultados indicaram que a educação profissional e técnica oferece benefícios significativos para detentos, incluindo a aquisição de habilidades práticas, o aumento da autoestima e a melhoria das perspectivas de emprego pós-liberação. No entanto, a implementação desses programas enfrenta desafios, como a falta de recursos e resistências institucionais. As considerações finais destacaram a necessidade de comprometimento político e social para superar esses obstáculos, enfatizando a importância da educação como direito humano fundamental e pilar para a reabilitação e reintegração social.","Formação profissional e educação técnica são estratégias de empoderamento no sistema prisional, contribuindo para a aquisição de habilidades práticas, aumento da autoestima e melhoria das perspectivas de emprego pós-liberação."
