"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"What Makes Employees Productive and Have High Performance? Human Capital Investment in Universities","https://scispace.com/paper/what-makes-employees-productive-and-have-high-performance-4ubn8nagxx","2020","Journal Article","","Fitri Nurmahmudah
Eka Cahya Sari Putra","10.9734/AJESS/2020/V11I130281","https://scispace.com/pdf/what-makes-employees-productive-and-have-high-performance-4ubn8nagxx.pdf","The study describes the evaluation results concerning the improvement of the education levels among the employees of a university in Indonesia by making an investment in education. The study is aimed at investigating the employees’ productivity and performance after making an investment in education. This study with evaluation method using discrepancy model. The sample of the study consisted of 255 non-academic university employees. Data were collected by way of a questionnaire on Guttmann scale. The questionnaire was validated by using logical and empirical validation by a Pearson correlation technique and reliability by KR-20 technique. The data analysis with descriptive. To calculate the capital human investment, the human capital investment formula was used for finding payback period, benefit/cost ration, return-on-investment, net-present-value, and internal-rate-of-return. The results of the study showed that the employees who made human capital investment in education were able to increase their productivity and performance as their insights, knowledge, and skills improved. The research findings were able to give insights to leaders in high-level institutions or government institutions that investing in education is truly essential, needs more attention, and needs to be done by employees. Original Research Article Nurmahmudah and Putra; AJESS, 11(1): 21-36, 2020; Article no.AJESS.60925 22","the extent of the contribution of investment in the field of education. Benefit / Cost Ratio can help use it to (a) assist in decision making processes; (b) add alternatives or choices; and (c) reduce the cost of ineffective alternatives. Percentage of Education Investment Returns (Return on Investment -ROI):
 Return on investment is a measure of performance that can be used to compare several investments, one of which is investment in education.   Internal efficiency and external efficiency have very strong links. The external efficiency of education includes the rate of economic return and education investment in general, funding allocations for types and levels of education. If output refers to the internal goals of the education system, such as dropping out of school, repetition rates and achievement of curriculum objectives, the focus of the analysis will be on the internal efficiency of the education system itself. Both are aspects of the overall efficiency of the education system. Percentage of Education Investment Returns (Return on Investment -ROI):
 Mueser et al.  states that ""the amount of return on investment will change if there is a change in profit margin or Asset Turn Over, either or both of them."" By knowing the human capital return on investment, the organization can find out how much the ability of its education personnel makes a profit and how efficiently the organization uses human resources (employees), because the future of the organization is determined by the quality of the current employees. Percentage of Education Investment Returns (Return on Investment -ROI):
 The resulting findings are not just a simple explanation of the significance of the relationship, but they also reveal other evidence about the causes of the relationship. Such studies can also be used to measure the effect of education on ability, increased productivity, and increased labor wages. Percentage of Education Investment Returns (Return on Investment -ROI):
 Conceptual return on investment (ROI) includes income earned after employees carry out economic activities and earn income. Based on the human capital approach, income can be increased by education, meaning that every additional time (month/year) following education will have an impact on increasing income but, on the other hand, delaying income during the education (probable costs) and paying all tuition fees. ROI analysis in education can use the human capital approach. This approach uses a method whose main component is the salaries of the non academica employees as a basis for analysis. There are theoretical income that is included in income not from non-labor income, such as inheritance, bank savings interest, and dividends. Labor income includes salary, performance allowances, and other benefits (finger benefits). In the perspective of the employment-educated economy, every education worker earns income from his work differently due to differences in the quality of employees, such as ability. Education has a significant influence on quality, especially the level of educational ability. Therefore, investment in education is one method to reduce income inequality."
"Motivating Learning and the Development of Human Capital","https://scispace.com/paper/motivating-learning-and-the-development-of-human-capital-13wgcggqt1","2003","Journal Article","Compare","Angela W. Little","10.1080/0305792032000127748","https://scispace.com/pdf/motivating-learning-and-the-development-of-human-capital-13wgcggqt1.pdf","This paper revisits Schultz's concept of human capital. In both the South and the North the concept has been incorporated uncritically into policy discourses. The academic community has been less critical. Its theoretical, empirical and methodological critiques have generated at least two responses from the economists. The first is the extension and refinement of the conceptual and methodological frameworks of human capital. The second maintains the focus on the monetary returns and draws attention to the enduring unexplained variance of differences in lifetime earnings and the 'behavioural' factors, besides education, that may account for it. The basic proposition of human capital theory, that people invest in themselves through education, takes human motivation for granted. The author suggests that questions of motivation and learning are central to the concept of human capital. Not only is learning motivated, but learning can itself be motivating. A review of studies of the motives for learning in educ...","Title: Motivating Learning and the Development of Human Capital Authors: Angela W Little Introduction:
 The origin of the idea of human capital goes back to at least Adam Smith who, in the Wealth of Nations, suggested that investment in physical capital through expenditure on machines might have parallels in investment in human capital through expenditures on education and training. Introduction:
 Theodore Schultz and Howard Becker, among others, were to revive this idea and develop it considerably from the early 1960s. Schultz was under no illusion about the unpalatability of the idea of regarding human beings as a potential form of capital, and of learning and education as the means of investment in that capital. In his address to the American Economists Association in 1960 he urged fellow economists to reconsider the idea of education as a form of investment in human capital, rather than simply a good for consumption Economists have long known that people are an important part of the wealth of nations. Measured by what labor contributes to output, the productive capacity of human beings is now vastly larger than all other forms of wealth taken together. What economists have not stressed is the simple truth that people invest in themselves and that these investments are very large. Although economists are seldom timid in entering on abstract analysis and are often proud of being impractical, they have not been bold in coming to terms with this form of investment  The idea of education as a form of investment became the missing piece in the jigsaw of the puzzle of the sources of economic growth that were not accounted for by increases in land, labour (man-hours) and physical capital. The propositions of human capital theory were that the skills that people acquire are a form of capital, human capital; that these are acquired through deliberate investments in education; that skills are the capacities that contribute to economic production; and that earnings in the labour market are the means by which a person's productivity is rewarded. This form of capital had grown in Western societies at a rate faster than ""conventional"" (nonhuman) capital and that its growth has been the most distinctive feature of the economic system of the mid 20 th century . Introduction:
 As  has pointed out, the idea that education represents investment in human capital is much than a simple analogy with physical capital. …it implies that it is possible to measure the returns to investment in education, and to apply cost benefit analysis to decisions about education expenditure, in the same way as rates of return are used to analyse the profitability of investment in conventional physical capital . Introduction:
 Woodhall also points out that while the idea of human capital may be traced to writers in the eighteenth and nineteenth century, the first serious attempts to measure the economic costs and benefits of education and compute rates of return were made, for the United States by  and . Throughout the 1970s and 1980s studies of cost-benefit and rates of return were undertaken in a range of industrialised and developing countries by  and others.  summarises four general patterns revealed by these studies; (i) social returns are consistently lower than the private rate of return (ii) social and private rates of return to primary education tend to be higher than rates of return to secondary or higher education; (iii) the rate of return to education is higher in developing countries than in developed countries; and (iv) the rate of return to investment in education is higher than the average rate of return to physical capital in developing countries, though not necessarily in developed countries."
"Economic aspects in education","https://scispace.com/paper/economic-aspects-in-education-363vw6e9y9","2014","","","Tero Suutari","","https://scispace.com/pdf/economic-aspects-in-education-363vw6e9y9.pdf","","first, a move away from an emphasis solely on techniques of planning to one which stresses the importance of planning as a process; and second, a shift from concentrating on a single approach and technique to a wider use of several modes of labor market analysis. Cost-Benefit Analysis:
 The idea of cost-benefit analysis is to seek a better economic basis for establishing training employment relations. The advocates of the cost-benefit approach find this basis in the theory of human capital, according to which education and training are an economically worthwhile investment from the standpoint of both the individual and the nation. The approach lies in an economic perspective, with emphasis on the mechanisms of natural regulation which operate on the labor market through wages and incomes. In this perspective, when individuals choose a course of action they implicitly analyze what it is going to cost them and what benefit they will derive from it. For instance if a young person decides to continue his or her studies, say at a university, the cost of doing so can be measured in terms of fees, and especially in terms of opportunity costs; that is to say the loss of earnings resulting from not having entered remunerative employment instead of attending a university.  The cost-benefit analysis usually analyzes individual gains in earnings through education. This leaves a substantial amount of benefits, which can be calculated into monetary terms out of equation that education has an effect on. This was explained in Education and benefits chapter. Therefore, neither this method nor any other method should take for granted. A person who attends a university can hope to enjoy a higher income for the whole of his or her working life, which will more than compensate for the initial loss of earnings, in other words the opportunity cost. Taking into account the interest rates applicable to these different periods of active life, it is possible to establish a balance-sheet in terms of return on investment. This analysis can be transposed from the individual level to the community level, provided it is accepted that individual remuneration is equivalent to the benefit the community derives from the individual's activity. In this way one could evaluate the cost and benefit to a country of different types of training or their future development.  Compared to the previously explained manpower approach that tries to estimate how many workers in various sectors are needed in some point of time in the future, the cost-benefit analysis does not give a number of how many electric engineers we should educate for the future. What it does, is that it enables a direct comparison of the costs and benefits of an alternative or a comparison of their magnitudes with those of other types of social investments in education or in other sectors. Not only is it possible to ascertain which educational investment has the largest benefits relative to costs; it is also possible to compare these results with investments in health transportation, physical capital such as plant and equipment, and other sectors. In this way governmental units can use cost-benefit analysis to compare the desirability of alternative educational investments, as well as in determining the balance between investing in education and other sectors.  Here we come to the allocation and efficiency problem that were explained in the beginning of this chapter. Resources are scarce and therefore they need to use in a proper manner. Therefore cost-benefit analysis gives tools to do intersectoral and intrasectoral comparison. Former being comparison of education to other sectors of society like healthcare and latter being comparison inside the education sector of for example higher education and vocational education."
"A survey study of human capital and educational attainment","https://scispace.com/paper/a-survey-study-of-human-capital-and-educational-attainment-2kvfa307c7","2020","Journal Article","","Rininta Nurrachmi","10.20473/AIJIEF.V2I2.20645","https://scispace.com/pdf/a-survey-study-of-human-capital-and-educational-attainment-2kvfa307c7.pdf","The development of human capital is the essential thing to determine a country’s growth. The existence of a country’s human capital quality depends on its education. The change of information in society is going rapidly and it is important to cope up with information and knowledge to all economic process. With the role of human capital in the modern societies many people are still unaware about the process of educational production. This paper is aimed to provide the process on human capital formation and educational attainment from microeconomic perspective. The literature reviews indicate that education attainment in the society are influence by many factors namely religion, family background, teacher’s quality and incentive, and the peer effects. In the empirical studies, Mincerian wage equation is the most widely used to analyze education and earnings. Besides from educational production function, to determine the quality of human capital, fiscal policy through taxation and educational subsidies have impact to the end result of students.","to pay for general training (see table ). report that this situation occurs due to incomplete contract where one party (eg. The employer) pays the costs of the investment in human capital while another party (eg. The employee) shares in the return. Investment in The Human Capital: Perfect Labor Markets:
 As an employee, he or she has the right incentives to invest in general human capital because he or she is the sole beneficiaries of his or her increased productivity.  states that employees can finance such investment quite easy by accepting a wage below their productivity during the period of training. Apprentice is an example where employee often paid very low wages until they mastered a certain grade. Investments in The Human Capital: Imperfect Labor Markets:
 The condition is different when the firm investing human capital in the imperfect labor market. In figure f(t*)` = c(t*)` (2):
 In contrast, if the labor markets are not competitive or there are other labor markets disputed that elevate wage compression, the worker's wage is below his marginal product. If the condition where the wage structure is compressed, the general skills are turned into de facto specific skills and firms manage to skim labor market rents depend on the amount of training. f(t*)` = c(t*)` (2):
 Table  provides a simple explanation on human capital investment in perfect and imperfect labor markets. As we can see the total investment become efficient if type of skill on human capital investment in general with the perfect labor markets and workers invest in general training while firms do not invest in general training. The next section we elaborate more on the rate return on education where most of the education process is discussed in microeconomic perspective. The Rate Return of Education:
 The rate return to education in the economy consists of macro and micro level. In macroeconomics, the rate return of education is measured in cross-section of countries, which relate to GDP growth rate while in microeconomic perspective the level of education is gauge base on extra earnings of a worker for an additional year of schooling and training. In this study, we focus on rate return of education from microeconomics point of view that influence the amount of human capital investment at the individual level. The Rate Return of Education:
 Several studies (see Purnastuti et al, 2012; Thaib, 2013; Wu & Hang, 2016) have defined that human capital theory stress on education that provides information and skills to enhance the productive capacities of a human being. Individual invest in education in schooling to achieve skills and productivity. These skills eventually raise the value of an employee in a firm and lead to higher wages being offered. Moreover, investment in education will provide economic growth within the country and enhancement of human quality. The Rate Return of Education:
 Growing literature apply Mincerian wage equation to analyze the wage income as a function of schooling and experience. It is one of the most widely employed models in the empirical economics (see"
"Cost Analysis for Educational Policymaking: A Review of Cost Studies in Education in Developimg Countries. BRIDGES Research Report Series, No. 3.","https://scispace.com/paper/cost-analysis-for-educational-policymaking-a-review-of-cost-25vw1wip28","1988","","","Mun C. Tsang","","https://scispace.com/pdf/cost-analysis-for-educational-policymaking-a-review-of-cost-25vw1wip28.pdf","","that the labor market is perfectly competitive. This is not likely to be true in developing countries where governments are big employers. However, it seems unlikely that these methoth,ogical problems will invalidate the conclusions of the rates of return literature discussed above. Cost-Benefit Studies in Education iii Developing Countries:
 But alternative analyses of the economic benefits of education have emerged since the early 1970s which challenge human capital theory and question the relevance of social rates of return to education for guiding public educational policies. Psacharopoulos has rightly obse-vA that the ""rate of return subject is still highly controversial in the literature"" (1981:   329). Soine analysts have put forward different explanation.; of the relationship between education, productivity, a id earnings'; they question the theoretical basis of the social rates of return approach.     ext positive relationship between education and earnings by pointing out the screening function of education in a labor market characterized by imperfect infornition. Education does not raise an individual's prod,,-tivity. Rather it reflects the ability of an individual. If everything else is the same, it costs less for more able individuals to acquire education and thus hay*: higher educational attainment. Employers use education as a signal to identify more able individuals and pay them higher wages because of their better performance. Since education reflects ability only, expenditures on education will not raise the productivity of individuals. Don 1976) points out that job screening using educational credentials often puts intense pressure on the education system to expand. The expansion process is a vicious cycle; as the growing crowd of young people secure diplomas, ever higher educational credentials become necessary to obtai jobs. At the same time, educational expansion let...lb to a severe financial burden on the gcvernment. Cost-Benefit Studies in Education iii Developing Countries:
 The existence of dual or segmented labor markets can mediate or even fundamentally change the relationship between education and income . This perspective argues that the labor market is not homogeneous. Instead, it is divided into seg- ments. Workers in some segments (e.g., primary labor market) have stable and well-paid jobs while workers in other segments (e.g., secondary labor market) have temporary employment and a meager it ^me. Education is an important factor in deciding in hich segment a worker is located. Thus, the economic benefits of education depend on the divisions in the labor market. These divisions are the results of a historical process shaped by economic and political forces. According to this perspective, the assumption of a single, competitive labor market on which the social rates-of-return approach is based is untenable. Cost-Benefit Studies in Education iii Developing Countries:
 Recent analyses indicate that the relationship between education and productivity is more complex than the direct and positive relationship suggested by the human capital theory . Empirical evidence has shown that underutilization of education in production can lead to lower work effort and lower productivity. Thus the economic benefits of education depend not only on the quantity and quality of education, but also on the utilization of education in the workplace. Underutilized education can be counterproductive."
"How To Measure The Economic Return Of Education","https://scispace.com/paper/how-to-measure-the-economic-return-of-education-39lz1hvx50","2024","Journal Article","","Prof. Alotaibi Mohamed Meteb","10.53555/kuey.v30i5.3236","https://scispace.compdf/how-to-measure-the-economic-return-of-education-39lz1hvx50.pdf","This research aims to explain the different ways to measure the economic return from education by comparing individual and social incomes with the educational levels of individuals. There are many methods that can be used to measure the economic return from education, the most important of which are the simple correlation method, the residual income method, and the direct rate of return method for education. The descriptive analytical approach was used to measure the economic return from education and to analyze the return and cost of education. There are many studies that have attempted to measure the economic return from education with the aim of determining the economic value of education represented by the income or wage that the educated individual receives, is this income primarily due to education or are there other factors that affect income generation. Previous studies in measuring the economic return from education have reached important results, a higher level of education leads to increased productivity and higher income. Through analyzing the return and cost of education, the economic return from education is greater than the expenditure on it, and its investment return may exceed many other economic projects. Education also has a social return, both for individuals and society. ","Title: How To Measure The Economic Return Of Education Authors: Mohamed Alotaibi (Corresponding Author),Meteb Keywords: education, cost-benefit analysis, economic return, economic growth, human capital"
"The economics of education: investing in human capital","https://scispace.com/paper/the-economics-of-education-investing-in-human-capital-hj4dxz1g13","2024","Journal Article","International Journal of Innovations in Engineering Research and Technology","Khodjamuratova Gulbakhar","10.26662/ijiert.v11i1.pp49-51","https://scispace.compdf/the-economics-of-education-investing-in-human-capital-hj4dxz1g13.pdf","The economics of education is a crucial area of study that examines the impact of educational investments on economic development, individual income, and overall productivity. It delves into how education contributes to human capital formation, which in turn has far-reaching implications for economic growth and social progress. Understanding the economic dimensions of education involves analyzing the costs and benefits of educational investment, as well as the long-term impact on shaping the future workforce and fostering innovation and technological advancement. Investing in human capital through education is widely recognized as a driver of economic development. A well-educated workforce is essential for a country's competitiveness in the global economy.","Title: THE ECONOMICS OF EDUCATION: INVESTING IN HUMAN CAPITAL Authors: Khodjamuratova Gulbakhar Keywords: economics, education, impact, investments, economic development, individual income, productivity, human capital formation, growth, social progress, costs, benefits, workforce, innovation, technological advancement, competitiveness, skills, knowledge, capabilities, labor market, job requirements"
"Indirect Benefits of Women’s Education: Evidence from Bangladesh","https://scispace.com/paper/indirect-benefits-of-women-s-education-evidence-from-3jr3ghrbr5","2012","","","Selina Akhter","","https://scispace.com/pdf/indirect-benefits-of-women-s-education-evidence-from-3jr3ghrbr5.pdf","x","to education, while P. ) concentrated on women""s labour force participation and its returns in the context of developing countries. Human capital theorists, thus, have made the largest contribution by constructing a theoretical base to analyse the contribution of education to economic development. Human Capital Theory:
 Although the focus of human capital theory is on the productivity of the workforce from acquiring education, Libenstein (1957) also highlighted that nutrition is an important determinant on account of its substantial contribution to increasing an individual""s productivity. Relative to poorly nourished workers, better nutrition is associated with higher productivity.  has mentioned the activities that influence future real income through allocating resources to people as an investment in human capital. The avenues for investment in human capital comprise schooling, training for various trades, medical care, vitamin consumption and also opportunities of acquiring information about the economic system. Thus, expenditures for consumption in early years of age significantly contribute to improving the physical and mental abilities of people and thereby raise their real income prospects . Findings of  showed that individuals invest in education to raise future income, while they invest in health to raise the probability of achieving this higher income as their life expectancy extends. He has mentioned in a growing economy, an individual, who is risk averse, first invests in health to increase the probability of achieving the higher income in the second period. He concluded that health investment is vital for positive economic development while policies directed towards education or health programs that promote education will have sustained positive outcomes for economic growth. Human Capital Theory:
 In the process of developing knowledge and skills, formal schooling is considered as the principal route ) while years of schooling, primary and secondary school completion rate and literacy rate are the indicators for assessing the level of human capital within a country. Tests on competencies such as basic mathematics, English literature or other subjects are also used as the measures of human capital (Jolliffe 1998).  and  stated that ""average years of schooling"" is a popular proxy in measuring human capital, although these measures do not capture the qualitative aspects. However, although it is difficult to find a unique measure to estimate the human capital, the cost-benefit approach based on rate of returns is the most commonly used method in this respect. The Rate of Return to Education:
 Assessment of the relationship between earnings and education is the cornerstone of human capital theory. The differences in average mean earnings of graduates at successive levels of education reflect the premium associated with education investment."
"Labor Market Effects of Human Capital and of Its Adjustment to Technological Change.","https://scispace.com/paper/labor-market-effects-of-human-capital-and-of-its-adjustment-2xcsim533c","1989","","","Jacob Mincer","","https://scispace.com/pdf/labor-market-effects-of-human-capital-and-of-its-adjustment-2xcsim533c.pdf","This document, a review of labor market effects of human capital, focuses on two related topics. Part I describes the following early findings of the research on effects of education and job training on the wage structure, labor turnover, and unemployment: decline of training with experience, positive and significant effects of training on length of completed tenure, less turnover over longer periods for workers who received training, positive effect of training on wage growth, positive effect of training on wage growth in wage trajectories that transcend tenure in one firm, and reduced unemployment fur those with job training. This part concludes with an attempt to estimate volumes and profitability rates of job training directly from data on incidence, duration, and wage growth effects of observed training. Part II reports on findings about effects of technological change on the use of human capital and on consequent effects of productivity growth on wages, turnover, and unemployment. Among other things, these findings indicate that: acceleration of technological c4anges in a sector raises the share of educated workers within it; sectors with more rapid productivity growth show higher rates of return to education; turnover rates decline in sectors with long-run high rates of productivity growth; and technological change tends to reduce unemployment. Contains 33 references and 14 tables for Part I and 21 references and 9 tables for Part II. (YLB) Reproductions supplied by EDRS are the best that can be made from the original document. ********************************************************************","Title: LABOR MARKET EFFECTS OF HUMAN CAPITAL AND OF ITS ADJUSTMENT TO TECHNOLOGICAL CHANGE Authors: Jacob Mincer,Jacob Minc Keywords: DESCRIPTORS Adult Education, *Human Capital, *Job Training, Labor Economics, Labor Force Development, Labor Market, *Labor Turnover, Outcomes of Education, *Productivity, Staff Development, *Technological Advancement, *Unemployment, Vocational Education, Wages"
"Evaluation of Return to Investment in Human Capital in Lithuania in the Context of Other Countries","https://scispace.com/paper/evaluation-of-return-to-investment-in-human-capital-in-2ee30n2aku","2013","Journal Article","The Engineering Economics","Zita Tamasauskiene
Simona Poteliene","10.5755/J01.EE.24.3.2957","https://scispace.com/pdf/evaluation-of-return-to-investment-in-human-capital-in-2ee30n2aku.pdf","The research literature presents a strong positive relationship between economic development and human capital, which is usually measured by education. The standard approach assumes that an individual invests some time in education, and then it shows up in terms of enhanced future earnings as a return, i.e. investment in education helps to increase the individuals’ future earnings. How much to invest in education is one of the most important economic decisions that individuals have to face. Hundreds of studies in many different countries and time periods have confirmed that better-educated individuals earn higher wages, suffer less unemployment and work in more prestigious occupations, have other social returns like honour and status than their less-educated counterparts. This positive correlation between education (schooling) and earnings is well established in the empirical literature. Despite the fact, that the rate of return to education (human capital) has been widely studied in the world since the late 1950s and even though hundreds of papers have studied this issue in various countries at different time periods and with alternative estimation methods, studies concerning Lithuania’s case remain limited. This study focuses on the evaluation of investments in human capital. Problem question raised: Once education, which plays a very important role in development and growth of a country, is treated as an investment, the immediate natural question is: what is the profitability of this investment comparing to alternatives? Therefore it is important to investigate the return to investment in education in order to evaluate effectiveness of investments in human capital in Lithuania and compare it to the other countries in the development process. The object of the research – the return to investment in human capital. The aim of the research is to estimate the private rate of return to human capital in Lithuania and to study the changes of these returns during the time (2003-2011) and compare calculated data with analogical data in other countries. In the first part of the paper the concept of “human capital” is defined, before estimating the returns to human capital. In order to reveal the return to investment in human capital, it was limited to investment in education overview. Further, the research methodology is presented. One of the main ways to calculate the rate of returns to investment in human capital, which is used in the empirical practice, is the “full-discounting” or “elaborate” method, which consists in calculating the internal rate of return, was employed. 2003-2011 statistical data were used for the study. The conclusions reveal that the rate of return to investment in human capital varies over time and rate of return for females is lower than for males. The rate of return of investment in human capital varies, reflecting the effect of constantly decreasing income tax, average wage and cost changes of higher increments of education (increase / decrease). After comparing Lithuania’s and other countries’ rate of return on investment in human capital, it is seen that private rate of return in Lithuania is similar to Denmark, Spain, Finland, Germany and USA. Compared to neighbour countries Latvia and Estonia, the return on investment in human capital is also similar to that in Lithuania. DOI: http://dx.doi.org/10.5755/j01.ee.24.3.2957","Title: Evaluation of Return to Investment in Human Capital in Lithuania in the Context of Other Countries Authors: Zita Tamasauskiene,Simona Poteliene Keywords: Human capital, Investment in human capital, Costs, Benefits, Rate of return Introduction:
 Now there is a general consensus among scholars and policymakers that human capital is increasingly becoming one of the most significant sources for social and economic performance particularly for knowledge based economies . The knowledge based economy of our age calls for a workforce with special knowledge . The empirical researches of human capital theory have confirmed that education has a favourable effect on economic development since it increases ""the value creating ability of human effort (work)"" . Therefore, the productivity of labour indicates the competence, knowledge and skills of the people . Introduction:
 Education is one of the most powerful instruments of reducing poverty, inequality, unemployment and other social evils and thus lays foundation for sustainable economic growth and development . Therefore, education is an important investment tool, which can improve workers 'productivity and influence economic growth. As an important determinant of labour productivity, it also has an important influence on earnings and through the tax/transfer system on public finances . Introduction:
 The standard approach assumes that the individual invests some time in education, and then it shows up in terms of enhanced future earnings as a return , i.e. investment in education helps to increase the individuals' future earnings. How much to invest in education is one of the most important economic decisions that individuals have to face. Hundreds of studies in many different countries and time periods have confirmed that better-educated individuals earn higher wages, suffer less unemployment and work in more prestigious occupations , have other social returns like honour and status  than their lesseducated counterparts. This positive correlation between education (schooling) and earnings is well established in the empirical literature . Introduction:
 Despite the fact, that the rate of return to human capital (education) has been widely studied in the world since the late 1950s and even though hundreds of papers have studied this issue in various countries at different time periods and with alternative estimation methods, studies concerning Lithuania's case remain limited. Only few authors  -can be named, that have calculated the return to investment in human capital (education) in their works. Introduction:
 Once education, which plays a very important role in development and growth of a country, is treated as an investment, the immediate natural question is: what is the profitability of this investment comparing to alternatives? Therefore it is important to investigate the return to investment in education in order to understand the role of education in Lithuania and compare it to the other countries in the development process Introduction:
 The aim of the research is to estimate the private rate of return to human capital in Lithuania and to study the changes of these returns during the time  and compare calculated data with analogical data in other countries. Introduction:
 The object of the researchthe return to investment in human capital. Introduction:
 The research methods used: comparative and logical analysis and interpretation of literature, comparative analysis of statistical data, generalization method. The concept of 'human capital':
 There are three main components of 'human capital'early ability (whether acquired or innate); qualifications and knowledge acquired through formal education; and skills, competencies and expertise acquired through training on the job . Other labour market activities that are sometimes included in the concept of human capital include migration and search for new jobs."
