"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Institutional theory and human resource management","https://scispace.com/paper/institutional-theory-and-human-resource-management-27s2ncdkbv","2014","","","Ali Najeeb","","https://scispace.com/pdf/institutional-theory-and-human-resource-management-27s2ncdkbv.pdf","The study of institutions traverses the academic fields of economics, sociology, political science and organisational theory. The common denominator for institutionalism in various disciplines appears to be that of, 'institutions matter' (Kaufman 2011). An underlying assumption in the study of institutions is that organisations are deeply embedded in the wider institutional context (Powell 1988; DiMaggio & Powell 1991). Thus, ""organisational practices are either a direct reflection of, or response to, rules and structures built into their larger environment"" (Paauwe & Boselie 2003, p. 59).This institutional environment is the source of legitimisation, rewards or incentives for, as well as constraints or sanctions on, organisational activities (Meyer & Rowan 1977). The relevance of institutional theory to Human Resource Management (HRM) was initially derived from this view (Rosenzweig & Nohria 1994).","Title: Institutional theory and human resource management Institutional theory and human resource management Keywords: theory, human, institutional, resource, management"
"Evaluating the implementation of E-Government in developing countries : the case of Nigeria","https://scispace.com/paper/evaluating-the-implementation-of-e-government-in-developing-3rkrgrac27","2014","Dissertation","","Olusoyi Olatokunbo Richard Ashaye","","https://scispace.com/pdf/evaluating-the-implementation-of-e-government-in-developing-3rkrgrac27.pdf","....................................................................................................................... i Acknowledgements .................................................................................................. iii Dedication ................................................................................................................... v Declaration, Biography and List of Publications ................................................... vi Declaration .............................................................................................................. vi Biography ................................................................................................................ vi List of Publications ..................................................................................................vii Table of","by when they explore Institutional theory with Sense Making theory with a case study in a health care setting. The benefit of combining two theories is that it enables alternation between levels of analysis, and this expedites a more affluent interpretation of IS adaptation. Institutional Theory:
 However, a review of literature suggests there have been studies that have adopted institution to explore how organisations are institutionalised by political, economic, legal, or cultural context. For instance,  examines the use of institutional theory in information system research, and the findings are that most institutionalist accounts within information systems research adopt an organisational unit of analysis as opposed to a multilevel approach which encompasses societal and individual levels.  illustrates the narrow use of the theory adopted by the IS community and suggests that a more fruitful approach is to use a wider multi-level and multi-method approach. It was however argued that IS researchers need to become more aware of the wider debates within the institutional theory literature, particularly as the theory is conceptually ambiguous, yet not amenable to over-simplification as a means to achieve methodological rigour. Institutional Theory:
 The above suggests that this research embraces to have an understanding of e-Government in respect of organisational change, which is often influenced by important factors such as organisational, political, economic, legal or critical mass. This approach is comparable to other e-Government adoption and implementation studies . For these reasons, the researcher applies the methodology of using an institutional theory as the perspective lens where the theory is used as principal frame of reference for categorising the environmental forcesboth external and internal factors -impacting on e-Government implementation. Institutional Theory:
 2.6.9 The Drivers -Barriers Model Institutional Theory:
 The Drivers and Barriers model was developed by  in the research into e-Commerce and economic development in Libya. The model postulates a number of barriers experienced in public sector organisations that prevent the realisation of anticipated benefits and degrade successful implementation of e-Government projects. On the other hand, there are potential benefits and motivations arising from e-Government literature that could promote the top management to adopt it. The classifications of e-Government benefits, barriers and risks have been reviewed and analysed (see Tables )."
"Mot en ny vuxenutbildningspolitik? : Regional utveckling som policy och praktik","https://scispace.com/paper/mot-en-ny-vuxenutbildningspolitik-regional-utveckling-som-2t7jopgjbu","2007","","","Erik Jakobsson","","https://scispace.com/pdf/mot-en-ny-vuxenutbildningspolitik-regional-utveckling-som-2t7jopgjbu.pdf","Avhandlingen beskriver och analyserar ett regionalt utvecklingsinitiativ i natverksform, genom vilket de kommunala larcentrumen i Orebro lan samverkar for att utveckla en gemensam infrastruktur for ...","större förutsättningar att lyckas än radikala sådana. Som och visar erbjuder institutionell teori flera olika tänkbara förklaringar till institutioners trögrörlighet. $ %:
 Reformarbete sker ofta i komplexa fleraktörsmiljöer, som inte behöver vara problematiska på en policynivå men som kan innebära stora svårigheter i en praktisk implementering. Problemet är att politiken -de nya idéerna och koncepten -ofta lever sitt liv skilt från konkreta strategier för genomförande. Regionala och lokala beslutsfattare, som behöver vara 'med på tåget' för att ett genomförande ska vara möjligt är ofta inte det. Det är också stor skillnad mellan att ställa sig bakom målen för en utvecklingssatsning och att sedan ta ansvar för att den verkligen genomförs, av en rad olika skäl . $ %:
 Den offentliga sektorn uppvisar stora svårigheter med att organisera resurser och verksamheter professionellt, utifrån behoven. Det som kommer till uttryck i den politiska retoriken, exempelvis beträffande samverkan, visar sig av olika skäl besvärligt i praktiken. Den logik och systematik som råder i olika organisationer befrämjar inte samverkan 'över gränserna' . $ %:
 Vilka är då slutsatserna och vari ligger möjligheterna? Den viktigaste slutsatsen är sannolikt att reform-och utvecklingsarbete i den del det handlar om genomförande av materiella förändringar kräver särskilda kunskaper, strategier och medel. Det finns inte någon omedelbar förbindelselänk mellan å ena sidan uttalade avsikter och fattade beslut och å andra sidan praktisk handling. En planeringsstrategi som bygger mycket på en föreställning om en sådan förbindelselänk löper stor risk att haverera. Hur kan man få kunskap om förhållandena på praktiknivån? Går det att engagera och aktivera praktiknivån redan tidigt i policyprocesserna, för att också underlätta genomförandet?"
"Teoria Institucional: uma contribuição para a gestão pública do desenvolvimento","https://scispace.com/paper/teoria-institucional-uma-contribuicao-para-a-gestao-publica-d5ow9bue05","2021","Journal Article","","Fabrini Quadros Borges
Fabricio Quadros Borges","10.32813/2179-1120.2021.V14.N1.A759","https://scispace.com/pdf/teoria-institucional-uma-contribuicao-para-a-gestao-publica-d5ow9bue05.pdf","The research aims to analyze the contribution of institutional theory to the understanding of the relationship between public management and development. The environments of planning and control in public management are part of a wide and relevant worldwide debate for the construction of mechanisms capable of regionally improving management capacity in favor of promoting the well-being of populations. The investigation comprises a theoretical study, exploratory, bibliographic and documentary in nature. The study concluded that the contribution of institutional theory to public management of development lies basically in providing elements of understanding about the structure and functioning of organizations according to the rules, procedures and values ​​that characterize a given reality. The discussion structure of this Theory brings as perspective, that the organizations need legitimacy of the interested parties and for that they adopt tangible elements like the structure and the processes to correspond to a set of norms and intangible values ​​in the institutional environment.","Title: TEORIA INSTITUCIONAL: uma contribuição para a gestão pública do desenvolvimento Keywords: Gestão, Organizações, Setor público, Desenvolvimento, Teoria institucional Management, Organizations, Public sector, Development, Institutional theory"
"Direct and Moderating Effects of Organizational Factors on System USAge in Colleges: a Resource-based Perspective","https://scispace.com/paper/direct-and-moderating-effects-of-organizational-factors-on-1wgysvvlbs","2018","Journal Article","","Faridiah Aghadiati Fajri
Nurisqi Amalia","10.20885/JAAI.VOL22.ISS1.ART4","https://scispace.com/pdf/direct-and-moderating-effects-of-organizational-factors-on-1wgysvvlbs.pdf","Colleges as a non-profit organization engaged in the educational sector have a crucial role, especially in emerging countries. Significant improvement can be achieved by continuously strengthening the information system infrastructure. Prior studies mentioned the system implementation is tricky because it involves not only hardware and software but also users and operational procedures. The investment of information system poses challenges for management. The system failure can be the grave of an organization. Therefore, the end-users participation becomes acute that puts organizational factors have to be considered. This study aims to examine and analyze the information system success model by adding the existence of facilitating condition, institutional pressure, and incentives as organizational factors. Data were obtained through questionnaires filled by the users of colleges’ system. The results found that two constructs of organizational factors including facilitating condition and institutional pressure were able to increase the role of system usage to organization performance. Managers have to be proactive to motivate the end-users by designing better organizational factors and the future study may improve the construction of these factors.","advantages, education institutions may relish their information system investment. Information system improves the ability to build effective communication and data exchange among all departments across the boundaries. Moreover, it also increases operational productivity, raises the information quality, and reduces the organization's expenditures. Introduction:
 Structural Capital  is the infrastructure including both direct and indirect supports. Direct support is things which immediately related to human resource, for instance, computers, telephones, and computer software. On the other hand, the examples of indirect support are buildings, electricity, and plumbing. The existence of structural capital boosts institutes to obtain the organizational knowledge and transform it into intellectual assets. Recent studies found that intellectual capital is the main root of value and productivity leverage which has a bigger impact than three components of conventional business lore conditions (customer needs fulfillment, legally protected, and become pioneer). Introduction:
 The theory of organizational information processing  mentioned that an organization has to process their data as basic tasks which provide relevant information for decision-makers. Adequate information improves their planning ability, environment changing adaptability, and cost reducing for better productivity.  technology information become significant to assist management dealing with competitive conditions, mainly in environment uncertainty. Organization methods to collect, process, and disclose information are necessary to be well managed while the growth of disclosure requirements push them to disclose their precious information which may create their competitive disadvantages . Introduction:
 Theory of human motivation known as Self-Determination Theory developed by  provides a platform study of organizational positive outcomes. Employees' performance is not only affected by individual levels, such as personality, but also by organizational levels, such as human resource practices and organizational climate. The strength of human resource management system showed that in organizational level, the relation between positive managerial goals and organizational climate resulted on positive individual attitudes and behaviors . Introduction:
 This paper is one of the studies which is adding the organizational factors and its implications. The hypotheses are validated empirically using data from college system survey. Firstly, this research is addressed to analyze the system used as an impact of organizational factors. In addition, it also identifies how the perceptual measurement of organizational factors moderates the interaction between system usage and organization performance. Literature Review Organizational Factors:
 The goals achievement of system implementation is influenced by the successful attainment of system elements. One main element is the end-users. Users can be managed in many ways, such as authority definitions, hierarchy controls, policies, and procedures. Focused on the system implementation, organizational factors become a foundation for end-users management which is expected to increase the system utility. Literature Review Organizational Factors:
 On the context of personal computer (PC) use, specifically for direct effect examination, facilitating condition become a key factor which can drive system utilization.  posited that there are three direct determinants of intention to use (performance expectancy, effort expectancy, and social influence) and two direct determinants of usage behavior (intention and facilitating conditions). Facilitating conditions are referred to the organization's support included technical service and infrastructure availability resulting in the ease of system usage and barriers reduction ."
"African bureaucracy and public administration: Analysing the normative impediments and prospects","https://scispace.com/paper/african-bureaucracy-and-public-administration-analysing-the-19qslxhilx","2019","Journal Article","Africa’s Public Service Delivery and Performance Review","Chinyeake J. Igbokwe-Ibeto","10.4102/APSDPR.V7I1.323","https://scispace.com/pdf/african-bureaucracy-and-public-administration-analysing-the-19qslxhilx.pdf","Background: Public perception of bureaucracy and public administration is key to determining how much they can accomplish in a given environment. The pejorative view of bureaucrats and public administrators is not restricted to Africa. Although they are sometimes seen as one and the same, analytically they can be divorced. Aim: Within the framework of system theory, this article analysed the interface between African bureaucracy and public administration with the aim of identifying its impediments and prospects. Setting: Relevant sources of this research were fairly and professionally scrutinised, understood and tested with the available literature for the research purpose. Inter alia , it included scan-reading, comprehensive and critical reading and writing down ideas. Authoritative scholarly sources were reviewed during a desktop study. The purpose was to identify the relevant publications and apply them in the research. Methods: This article utilised qualitative research design and descriptive methods to gain an insight into the nature and character of African bureaucracy and public administration. It is also exploratory because the article attempts to explore the nexus between African bureaucracy and public administration. Result: This article argues that African bureaucracy is losing its potency and ability to give intellectual leadership to public administrators. Bureaucrats in the field rely too much on discretion that often does not sit well with the people and result in poor service delivery. Conclusion: It therefore concludes that the poor state of affairs in African bureaucracy could change if the bureaucracy opens up to administrative reforms, particularly those that add value to their activities and actions. In this era of globalisation, international best practices should be domesticated.","to time may give the student a truer and truer insight into the problems involved. This is a more convenient point to leave the subject and move on because there may never be a winner over this issue among the gladiators in this contest. Conceptual and theoretical exploration:
 Another issue that has not lent itself a position, generally agreed upon, in public administration as a field of study is the question of the theoretical approach that adequately captures the issues involved in public administration. Several theoretical orientations have emerged over time without anyone gaining ascendancy. There are, among others, bureaucratic, system, institutional, political economy and public choice theories. Despite newer theories on public administration like the public choice theory and new public management, the institutional and system theories remain relevant for our level of development on the African continent. It is only logical that a child should learn to crawl before he or she walks. Most African states have not mastered the act of respecting organisational legal rules and regulations, let alone to embrace rational choice in making public policy. In addition, illiteracy is still very high; conservative figure put it at 75% of the population. The ability of public officials to follow institutional rules and regulations is an important starting point to respect other demands of organisations .  and  argued that the system theory and all its shortcomings provide us a veritable tool to unlocking numerous questions that public administration raises in modern times. Analysing public administration as a system proposes that it has different parts that should interact and be interdependent on each other.  in  argue that the system theory is basically concerned with problems in the relationship of structures and their interdependences rather than the constant attributes of objects. Certainly, there is merit in analysing the whole part from the part because without the whole there cannot be the parts. Therefore, the system analysts are only interested in the parts as they relate to the whole. Also,  and  in  use the system theory to understand and manage behaviour in organisations. They come to the conclusion that an organisation has many subsystems that are interrelated and interdependent. Therefore, they argue that an organisation can only be effective and efficient when it has '… the ability to adopt a sense of identity, the capacity to test reality and the ability to be well integrated and to simultaneously consider' three interrelated perspectives: (1) structural design, (2) flow and (3) the human factor. What comes across in Africa over the years is that structure in administrative and political systems is standing aloof and hardly interacting to ensure effectiveness and efficiency in their roles and responsibilities. This mostly accounts for why there is a lack of synergy between what government does in each ministry, department and agencies, operating as if they are in functional terms independent of one another . All these factors go a long way in determining the success rates of public policies and programmes."
"Saving Mangrove Forest Extinction in Urban Areas: Will Government Interventions Help?","https://scispace.com/paper/saving-mangrove-forest-extinction-in-urban-areas-will-2j74waja","2022","Journal Article","International Journal of Sustainable Development and Planning","","10.18280/ijsdp.170203","https://scispace.com/pdf/saving-mangrove-forest-extinction-in-urban-areas-will-2j74waja.pdf",".","public. Failure, on the other hand, implies a loss of opportunity (loss of opportunity), which reflects the reality of budget restrictions (budget constraint); hence every policy option involves a trade-off that includes a dilemma that must be decided due to limitations . Public policy implementation performance:
 Understanding the policy implementation is closely related to the concept of governance, is a widely used idiom, and is frequently used to explain policy implementation. Networking and decentralization, a venue where a plurality of actors congregate to create policy choices and implement, and multiorganizational linkages between key actors participating in policy implementation are all characteristics of implementation in the governance idea. The final point is about the public value system, what is acceptable, what is more legitimate, what is more creative, what is more responsive, and what is even better. Furthermore, policy implementation is a process of accomplishing public goals carried out by actors: plurality of organizations with more flexible vertical and horizontal relationships, all motivated by public values such as legitimacy, responsiveness, and inventiveness. This implementation is done in the spirit of equality and strong networking to attain accountable public goals . Implementation can be examined through the levels of institutional theory (institutionalism) and network theory from a structuralist perspective. First, on the institutional level. Implementation is focused on the levels of the value system and is tied to the institutional level. This dimension includes a value system, official or informal norms with a high level of institutionalization: how the hierarchy is organized, the extent to which borders are agreed upon, procedures, and the regime's collective values. Administrative law and other types of legal regulation, ideas relating to the operation of the bureaucracy on a large scale, politicaleconomic theory, and theory of political control over the bureaucracy are all included in this paradigm. Institutional theory, rent-seeking theory, bureaucratic control theory, and the theory of government goals and philosophy are all included in this element. Second, on organizational and managerial implementation. Typically, it is associated with hierarchical bureaucracies, departments, commissions, government agencies, and organizations that work with the government. The role of implementation is to accelerate public interests in an inter-institutional network. At this level, the agendas: administrative freedom and independence, performance measurement in the public service process, become essential issues. Significant theories to explain this phenomenon include principal-agent theory, transaction cost analysis theory, collective action theory, and network theory. Third, implementation at the technical level. This is how the first and second approaches values and public interests must be operationalized in real-world actions. At this point, technology, notably information technology, becomes important. In this setting, issues of professionalism, technical competency norms, responsibility, and performance are critical. Theories relevant to this theme include measures of efficiency, technical management of organizational culture, leadership, accountability mechanisms, and measurements. As a result, governance at this level is primarily concerned with the actual implementation of government policies (public policy at the street level). The research focuses on how public ideals and interests are operationalized in real actions in the form of meaningful interventions at the technological level ."
"The implementation of Health in All Policies initiatives: a systems framework for government action.","https://scispace.com/paper/the-implementation-of-health-in-all-policies-initiatives-a-5eegd1oky6","2018","Journal Article","Health Research Policy and Systems","Ketan Shankardass
Ketan Shankardass
Carles Muntaner
Lauri Kokkinen
Faraz Vahid Shahidi
Alix Freiler
Goldameir Oneka
Ahmed M. Bayoumi
Patricia O'Campo","10.1186/S12961-018-0295-Z","https://scispace.com/pdf/the-implementation-of-health-in-all-policies-initiatives-a-5eegd1oky6.pdf","There has been a renewed interest in broadening the research agenda in health promotion to include action on the structural determinants of health, including a focus on the implementation of Health in All Policies (HiAP). Governments that use HiAP face the challenge of instituting governance structures and processes to facilitate policy coordination in an evidence-informed manner. Due to the complexity of government institutions and the policy process, systems theory has been proposed as a tool for evaluating the implementation of HiAP. Our multiple case study research programme (HiAP Analysis using Realist Methods On International Case Studies – HARMONICS) has relied on systems theory and realist methods to make sense of how and why the practices of policy-makers (including politicians and civil servants) from specific institutional environments (policy sectors) has either facilitated or hindered the implementation of HiAP. Herein, we present a systems framework for the implementation of HiAP based on our experience and empirical findings in studying this process. We describe a system of 14 components within three subsystems of government. Subsystems include the executive (heads of state and their appointed political elites), intersectoral (the milieu of policy-makers and experts working with governance structures related to HiAP) and intrasectoral (policy-makers within policy sectors). Here, HiAP implementation is a process involving interactions between subsystems and their components that leads to the emergence of implementation outcomes, as well as effects on the system components themselves. We also describe the influence of extra-governmental systems, including (but not limited to) the academic sector, third sector, private sector and intergovernmental sector. Finally, we present a case study that applies this framework to understand the implementation of HiAP – the Health 2015 Strategy – in Finland, from 2001 onward. This framework is useful for helping to explain how, why and under what circumstances HiAP has been successfully and unsuccessfully implemented in a sustainable manner. It serves as a tool for researchers to study this process, and for policy-makers and other public health actors to manage this process.","Hummelbrunner calls an ""open change process"" ( , p. 395). Thus, the systems framework described below is intended as a tool for researchers to study this process and for policy-makers and other public health actors to manage it. A Systems Theory primer:
 This framework was developed by our team iteratively over the course of many discussions between 2015 and 2016, with a focus on articulating the most important and unique facets of government systems relevant to the implementation of HiAP. These discussions were informed by (1) several existing theories about policy implementation (e.g. ), including our own initial frameworks about the implementation of HiAP , and (2) a wide range of evidence on the topic of implementing intersectoral action for health equity , including our analysis of three case studies of HiAP implementation in Sweden, Quebec and South Australia . Importantly, we also apply a realist scientific approach to our case studies, which is an ontology that has focused our work on understanding the oft-hidden generative mechanisms that explain implementation outcomes (described further below) . A Systems Theory primer:
 The framework below presents HiAP implementation as a process involving interactions between system components and subsystems in our model that leads to the emergence of both favourable and unfavourable implementation outcomes, as well as effects on the system components themselves (i.e. feedback). Figure  and Table  outlines our systems framework for HiAP implementation in terms of a series of components pertaining to three subsystems, including the executive (heads of state and their appointed political elites), intersectoral (the milieu of policy-makers and experts working with governance structures related to HiAP) and intrasectoral (policy-makers within policy sectors). A Systems Theory primer:
 The implementation of HiAP often requires policy coordination across multiple government levels or systems (e.g. national, provincial/state, regional and local), as well as with other systems outside of government that affect health equity (that do not necessarily look like Fig. ). Therefore, we also include a role for extra-governmental systems, which can influence the implementation of HiAP in many ways (described further below). A Systems Theory primer:
 In HARMONICS, systems theory has been useful for testing hypotheses and explaining phenomena about two favourable outcomes of the implementation process, namely the acceptability (i.e. are sectors willing to collaborate on health and equity?) and feasibility (i.e. do sectors have the capacity to effectively collaborate on health and equity?) of HiAP implementation for partners in diverse policy sectors related to the ongoing process of implementation . Acceptability and feasibility are favourable inasmuch as they contribute to more sustainable implementation of HiAP and they may also lead to stronger types of HiAP. A Systems Theory primer:
 For example, acceptability and feasibility may facilitate a broader inclusion of policy sectors that participate in HiAP over time, reflecting both a larger number of sectors and greater diversity among those sectors, e.g. including social and economic-oriented sectors. There may also be stronger equity interventions (i.e. interventions that are more upstream), as reflected by the values and ideas implicit in the theory of change for resulting health equity interventions."
"The Effect of Balanced Scorecard as a Strategic Implementation Tool to Enhance Efficiency at Kenya Bureau of Standards","https://scispace.com/paper/the-effect-of-balanced-scorecard-as-a-strategic-7scpirb57g","2016","Journal Article","IOSR Journal of Business and Management","Listone Kipkirui Langat
Daniel M. Wanyoike","10.9790/487X-180803112125","https://scispace.com/pdf/the-effect-of-balanced-scorecard-as-a-strategic-7scpirb57g.pdf","The Government of Kenya has made substantial investment in the public sector through creation of diverse corporations. However, most public sector firms have not shown the required levels of efficiency and effectiveness that would be required of them. This has necessitated diverse measures such as the Results Based Management System (RBMS) which was initiated by the Government of Kenya in 2005. This management system has been put in place to ensure efficiency and effectiveness in service delivery in public sector organizations. Therefore the Kenya Bureau of Standards (KEBS), like any other public sector organizations, is required to operate under the RBMS of which Performance Contracts (PC) are a key component. The application of the Balanced Score Card (BSC) in the strategy management process has been found to be a useful tool in the clarification of the vision and mission of organizations and the rallying of the organizational members towards its achievement. This study examined the role of the BSC as a strategic implementation tool to enhance efficiency at KEBS. The specific research objectives included the examination of financial perspective, customer perspective, internal business processes perspective, and learning and growth perspective of the BSC on the efficiency at KEBS. The theoretical underpinning of the study was open systems theory and the institutions' theory. The study was based on the descriptive research design with the target population of 150 management staff at KEBS. The sample size is 109 respondents. The study out the following; that there was a significant relationship between financial perspective of the balanced scorecard and organizational efficiency at KEBS. This was attributed to the availability and sufficiency of resources at both the organizational and departmental levels for KEBS to execute its mandates at those levels on time, and in the required scope hence improving on the organizational efficiency. Secondly, there was a significant relationship between the customer perspective aspect of the BSC and organizational efficiency at KEBS. The customer perspective was important to the organizational efficiency at KEBS through reduction of turnaround timelines in service delivery. There was also a significant relationship between the internal business process perspective of the BSC and organizational efficiency at KEBS. This was attributed to the internal business processes ability to influence customer satisfaction. Lastly, there was a significant and positive relationship between learning and growth perspective aspect of the BSC and organizational efficiency at the organization. This significance was attributed to the ability of KEBS to benchmark and learn on best practices on diverse aspects of its mandates. The study recommends that KEBS should focus on the learning and growth perspective of the balanced scorecard as it had the greatest influence on its organizational efficiency. The study suggests further studies on the examination on other financial perspective metrics of the balanced scorecard and the ways in which it can help in organizational efficiency at KEBS.","Strategic Implementation Tool to Enhance Efficiency at Kenya Bureau of Standards Authors: Listone Kipkirui Langat,Daniel M Wanyoike Keywords: Balanced Scorecard, Customer Perspective, Financial Perspective, Internal Business Perspective, Learning & Growth Perspective Introduction:
 Governments have demanded greater transparency and accountability in regard to the use of public funds. Therefore, public sector organizations have turned to private sector performance management practices as potential means of improving and demonstrating their own performance and accountability . In particular, there has been a move towards specifying strategic goals, which then form the basis for setting published performance targets against which public sector organizations must report . Balance scorecard is widely advocated as having the potential to support these performance management. In particular, the BSC is thought to present a multi-dimensional view of performance across different objectives and stakeholders, as is required for many public sector organizations . Further, the BSC's focus on Key Performance Indicators (KPIs) that directs managerial attention to important drivers of organizational results, and informs performance management by linking these KPIs in causal relationships with desired outcomes . Despite this apparent match between the BSC and public sector performance Theoretical Review:
 The study used the open systems theory and institutional theory. The open system theory was developed by the biologist Ludwig Von Bertalanffy . The system is defined as a set of objects or entities that interrelate with one another to form a whole . The system theory is concerned with the problems or relationships, of structures, and of inter-dependence, rather than with the constant attributes of object . The systems theory views an organization as a social system consisting of individuals who cooperate within a formal framework, drawing resources, people, finance from their environment and putting back into that environment the products they produce or the services they offer . The Open systems theory is concerned with understanding organizations in their entirety: therefore it takes a holistic rather than a particularistic approach thus reflected on its approach to change . Theoretical Review:
 The corner stone of the open systems theory is that the organizations are influenced by the environment in which they operate in. These organizational interactions occur through the use of the environment for provision of inputs and the release of outputs that is products and services to the environment . Therefore, the organizations must consider the environment in their operations to ensure efficiency and success in their operations. This theory is applicable in this study because the BSC is concerned with the driving of future direction, building in cause and effect linkages while simultaneously taking into account both financial and intangible resources that can determine success or failure. The theory is also relevant because one of the BSC components is the customer which refers to a component within the organization's environment in which the organization must cater for to enable its efficiency in service provision. Theoretical Review:
 On the other hand, the institutional theory was advanced by Selznick in 1957. The institutional theory is concerned on the transformation of organizations into institutions, focusing on routines, roles, beliefs and processes by which value is infused . The institutional theory considers the processes by which structures, including ethics; rules, norms, and routines, become established as authoritative guidelines for social behavior which is an important aspect in change management. This change management is critical to enable the organizational efficiency as the organization keep on adjusting to arising issues."
"Dictionary of Public Administration Management","https://scispace.com/paper/dictionary-of-public-administration-management-2ppwosnv","2022","Book","","","10.51936/978-961-295-026-2","https://scispace.com/pdf/dictionary-of-public-administration-management-2ppwosnv.pdf","","States) following the Pre-Election Presidential Transition Act (2010) and Presidential Transitions Improvements Act (2014). The check and balances system has put in place a necessary validation of one-third of these officials by Congress to avoid such problems. System theory:
 is an interdisciplinary concept that addresses interrelated and interdependent structures-systems. This theory springs from natural sciences and is suitable for the constitution of public administration and management. It suggests that a system consists of a variety of elements that are bonded and function together. System theory argues that the open system approach is key, considering that the environment works closely with each element that constructs the system. The approach highlights the limitations public administrations face and proposes a comprehensive analysis of the system as a whole in its environment. System theory divides organisations that work through an open system that consists of inputs (resources, materials, capital, information, technology), transformational processes (employee work activities, management activities, operations methods), outputs (products or services, financial results, information, human results), feedback (results from outputs influence inputs), and the environment (internal and external factors that affect the system). The theory is based on effectiveness that reflects long-term growth or sustainability. When all elements of a system work together, this creates a state of homeostasis, which provides growth. Systems theory explains the effectiveness of organisations through their adaptability to external environments, which can be static or dynamic, meaning that some are more and some less predictable, which range from static to dynamic, meaning some environments are more predictable than others. The concept of system theory can be used in implementing protocols for regular feedback to the organisation. This theory is also adaptable when trying to understand the role of research and feedback in creating a strategy in public management. Public management should be studied and approached as a whole, inspecting all elements of its work areas, which will result in a better understanding of organisation processes, their compatibility and providing better results."
