"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Fighting for Education: Veterans and Financial Aid","https://scispace.com/paper/fighting-for-education-veterans-and-financial-aid-2szwzcfit0","2014","","","Andrew Barr","","https://scispace.com/pdf/fighting-for-education-veterans-and-financial-aid-2szwzcfit0.pdf","The Post-9/11 GI Bill brought about the largest expansion in veteran education benets since the end of World War II, roughly doubling the average benet level. I leverage large changes in nancial aid generated by the benet expansion, including geographic variation in","veterans to provide even a cursory analysis of veteran degree attainment, I created a new panel combining rich data on the choices of military service members from the Defense Manpower Data Center with postsecondary data from the National Student Clearinghouse (NSC). Introduction:
 Because benefit levels were based on active-duty service durations after September 11, 2001, but the benefit was not established until the summer of 2008, I focus on individuals separating prior to the announcement of the benefit expansion, circumventing potential concerns related to endogenous accession to or separation from the military. Using ineligible veterans as a control group, I use a difference-in-differences strategy to estimate effects of the benefit expansion. Unique among the GI bills and other federal financial aid programs, the Post-9/11 GI Bill provides different benefit levels depending on the state and zip code of enrollment. This feature creates variation in the size of the benefit expansion experienced in different states and zip codes; individuals in some areas received almost no change in benefit levels, while those in others received tens of thousands of dollars in additional maximum benefits per year. I leverage this geographic variation in covered tuition and housing allowance levels as an additional strategy to identify the effect of aid. I find that the higher level of financial aid increases the likelihood that a veteran obtains a degree within six years of separation by six percentage points, a 30 percent increase. Most of the increase in degree attainment occurs via an increase in bachelor's degree attainment. Introduction:
 Analogous estimates indicate that college enrollment increased by over seven percentage points. Assuming that these marginal enrollees complete college at similar rates to those enrolling prior to the benefit expansion, it appears that the higher level of benefits also helped some individuals, who would likely have dropped out without the benefits, to finish their degrees. One possibility is that the GI Bill helped veterans enroll in better schools, resulting in higher attainment rates. Indeed, veterans responded to the in-kind nature of the benefit expansion by enrolling in more expensive schools. Yet, there is no clear evidence that this resulted in veterans attending better schools. Another possibility is that, holding school choice constant, the higher level of benefits helped individuals persist, perhaps acting as a buffer against negative financial shocks for those with limited resources. Additional resources do appear to have this effect, but the estimated size of the effect of aid on persistence does not fully account for the proportion of the increase in degree attainment that is not explained by higher enrollment rates. I reconcile these results with evidence that many individuals did not switch from the MGIB to the Post-9/11 GI Bill when it became available in the fall of 2009, leaving thousands of dollars on the table. This result bolsters recent evidence that suggests more attention should be paid to simplifying access to government programs (e.g., Bettinger et al 2012). Introduction:
 In the next section, I provide an overview of the existing literature on veterans, financial aid, and college success. In Section 3, I describe the benefit expansion generated by the Post-9/11 GI Bill. Section 4 introduces a new panel dataset that allows a first look at the enrollment and attainment patterns of recent veterans. Section 5 formalizes the research design used to estimate the effect of additional financial aid on education attainment. Section 6 presents the main results, Section 7 provides evidence on mechanisms, and Section 8 concludes."
"Understanding the Cost and Quality of Military-Related Education Benefit Programs","https://scispace.com/paper/understanding-the-cost-and-quality-of-military-related-4cdjpc19w9","2013","","","Paco Martorell
Peter Bergman","","https://scispace.com/pdf/understanding-the-cost-and-quality-of-military-related-4cdjpc19w9.pdf",": Since the passage of the original GI Bill following World War II (Serviceman's Readjustment Act, 1944), the military has provided veterans with a collection of financial aid benefits designed to help them attend college. While research has shown that these programs have helped many veterans acquire a college education, less is known about the impact of more recent educational benefits for veterans. This is especially true of the Post-9/11 GI Bill, which, in conjunction with a number of other assistance programs, has afforded veterans new educational opportunities. The Post-9/11 GI Bill offers tuition subsidies paid directly to institutions, a housing allowance tied to the cost of living, and a book stipend, which in combination are usually more generous than preceding GI Bills. However, issues such as rising tuition costs; an increasing presence of low-quality, for-profit institutions that target veterans; and a potentially confusing array of benefit options could mitigate the impact of these programs on the recruitment, retention, and human capital development of service members. This report contextualizes these issues and formulates a research agenda to address them. Specifically, the report addresses the following research questions: (1) What are the key features of the military-related education benefit programs, including changes to these programs and historical utilization patterns of some of the key programs?; (2) What has prior research found about the impacts of these programs?; (3) What are the primary challenges policymakers face for improving the evaluation, implementation, and efficiency of the benefit programs?; and (4) How can future research help overcome the challenges policymakers face?","and existing benefit-information services could determine whether veterans are ""leaving money on the table."" With this information in hand, an intervention aimed at improving information services and improvements to GI Bill Benefit Calculators could be developed and evaluated using a randomized controlled trial. Measuring the Consequences of Benefit-Choice Complexity and Improving Choices:
 Given the rise of attendance in low-quality, for-profit institutions, additional information on college quality could also be of use to veterans. Using data from tracking veterans' outcomes, it would be possible to provide veterans with information on the enrollment and graduation rates of veterans by institution type as well as average levels of student debt and subsequent labor-market returns for these institutions. This information would help service members choose colleges and optimize the use of their benefits. For example, RAND is conducting research aimed at developing a college ""matching tool"" that would delivered information in a convenient online format about what college choices might be suitable for a student given his or her educational background, career goals, and other characteristics. This methodology could be adapted in interventions to improve college choice decisions of veterans. Conclusion:
 The rapid implementation of the Post-9/11 GI Bill and the changing landscape of higher education have raised several challenges for policymakers in terms of tracking veteran outcomes, program outreach, and evaluation. Rigorous research on earlier GI Bills had a substantial influence on policy. Changes in the higher educational context, reductions in force size, and federal budget cuts underscore the need for new research on veterans' educational benefits. Much of the data necessary to complete this research exists in disparate forms, but needs to be linked across databases and analyzed rigorously. Conclusion:
 This report outlined the key issues facing policymakers as well as research strategies to address these challenges. We recommend that the DoD and the Veterans Benefit Administration consider the types of analyses described in this report. Research along the lines of what we have outlined here can help lead to more cost-effective programs for current and future cohorts of veterans. Acknowledgments:
 We are indebted to Trey Miller, Jennifer Steele, and Shanthi Nataraj, all of whom conducted careful reviews of an earlier draft of this report. Their comments, suggestions, and criticisms greatly improved the final version of this study. We are grateful to the file managers at the Defense Manpower Data Center who have provided us with data over the years and answered our many questions about the data files: Vince Suich and Tyler Benz. Suzy Adler helped shepherd our data requests in a timely manner. We thank Arwen Bicknell for editing the final copy. Acknowledgments:
 This research was conducted using the exploratory research provisions of RAND's National Defense Research Institute federally funded research and development center contract. Acknowledgments:
 The authors alone are responsible for any remaining errors in the document."
"Effects of Military Service on Earnings and Education, Revisited: Variation by Service Duration, Occupation, and Civilian Unemployment","https://scispace.com/paper/effects-of-military-service-on-earnings-and-education-27xvndiw52","2014","Book","","Paco Martorell
Trey Miller
Lindsay Daugherty
Mark Borgschulte","","https://scispace.com/pdf/effects-of-military-service-on-earnings-and-education-27xvndiw52.pdf","This report examines how military service affects earnings, especially how these effects differ by the number of years of service and military occupational specialties and how external factors and policies affect these impacts. The authors also examined how economic conditions in the civilian labor market when individuals exit active duty affect postservice earnings.","2011). Although some recent research has shown that veterans may be faring no worse than other young people (Heaton and Krull, 2012), the performance of veterans in the labor market remains an issue at the forefront of the national policy discussion. Abbreviations:
 The perception that veterans are doing especially poorly in terms of employment and earnings is particularly noteworthy because the military has long marketed itself as offering economic opportunities for individuals, especially those from disadvantaged backgrounds. Military service could have beneficial effects on labor market performance for a variety of reasons. Most obviously, it provides a full-time job with relatively high wages (Office of the Under Secretary of Defense for Personnel and Readiness, 2008a, 2008b). It could also provide service members with work experience that could carry over to civilian jobs and could teach ""soft skills,"" such as discipline and punctuality (Furstenberg, Rumbaut, and Settersten, 2005). The military also offers generous educational benefits in the form of the Montgomery GI Bill (MGIB), Army College Fund, and other programs that provide tuition assistance for postsecondary schooling. Crucially, any effects on earnings could occur not only because of what happens during service but also because going through military service changes decisions about human capital investments (e.g., schooling and training). Abbreviations:
 Whether and how military service affects earnings is an important policy question. For instance, it has implications for compensation policy. The extent to which enlistees have higher or lower earnings as a consequence of entering the military is relevant for whether military pay is set at the appropriate level. The effects also have implications for accession policy. On one hand, if enlistment has economic benefits, then recruiters can market this information to potential enlistees considering entering the military. On the other hand, if there are economic hardships associated with military service, or that veterans in particular face, then policy could address the underlying reasons. For instance, it may be that, because the timing at which one separates from the military is at least somewhat out of a service member's control (in the sense that the service member is contractually obligated to serve some minimum amount of time), exiting the military during economic downturns, such as the current one, may have negative consequences for future earnings potential. If this is the case, then effective policies that help veterans transition into civilian employment might be important. Abbreviations:
 Several prior studies have examined the effect of enlistment on labor market earnings, starting with the pioneering work by Angrist (1998). In that study, Angrist (1998) compares the earnings of veterans with those of nonveterans who applied to the military but chose not to enlist. Abbreviations:
 The insight behind this approach is that, because all applicants demonstrate a serious interest in the military, an enlistee will tend to be more similar to applicants who did not enlist than to individuals who did not apply. Angrist (1998) further refined these comparisons by controlling for the rich set of applicant characteristics included on the military application record. Given that the application record contains the information used to screen recruits, it might be that these controls are sufficient for eliminating differences between applicants who do and do not enlist that are relevant for later-life earnings (although some differences based on unobservable factors might very well remain)."
"A Phenomenological Study of Military Veteran Student Attrition at Western Virginia Community Colleges.","https://scispace.com/paper/a-phenomenological-study-of-military-veteran-student-tovoy4nrui","2017","","","Gordon F. Cavendish","","https://scispace.com/pdf/a-phenomenological-study-of-military-veteran-student-tovoy4nrui.pdf","The purpose of this phenomenological study was to describe the experience of “discontinued enrollment” for military veteran students at western Virginia community colleges. The theory guiding this study was Schlossberg’s (1981) transition theory, as the military veteran students were in transition from the military to the community college. The research questions were, how did military veterans describe their experiences at the community college, and what factors did military veterans identify as influencing their decision to discontinue enrollment? The methodology chosen was transcendental phenomenology which followed a focused structure and data collection methods including interviews, a questionnaire, member checks, and collection of related documents. The study purposefully selected United States military veterans with at least 12 consecutive months of active-duty service, who were in transition after September 11, 2001. These military veteran students subsequently enrolled full-time at a western Virginia community college and discontinued enrollment. Data analysis was structured but emergent, beginning with theme development and followed by coding to develop and describe the “essence” of the participants’ experience and their influences at western Virginia community colleges. The research found discontinued enrollment was a result of peripheral v. primary goal disagreement, insufficient preparedness for community college, and a lack of social connectedness.","April 21). In providing for those disabled by the conflict, the Pilgrims set the stage for an expansion of veterans' benefits to most of New England during the colonial period, thereby becoming commonplace by the Revolutionary and Civil Wars ; U. S. Department of Veterans Affairs, 2012a, April 21).:
 Yet undoubtedly, the most dynamic change in veteran benefits came with World War II and the GI Bill under an assortment of names and legislation . Indeed, the societal significance of the World War II era veterans' benefits, in general, had a profoundly positive impact on American society as over 15 million men became eligible for benefits including unemployment, low-cost mortgages for homes and businesses, pensions, and education-including job training and scholarships and loans for higher education . Moreover, it should be noted President Franklin D. Roosevelt specifically referred to both ""servicemen and women"" in his speech of  the ""Return of Service Personnel to Civilian Life,"" followed by the use of ""person"" in succeeding legislation, thereby recognizing not only the 350,000 women who served in auxiliary military units but also those making up fully one-third of the 1944 home-front civilian laborers . Department of Veterans Affairs, 2012a, April 21).:
 Regardless, the bill had its critics, with the most serious asserting the legislation ""perpetuated racial and gender discrimination in American life"" ). Yet, given the unparalleled scope and impact of the Servicemen's Readjustment Act of 1944 (commonly referred to as the GI Bill, the GI Bill of Rights, or the Bill of Rights for GI Joe and GI Jane) as well as the economic, political, and social-most profoundly educational impact;   clearly any modern day review of veterans educational benefits should begin here . Veterans Discussed:
 The term veteran, as it applies to United States military service, can and does mean different things to different people and as a result is defined in a multitude of ways depending on the use. For example, the Higher Education Act of 1965 as amended and enacted in 2013, defined a veteran as ""any individual who-has engaged in the active duty in the United States Army, Navy, Air Force, Marines, or Coast Guard; and was released under a condition other than dishonorable"" (U.S. . Yet, despite this definition, provisions in the Higher Education Reconciliation Act of 2005 note differences between service in the National Guard and Reserves, attendance at United States military academies, as well as active-duty for ""training only"" purposes in eligibility decisions for federal financial aid (FinAid, 2014, para 4; U.S. . Veterans Discussed:
 Meanwhile, the United States Census Bureau stated, ""Veterans are men and women who have served (even for a short time), but are not currently serving, on active duty in the U.S. Veterans Discussed:
 Army, Navy, Air Force, Marine Corps, or the Coast Guard, or who served in the U.S. Merchant Marine during World War II"" (U. S. Census Bureau, 2013). Service in the National Guard or"
"A human capital model of the defense-growth relationship","https://scispace.com/paper/a-human-capital-model-of-the-defense-growth-relationship-4xpg2rr5y0","2021","Journal Article","Social Science Journal","Bruce D. McDonald","10.1016/J.SOSCIJ.2019.04.005","https://scispace.com/pdf/a-human-capital-model-of-the-defense-growth-relationship-4xpg2rr5y0.pdf","This paper develops a model to illustrate how human capital investments made by the defense sector impact economic performance. Emphasizing the on-the-job accumulation of human capital during milit...","military education on the individual. First is the belief that has been argued here: Education received during military service enhances the productivity and earnings potential of veterans in the market economy after the completion of service. The second view is that military service sends a signal Military Education:
 or ""veterans premium"" to employers in the market . A premium on potential productivity exists as a consequence of the stock of human capital believed to be acquired during military service.   Although these skills do contribute to the income growth of the individual during service, they are independent of income decisions after service . While the training in military skills are essential to the production of the defense sector, their lack of transferability to the market suggests that firms disregard the military-specific training when presented with the situation of determining wages for veterans. Military Education:
 The contribution of military skills to the accumulation of human capital is determined by how specific the training is, the prevailing belief being that, the more specific the training, the less utility it provides to other firms in the market . For the defense sector, the provision of national security is the ideal public good, defined as non-rivalrous and non-excludable . When specific on-the-job training is provided under the circumstances of a monopsony sit-uation, there is no alternative firm to which a laborer can move that can utilize the skills. Without a market of militaries in the United States, training in military skills would raise the productivity of military good production, but the impact ends there. Military Education:
 However, consideration must be given to whether military skills truly have no other use, or whether the redefined understanding of specific on-the-job training applies. Military Education:
 Under the redefined understanding, all military skills are of use to the defense sector and at least one other firm. Although the defense sector has historically operated in a monopsony situation, growth in the number of defense contractors over the past 30 years suggests that the redefined understanding is more likely to be accurate. Military Education:
 For example, skills as a tank gunner are essential to the defense sector, but are also essential for the operation of companies such as Drive a Tank Experience, Inc., which provides tank-oriented war games to wealthy clients. Thus, while military skills might be pivotal in the production of the military good, they do have some use in the market, albeit significantly devalued. Military Education:
 Although the defense sector comprises both general on-the-job training and specific on-the-job training,  suggested that, as long as specific on-the-job training has some utility outside of the firm providing the training, the spillover for training is strictly the sum of the general and specific components. When applied to the defense sector, this relationship is modeled as Social Spillover:
 Human capital accumulated during military service also provides a military-specific societal spillover that impacts veterans and their families, as well as the firms that employ them. Social Spillover:
 For veterans, the accumulation of human capital does not end with military education or military skills. Rather, the defense sector subsidizes the formal education of soldiers after the completion of their service through such programs as the G.I. Social Spillover:
 Bill, which provides 36 months of education assistance to participants . These programs allow veterans to receive the benefits of formal education without the cost of investment. Upon investigating the benefits of the G.I."
"Federal Educational Assistance Programs Available to Service Members: Program Features and Recommendations for Improved Delivery","https://scispace.com/paper/federal-educational-assistance-programs-available-to-service-3vgaxf0v7m","2015","","","Peter Buryk
Thomas E. Trail
Gabriella C. Gonzalez
Laura L. Miller
Esther M. Friedman","","https://scispace.com/pdf/federal-educational-assistance-programs-available-to-service-3vgaxf0v7m.pdf",": Department of Defense (DoD) Office for Military Community and Family Policy asked RAND to review federal military educational assistance programs available to active duty and reserve service members; develop a holistic system overview; identify program outcomes that program managers either currently measure or should be measuring; consider benchmarks of success to compare these programs against; and make recommendations for improving the way educational benefits for military personnel are managed and used, thereby potentially improving cost efficiencies of programs. It was outside the scope of this study to determine the effectiveness of these programs or to develop a comprehensive research design. While we describe a possible framework for a rigorous outcome evaluation, we have not analyzed any service member outcomes (educational, employment, or income) to determine whether those who used educational benefits are better off than if they had not had access to the benefits and/ or better off than those who did not use the benefits. A separate research effort would be required to perform an overall, comprehensive evaluation of educational assistance programs for service members. The research team considered federal education benefits programs available to service members that DoD, the Department of Veterans Affairs (VA) (which manages four programs available to personnel who are still in the military), and the Department of Education (ED) administer. We reviewed publicly available program information and discussed specific characteristics with program managers. We also reviewed academic literature on both civilian and military education benefit programs to identify common characteristics, performance measures, and outcome measures. The literature suggests that the benefits of educational assistance programs may extend well beyond retention, recruitment, loyalty, and worker productivity, both for civilians and military service members.","chances for promotion and be more productive in their assigned duties while still in military service. Supporting a successful transition to postservice civilian life was also a frequently stated goal, especially for VA-administered programs but also among DoDadministered programs. Key Findings:
 In terms of program eligibility and oversight, many of the programs are available simultaneously, especially for those participating in active-duty service. These programs are administered across DoD, VA, and ED, with limited cross-department coordination. Some DoD programs' eligibility extends beyond the end of active service into the veteran or drilling reserve period because reserve component members can access select programs based on service-specific guidelines. Key Findings:
 The continuously overlapping nature of many programs could make choosing the most appropriate one(s) for an individual's needs and eligibility at a given time challenging-the most cost-and time-efficient route to achieving an educational goal is often unclear. In particular, service members must navigate myriad, disparate sources to gather information on the education benefits available to them at various times during their military careers. Key Findings:
 tary Training are two ways to achieve this goal. DoD should consider encouraging service members to attempt DANTES-sponsored examinations whenever possible prior to applying for TA funds. Similarly, emphasizing application for ACE College Credit for Military Training should also be considered. Suggestions for Improved Program Cost Efficiency:
 Programs that generate transferrable academic credit through testing and conversion of work experience are less expensive than the cost of tuition and fees for equivalent credits. Thus, guiding service members to use the former whenever possible could reduce the costs of programs that provide direct funding for education, if this is not already common practice. In fact, the testing and credit programs frame or measure their success in terms of service TA cost avoidance. Additionally, credits obtained through testing and work conversion could reduce the time to degree completion by enabling students to acquire credits more rapidly. We recommend strengthening and expanding working relationships of program managers and leadership across departments to facilitate development of more holistic educational assistance policies to promote moreeffective and -efficient use of military education benefits. For example, DoD, VA, and ED could create a cross-department hierarchy of education benefit use that could guide military personnel toward using the program with the highest potential for return (i.e., cost, credits, time) at a given time first and then leveraging other programs subsequently or to a lesser extent. Suggestions for Improved Program Cost Efficiency:
 Currently, we are not aware of a mechanism for tracking an individual's use of education benefit programs across departments. Development of such a system has potential to help reduce overall costs by identifying possibly redundant program spending. Also, such a system could make tracking benefit use and measuring educational progress more straightforward and provide education counselors with a tool to help service members design a financially efficient education plan. For example, someone using a subsidized ED student loan who is also eligible for the Post-9/11 GI Bill is likely using resources inefficiently and should be discouraged. However, if a service member is eligible for a Pell Grant or employer education funding (e.g., reserve component members who have civilian jobs), it might be better to use these benefits rather than TA funds. Using these benefits would not add to the service member's burden but would reduce DoD and/or VA program costs."
"Are Current Military Education Benefits Efficient and Effective for the Services","https://scispace.com/paper/are-current-military-education-benefits-efficient-and-27d1z2m7p9","2017","Book","","Jennie W. Wenger
Trey Miller
Matthew D. Baird
Peter Buryk
Lindsay Daugherty
Marlon Graf
Simon Hollands
Salar Jahedi
Douglas Yeung","","https://scispace.com/pdf/are-current-military-education-benefits-efficient-and-27d1z2m7p9.pdf","A primary purpose of military education benefits is to assist service members' transitions back to civilian life, but the benefits likely have implications for recruiting and retention as well. This research takes a mixed-methods approach to examine the effects of education benefit programs on recruiting and retention–related outcomes, and to assess how the two largest education benefits may work together.","signi cant struggles in completing key education credentials, and to ine cient course-taking patterns costly to both the student and the military. Under such circumstances, counseling could assist service members in planning the most e ective pathways to achieve their desired educational goals. Implications and Recommendations:
 Expanding and continuing to ne-tune the existing GI Bill Comparison Tool could also be a way of providing additional information. e GI Bill Comparison Tool was developed through a partnership between VA, DoD, and the Department of Education; the tool provides a wide variety of information helpful to service members and dependents as they search for appropriate postsecondary institutions. e tool draws on rich administrative data from all three agencies to provide information that can help service members and dependent bene ciaries search for appropriate colleges to utilize their bene ts. e tool includes useful information about completion rates of di erent credentials and earnings of graduates at eligible institutions. Such information can be helpful in choosing appropriate programs that can allow service members to complete useful credentials in a timely manner; therefore, this tool has the potential to lower costs. E orts to assess or improve the extent to which service members are aware of this information could pay dividends. Implications and Recommendations:
 Along with providing additional information, we would recommend careful tracking of the information provided, as well as using a variety of techniques (such as online surveys) to determine how well service members retain the information. Implications and Recommendations:
 2. Encourage use of TA program. We estimate the number of semesters of credit earned and cost per credit hour through the PGIB and TA. e primary takeaway from this analysis is that the cost to the military (the services or VA) of delivering a credit hour of postsecondary education through TA is, on average, substantially lower than the cost of delivering a credit hour via PGIB. While there are a number of reasons for this, the primary one is that PGIB is generally used after separation from service and includes a living stipend for users not currently enlisted or married to and living with a partner currently enlisted. e tuition limits on the PGIB are much higher than those placed on TA, and this, too, plays a role in the cost di erence. e government may thus be able to achieve cost savings by encouraging more use of TA bene ts. It appears that service members use TA to take introductory courses, perhaps in preparation for additional, more-advanced coursework. Especially if future research determines that service members and dependents using PGIB have di culty completing a course of study or degree, this suggests that encouraging use of TA would also be sensible-in this case, using TA might not lower overall costs but could easily lower the expected costs of degree completion."
"Army Medics With College Degrees Who Transitioned to Civilian Life","https://scispace.com/paper/army-medics-with-college-degrees-who-transitioned-to-2uvchtb50a","2015","","","Alex Giberson","","https://scispace.com/pdf/army-medics-with-college-degrees-who-transitioned-to-2uvchtb50a.pdf","Army Medics With College Degrees Who Transitioned to Civilian Life by Alex Giberson MPA, Kaplan University, 2012 BS, Kaplan University, 2011 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy Public Policy and Administration Walden University November 2015 Abstract Few colleges and universities have adopted the practice to provide credits for the majority of undergraduate coursework for military career training. Easing the transition from military to civilian life has become a priority for the Department of Defense, yet there is a significant gap in empirical knowledge regarding the potential benefits of a college degree on soldiers exiting the military. The purpose of this study was to understand the lived experiences of Army Medics who have transitioned back into civilian life after graduating from a college degree program that grants significant credit for military training. This phenomenological study used a conceptual framework derived from Schlossberg’s adult transition theory. Data were collected from a focus group, semistructured interviews, and interviewer notes. Seven participants were identified through purposive sampling. Interview transcripts and interviewer notes were analyzed using the Van Kaam method and yielded 4 pre-transition and 6 transitional themes. Findings indicated that the participants’ initial fears of the transition were replaced with higher perceptions of self-worth and confidence, which benefitted them as they assimilated back into civilian society. The implications for positive social change include informing the Department of Defense and policymakers who are supporting soldiers transitioning to civilian life about study participants’ increased feelings of self-worth and confidence upon degree completion.Few colleges and universities have adopted the practice to provide credits for the majority of undergraduate coursework for military career training. Easing the transition from military to civilian life has become a priority for the Department of Defense, yet there is a significant gap in empirical knowledge regarding the potential benefits of a college degree on soldiers exiting the military. The purpose of this study was to understand the lived experiences of Army Medics who have transitioned back into civilian life after graduating from a college degree program that grants significant credit for military training. This phenomenological study used a conceptual framework derived from Schlossberg’s adult transition theory. Data were collected from a focus group, semistructured interviews, and interviewer notes. Seven participants were identified through purposive sampling. Interview transcripts and interviewer notes were analyzed using the Van Kaam method and yielded 4 pre-transition and 6 transitional themes. Findings indicated that the participants’ initial fears of the transition were replaced with higher perceptions of self-worth and confidence, which benefitted them as they assimilated back into civilian society. The implications for positive social change include informing the Department of Defense and policymakers who are supporting soldiers transitioning to civilian life about study participants’ increased feelings of self-worth and confidence upon degree completion. Army Medics With College Degrees Who Transitioned to Civilian Life by Alex Giberson MPA, Kaplan University, 2012 BS, Kaplan University, 2011 Dissertation Submitted in Partial Fulfillment of the Requirements for the Degree of Doctor of Philosophy Public Policy and Administration Walden University November 2015 Dedication I dedicate this work to my wife Pia and my daughter Sidney, whose support over the last three years has been unwavering. While the journey seemed long, their efforts to see me through to the end are the reason I’ve arrived at this point. Acknowledgments While there are many instrumental people who influenced my journey, I would like to recognize those who challenged me the most; the educators. They did so by challenging my thoughts and beliefs, and by making me look for answers even though I believed I knew them already. You will forever be remembered by your students as teaching the hard classes, but your impact lasts a lifetime. Your rewards are few, but know that your efforts resonate in the scholar-practitioners that your students become. I would also like to thank Dr. Ross Alexander, my Chair, and Dr. Mark Stallo, my committee member, for their guidance, expertise, and support. Your efforts to keep me on track were greatly appreciated. I also wish to thank Dr. Ernesto Escobedo for his tireless efforts to ensure quality of work. I’m honored to have worked with you all. Finally, I am compelled to thank my friend Lee Newton for his constant support over the last three years. This journey is long and at times seemingly unattainable, but your friendship helped keep me on track and moving forward.","their service. These benefits include preferential hiring for federal jobs . The TAP instructors, coupled with other trusted soldiers and friends, move into the constructivist role of teacher and mentor; assisting in the construction of understanding the transition about to be undertaken . Military Transition Assistance Program:
 Two significant studies, one prior to the implementation of the VOW to Hire Heroes Act of 2011 , and one during the initial rollout, (Prudential, 2012), identified problematic issues among transitioning service members.  sought to bring to light the level of knowledge that transitioning military members had regarding resources and services available to them. A notable statistical difference was identified and MacLean and Elder (2007) concluded that gaining knowledge surrounding the transition to civilian life while still in the military positively impacted event. Expanding on the importance that knowledge plays to the transitioning veteran outlined by , the Veteran's Employment Challenges survey engaged 2,453 veterans with intent of determining what factors posed the greatest challenge to transitioning veterans . The study concluded that ineffective TAP transition guidance was a significant factor that was directly attributed to difficulty during the transition. While close to two thirds of these veterans experienced substantial difficulty, nearly half did not feel that they were ready for the transition . Education in the form of access and delivery of information through the use of the military TAP program was identified as a concern . The readiness of an individual to adapt to the transition was deemed to increase with the level of education provided prior to separation. Current Transition Difficulties:
 A current Veterans Administration (VA) mental health pamphlet, identified that the lived experiences of military members are radically different than those of their civilian counterparts. Service breeds conformity; as such, the culture of the military becomes a norm. While serving on active duty the military member receives regular compensation, housing and medical needs are provided for, social status is established, and even the cloths that will be warn (and how they will be worn) are accounted for . As the soldier progresses these actions become established norms that will be radically altered as the soldier move in, moves through, and moves out of transition . Putting one's own needs first, as opposed to the needs of fellow veterans, is also a conceptually difficult adjustment to make, yet most employment opportunities today reward the individual and not the collective unit; a concept often found to be foreign to veterans (""Common Challenges,"" n.d.). The economy of the United States immediately following the terrorist attacks of September 11, 2001 was strong and expanding, yet over the course of the GWOT, the economy plunged into recession . The result, as documented by , was greater competition for fewer employment opportunities that were often lower paying than prior to the economic downturn. This is compounded when the culture associated with civilian employment -a competitive, rather than the collaborative environment the veteran is accustomed to -is taken into consideration (""Common Challenges,"" n.d.)."
"After the Cold War: Living with Lower Defense Spending","https://scispace.com/paper/after-the-cold-war-living-with-lower-defense-spending-uof6yjjfea","1992","Report","","Elizabeth Sheley","10.21236/ADA251692","https://scispace.com/pdf/after-the-cold-war-living-with-lower-defense-spending-uof6yjjfea.pdf","","fairs, offer access to job banks, and provide a potentially rich source of informal employment contacts. Some of them offer transition and benefit counseling. Another veterans' organization, Disabled American Veterans, has written a series of three guides to finding civilian employment. Other Employment Programs Available to Veterans:
 One private sector for-profit firm provides a mini-resume service, similar to the DORS system. It is free to service members and available to employers who subscribe to the Human Resources Information Network online database. The same firm also publishes job information targeted to service members in The Miltran Guide to Career Opportunities, available in many commissary and post exchanges for $10 per issue. Copies are also available free to clients at some of the service-run job centers. The magazine reprints help wanted ads from newspapers nationwide, organizing the ads by occupational code and indexing them to MOS codes. Even though the ads are almost 3 weeks old by the time the magazine comes out, the publisher reports that over 70 percent of the positions are still open at the time of publication. Although answering help wanted ads is often an unrewarding way to apply for a job, at least it does collect information on the kinds of jobs available in various parts of the country. Educational Beneftis: The Montgomery GI Bill:
 For veterans without transferable skills, or for those who want to improve their skills, education, and training opportunities, the Montgomery GI Bill can contribute to civilian economic success. Although, the Montgomery GI bill is less generous than its World War II predecessor, it nevertheless offers a real educational opportunity not available to civilians. The present version of the GI Bill is optional and requires a contribution from the soldier's pay. Over 70 percent of recruits opted to participate in the GI bill program in 1989 and an open season has been declared for all service members who are to be involuntarily separated and did not sign up at the time of their enlistment. Educational Beneftis: The Montgomery GI Bill:
 The GI Bill was originally conceived in 1943 by President Roosevelt's Osborne Commission on veterans' readjustment. The Commission's report led to the Serviceman's Readjustment Act of 1944-the GI Bill of Rights. After World War I, veterans had been given only a lump-sum cash bonus; the GI Bill undertook to make a real difference in the life chances of returning soldiers. It paid for all tuition, fees, books, and included a monthly stipend for 4 full years of schooling. In all 7.8 million veterans-just over half of those eligible--participated, receiving benefits that totaled about $85 billion (1991 dollars). 68   Since the original GI Bill, various educational benefit schemes for veterans have been employed. The post-Korean Conflict GI Bill provided benefits worth about $20 billion (1991 dollars) to 2.4 million veterans (43 percent of eligible veterans). The Vietnam era GI Bill served 8.2 million veterans (61 percent of those eligible) at a cost of about $6 billion (1991 dollars). Less generous than the World War II GI Bill, both plans generally required veterans to pay for part of their training or education. While the level of benefit declined from the original GI Bill to the Vietnam version, the level of participation actually increased."
