"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"How Effective is Correctional Education?: The Results of a Meta-Analysis","https://scispace.com/paper/how-effective-is-correctional-education-the-results-of-a-3j2rxfxigb","2013","Book","","Lois M. Davis
Robert Bozick
Jennifer L. Steele
Jessica Saunders
Jeremy N. V. Miles","10.7249/RB9728","https://scispace.com/pdf/how-effective-is-correctional-education-the-results-of-a-3j2rxfxigb.pdf","To examine the effectiveness of correctional education and its association with reductions in recidivism and improvement in employment after release from prison, the authors present the results a comprehensive literature review and meta-analysis.","Title: How Effective Is Correctional Education? The higher-quality research studies (Levels 4 and 5) indicate that, on average, inmates who participated in correctional education programs had 43 percent lower odds of recidivating than inmates who did not. These results are consistent even when the lower-quality studies are included. This translates to a reduction in the risk of recidivating of 13 percentage points for those who participated in correctional education programs versus those who did not. Because most state prison inmates have not completed high school, high school/General Education Development (GED) programs are the most common approach in the studies we examined. When we focus only on studies that examined such programs relative to no correctional education, inmates who participated in high school/GED programs had a 30 percent lower odds of recidivating than inmates who did not. In general, studies that included adult basic education (ABE), high school/GED, postsecondary education, and/or vocational training programs showed a reduction in recidivism. In looking at postrelease employment, we found-using 18 studies spanning Levels 2-5-that the odds of obtaining employment postrelease among inmates who participated in correctional education (either academic or vocational programs) were 13 percent higher than the odds for those who did not. But only one of the 18 studies had a high-quality research design. Key findings::
 • Correctional education improves the chances that inmates released from prison will not return and may improve their chances of postrelease employment. Key findings::
 • Cost analysis suggests that correctional education programs can be cost-effective when it comes to recidivism. Key findings::
 • Going forward, there is still a need to understand what is inside the ""black box"" of effective programs, such as curriculum, dosage, or quality. Key findings::
 • Four areas are critical in building the evidence base: Key findings::
 (1) applying stronger research designs, (2) measuring program dosage, (3) identifying program characteristics, and (4) examining more proximal indicators of program efficacy, such as changes in motivation, literacy gains, developing skills needed by local employers, and attaining academic degrees and industry-recognized certificates. Bureau of Justice Assistance U.S. Department of Justice:
 One might expect vocational training programs to be more adept than academic education programs at imparting labor market skills, awarding industry-recognized credentials, or connecting individuals with prospective employers. And, indeed, individuals who participated in vocational training programs had odds of obtaining postrelease employment that were 28 percent higher than individuals who had not participated in such programs."
"Correctional education can make a greater impact on recidivism by supporting adult inmates with learning disabilities","https://scispace.com/paper/correctional-education-can-make-a-greater-impact-on-193rzobqbe","2015","Journal Article","Journal of Criminal Law & Criminology","Angela Koo","","https://scispace.com/pdf/correctional-education-can-make-a-greater-impact-on-193rzobqbe.pdf","This Comment brings attention to a group that is overlooked within our prisons—adult inmates with learning disabilities. These inmates currently face challenges in receiving appropriate educational programming. Recognizing that several studies support the proposition that education reduces recidivism, this Comment argues that correctional education programs must make reforms to accommodate adult inmates with learning disabilities in order for education to fully impact recidivism rates","gains in prison are less likely to recidivate. They are also more likely to succeed at finding employment and earning higher wages. Not only does education work, but the costs of educational programming are much less than the costs of reincarcerating inmates. CONCLUSION:
 Given the postrelease benefits of education and the undeniable fact that many inmates have learning disabilities, correctional institutions must make changes to their education programs. Their current educational programming is inadequate because it does not recognize or support inmates with learning disabilities. This inadequacy means that the impact on recidivism has not yet been truly measured because this large segment of the prison population has not been accounted for. To make educational programming effective, prisons must begin identifying inmates with learning disabilities at their doors. Assessing for learning disabilities fits naturally with the battery of other tests prisons conduct upon an inmate's entry. CONCLUSION:
 Prisons must also train correctional educators to work with these inmates. While staffing prisons with special education teachers or mirroring the services provided to juveniles is financially unrealistic, prisons can make significant changes to the classroom experience by following through on formal policies and providing annual trainings on best practices for working with learners with learning disabilities. Classrooms should also incorporate a life-skills component to prepare inmates for postrelease life. Recognizing and addressing the additional challenges that prisoners with learning disabilities face in employment will likely increase inmates' postrelease success. And lastly, further discussion of this population is 2015]:
 Adult Inmates with Learning Disabilities 269 needed. Researchers currently studying the relationship between education and recidivism should assess this population and add it to their findings. The Department of Justice can lead these research efforts, which could provide the data base for more discussion and reform. If the suggestions in this Comment are implemented, in part or in whole, the criminal justice system will take a meaningful step towards providing much-needed support to adult inmates with learning disabilities."
"Reducing Recidivism Rates through Vocational Education and Training","https://scispace.com/paper/reducing-recidivism-rates-through-vocational-education-and-51tmwc0xnn","2015","Journal Article","Procedia - Social and Behavioral Sciences","Hadi Mohammed
Wan Azlinda Wan Mohamed","10.1016/J.SBSPRO.2015.08.151","https://scispace.com/pdf/reducing-recidivism-rates-through-vocational-education-and-51tmwc0xnn.pdf","","prisoner to undertake offending behaviour programed and desire to earn money through paid prison work. Other factors were short sentences (under 12 months) and long waiting lists of courses, being transferred to another centre without much more notice or being release early. How vocational education reduces recidivism:
 • Literacy and numeracy: the educational programme offer literacy and numeracy courses as well as higher-level qualifications such as Vocational training Diplomas. The completion rate was found to be over 80 percent. The high completion rate was attributed to: undertaking a risk assessment and looking at the sentence management plan to determine the educational and vocational training needs of offenders, offering the courses as modules, having dedicated training workshops, promoting the employment opportunities provided by the training, recognizing the achievements of trainees who completed the course. How vocational education reduces recidivism:
 • Motivation: Another factor that will determine an offender's recidivism is the motivation for the offender to change (7).Argued that the analysis of former offenders indicated that their decision to change was a significant factor in them not re-offending. Offenders with no motivation had fatalistic and respondent attitudes towards their criminality whereas motivated offenders were able to identify and make sense of their criminality. How vocational education reduces recidivism:
 (7) Argues that for some offenders, the motivation to change may need to include the severing of negative social bonds, as he argues that this may have been a factor in their original offending (1). describes offender's motivation to change as being instrumental in improving an offender's mental health as they are more focused on goals and resilient to negative external and social impacts in their lives. How vocational education reduces recidivism:
 In order for Technical and vocational education to benefit the offender, it is important for it to be tailored and focused on the needs of the offender; an example of this is the needs surrounding female offenders. , Argues that issues surrounding female offenders are compounded by other issues that can include being single percent family rejection, history of physical or sexual abuse as well as a high prevalence of mental health issues. How vocational education reduces recidivism:
 A female offender's history of physical and sexual abuse is an issue that will regulate training and education programed to be specifically tailored towards them for optimal effectiveness. Olaitan ( ) trainers and educators will need to present their programmed in a manner that is inclusive, fair and consistent. How vocational education reduces recidivism:
 • Employment opportunity: (17), describes how training and education offered to offenders needs to be relevant to employment opportunities that exist in the location that the offender lives and is likely to be employed in. An example of this is for offenders in areas with high tourism, hospitality courses would be the focus likewise, and vocational training in rural areas would focus on agriculture and forestry . Preparing offenders for employment through vocational education and training alone may not be enough to get them in to the employment market ( ), describe how offenders, especially those who have been incarcerated, may have significant issues that inhibit their ability to find employment. These may include lack of recent employment experiences, being excluded from certain types of employment, as well as the potential to weaken social connections that may lead to employment. Poor educational attainment coupled with poor employment record prospects on an offender's mental health (9), indicates that 36% of male police detainee and 53% of female police detainees reported either being diagnosed with a mental or being treated for a mental illness."
"Evaluating the Effectiveness of Correctional Education: A Meta-Analysis of Programs That Provide Education to Incarcerated Adults","https://scispace.com/paper/evaluating-the-effectiveness-of-correctional-education-a-2peaco6gf3","2013","Book","","Lois M. Davis
Robert Bozick
Jennifer L. Steele
Jessica Saunders
Jeremy N. V. Miles","","https://scispace.com/pdf/evaluating-the-effectiveness-of-correctional-education-a-2peaco6gf3.pdf","After conducting a comprehensive literature search, the authors undertook a meta-analysis to examine the association between correctional education and reductions in recidivism, improvements in employment after release from prison, and learning in math and in reading. Their findings support the premise that receiving correctional education while incarcerated reduces an individual's risk of recidivating. They also found that those receiving correctional education had improved odds of obtaining employment after release. The authors also examined the benefits of computer-assisted learning and compared the costs of prison education programs with the costs of reincarceration.","relationship between correctional education participation and employment holds among studies with the most scientifically defensible research designs. Although we do detect an employment advantage favoring inmates receiving education while incarcerated, we cannot rule out selection bias as a potential explanation for this observed effect. Interpreting the Relationship Between Correctional Education and Employment:
 As with our analysis of recidivism, we apply two other metrics to aid in interpretation: the risk difference and the number needed to treat. The risk difference is the absolute improvement in employment rates between those who received correctional education and those who did not. The number needed to treat indicates the predicted number of inmates who need to receive correctional education to secure one additional inmate postrelease employment. These two metrics require an estimated rate of employment in the population upon which to calibrate their calculations. Unfortunately, there is no national estimate of postrelease employment for former inmates that can serve this purpose. In lieu of a national estimate, we use the percent- age of male inmates supporting themselves via employment at 15 months postrelease, based on a study of approximately 1,700 adult male inmates conducted between 2004 and 2007 in 12 states . We base our calculations on our odds ratio for those studies meeting a Level 3, Level 4, or Level 5 rating on the Maryland SMS, as these represent the highest-quality studies available to us. In this aforementioned multistate study, 66.0 percent of adult male inmates were employed at 15 months of release. Applying our pooled odds ratio, we find that correctional education would be expected to improve postrelease employment rates by 0.9 percentage points. Using these estimates, the number needed to treat (NNT) indicates that 114 inmates would need to receive correctional education to procure postrelease employment for one additional inmate. Role of Program Type and Method Used to Collect Employment Data:
 We conclude our analysis of employment by exploring whether the relationship we observe between correctional education and the odds of obtaining employment varies varies by program type and/or the method used to collect employment data. The scientific review team abstracted both of these variables during their assessment and coding of the studies, which followed the review protocol shown in Appendix D. We use this information to recalculate our odds ratios separately for vocational programs and nonvocational programs and separately for studies that relied on administrative data, surveys to parole officers, and surveys to inmates. We focus on these two dimensions, because they have substantive and methodological implications for interpreting our main findings as well as for planning for future research in the field. Additionally, the data on these two variables are complete for our full sample of studies. Ideally, we would examine a broader range of program characteristics, but the data collected across studies were too inconsistent or incomplete. With a small pool of studies to examine, we consider these analyses to be purely exploratory. We urge readers to interpret these findings with that caveat in mind."
"Assessment of Quality Vocational Education in State Prisons. Executive Summary. Final Report.","https://scispace.com/paper/assessment-of-quality-vocational-education-in-state-prisons-3znoknetq2","1980","","","Eric Rice","","https://scispace.com/pdf/assessment-of-quality-vocational-education-in-state-prisons-3znoknetq2.pdf","","Policy, Educational Pesearch, Employment Statistics, Models, *Outcomes of Education, 1risoners, Program Administration, Program Descriptions, *Program Design, *Program Effectiveness, Recidivism, Success, *Vocational Rehabilitation corrections have become increasingly difficult to discern and act upon. One cannot be certain if corrections exists for the purpose of retention, rehabilitation, retribution, reintegration, deterrence or protection. To the degree that the purposes are rehabilitation and reintegration, education and particularly vocational preparation activities have become increasingly important because one key to success in life outside institutions is education. This is not to imply that education can solve all human problems; however, marketable skills coupled with the ability to read and write greatly enhance the probability that an individual released from a correctional institution will become a contributing member of society. The populations housed in correctional institutions have been neglected too often as a foci for research activity, particularly in the area of vocational education. This situation exists in spite of the thousands of persons who are released from Federal and state prisons each year, relatively few of whom have received the kind of training while in prison that would enable them to compete successfully for jobs. Further, this training gap continues in spite of the belief that the greatest aid to rehabilitation and the reduction of recidivism is education, particularly vocational education. This situation does not imply a total absence of successful, effective or innovative vocational education programs in correctional institutions. Rather, it simply points up a condition that can be characterized as one of (a) too few programs and opportunities; (b) too little systematic attention toward identifying, describing and analyzing the variables that combine to create successful, effective and/or innovative vocational programs; and (3) too little shared information about effective vocational education programs among practitioners. PURPOSE AND OBJECTIVES:
 The overall purpose of this research study was to discern, analyze, describe and disseminate information about successful exemplary programs and the critical variables, methods, strategies and procedures that lead to reducing recidivism, increasing post-release employment and increasing in-program success in vocational education programs located in adult-level state prisons. PURPOSE AND OBJECTIVES:
 The contract specified a set of objectives that were designed to guide study activities. The objectives were as follows: PURPOSE AND OBJECTIVES:
 o Define operationally and quantitatively program success in terms of relatively lower rates of recidivism, relatively higher rates of post-release employment and relatively higher rates of in-program success. PURPOSE AND OBJECTIVES:
 o Identify nine vocational programs located nationwide which are very effective in reducing recidivism, increasing postrelease employment and boosting in-program success levels. PURPOSE AND OBJECTIVES:
 o Analyze in depth and describe the selected vocational education programs to determine the relative impact of critical variables and the relationship of program elements to each other and to reducing recidivism, increasing post-release employment and boosting in-program success. PURPOSE AND OBJECTIVES:
 o Plan, conduct and evaluate regional dissemination sessions for state officials and administrators in order to convey the information derived from the study and to facilitate discussion among the officials about procedures for improving the quality of vocational education in state prisons. PURPOSE AND OBJECTIVES:
 The ultimate goal of the project was to produce and disseminate descriptive program information that would be immediately useful to correctional educators in planning or revising vocational programs in adult correctional institutions. This outcome was focused specifically on the need for more shared information about and more systematic analysis of successful programs."
"Australian prison vocational education and training and returns to custody among male and female ex-prisoners: A cross-jurisdictional study","https://scispace.com/paper/australian-prison-vocational-education-and-training-and-2uezd583b2","2019","Journal Article","Australian and New Zealand Journal of Criminology","Jesse Cale
Andrew Day
Sharon Casey
David Bright
Jo Wodak
Margaret Giles
Eileen Baldry","10.1177/0004865818779418","https://scispace.com/pdf/australian-prison-vocational-education-and-training-and-2uezd583b2.pdf","The current study examined the impact of vocational education and training in the custody setting on returns to custody among Australian adult prisoners from selected jurisdictions. Vocational education and training, education, and behavioural change programme participation in custody and demographic and risk assessment data were provided by correctional services in four Australian states for 10,834 Australian prisoners released from custody in 2010–2011. This information was used to predict returns to custody by 2015–2016. Overall, the results showed that participating in vocational education and training in custody contributed to the likelihood of remaining custody free at two and five years post-release for both male and female prisoners. However, for males the relationship was moderated by risk level. These findings are discussed in the context of developing vocational education and training in prison settings to address the specific needs of individuals and expectation of the wider community.","VET (e.g., economic conditions including the unemployment rate). Alternatively, VET and education may exert positive impacts on desistance over and above any direct impact on employment (e.g., by instilling more pro-social attitudes and beliefs, improving social skills). Discussion:
 A related issue is the over-representation of Indigenous Australians amongst prisoners in Australian prisons, and in the current context, access to opportunities both in prison and post-release. Although it was not possible to include data from the Northern Territory in the multivariate models, the proportion of prisoners accessing VET in the Northern Territory was the lowest among the States included. In addition, the clear majority of prisoners in the Northern Territory (over 90%) are Indigenous. This highlights two potential issues when it comes to VET in prison and post-release outcomes. The first is whether appropriate resources are in place to run VET that is meaningful for prisoners in that they provide the tools to enhance positive post-release outcomes (i.e., such as finding employment, not reoffending etc.). The second is whether and to what extent does VET in custody parallel the post-release job market. Prisoners who receive vocational training need skills that will help them succeed in the job market of the communities they live in post-release. Therefore, it is important that developing VET in prison is both meaningful and appropriate to prisoners, as well as the broader employment opportunity structure they will engage with post-release. Limitations and Conclusion:
 The current study suffered from several methodological limitations. Assessment of risk level was influenced by the availability of risk assessments across the jurisdictions that supplied data for the study. The assessments used by several corrective services departments in the current study (e.g., LSI-R) have reasonable predictive utility for general and violent offenders but are likely to underestimate risk level for sexual offenders, especially child sex offenders. Whilst this may have underestimated risk for some prisoners included in the study, it is unlikely to have influenced overall results regarding the influence of VET on returns to custody. It should be noted that returns to custody was operationalised as a return to corrective services, including both community and custodial orders (with the exception of data from South Australia that included only returns to prison). This is a somewhat conservative estimate of recidivism as it does not consider arrests, charges or convictions that did not result in a community or custodial sentence. It is possible that employing this measure of 'recidivism' over-estimates the recidivism of high-risk offenders. Such high-risk offenders may be more likely to receive a custodial or community sentence (as opposed to say, fines) due to more substantial criminal records. Despite these limitations, the overall results of the current study are consistent with other research which has found positive effects post-release for VET and education in prison."
"The impact of prison reform on the inmate population of swaziland","https://scispace.com/paper/the-impact-of-prison-reform-on-the-inmate-population-of-3l7trvn05e","2008","","","Jacobus Bruyns","","https://scispace.com/pdf/the-impact-of-prison-reform-on-the-inmate-population-of-3l7trvn05e.pdf","","who did not receive such training Vocational programmes: • were more likely to complete stays in a halfway house Vocational programmes: • were less likely to have their release on parole revoked Vocational programmes: • were more likely to be employed after release. Vocational programmes:
 MacKenzie  has shown that programmes that begin job search assistance and preparation for employment prior to leaving prison and that continue assistance after release hold promise for reducing recidivism. ,  and  indicate that offenders released from prison who have a legitimate job (with higher wages or higher quality jobs) are less likely to recidivate. ) evaluated two studies done by ) and one study by  and concluded from the results of the studies that vocational training and/or work release programmes are effective in reducing recidivism as well as improving job readiness skills. The study by  indicates that the work release programme achieved its primary goal of preparing inmates for final release and facilitating their adjustment to the community. Although there are indications that those who participated in work release programmes were somewhat less likely to be rearrested, the results were not statistically significant. , who compared offenders participating in training and work programmes with similar offenders who did not take part, demonstrated significant training effects on both in-prison (misconduct reports) and post-prison (employment and arrest rates) outcome measures. Vocational programmes:
 While the period of imprisonment could be viewed as an opportunity to build skills and prepare inmates for job placement, the literature provides mixed to negative support for the effectiveness of in-prison job training programmes . In addition, long periods of imprisonment may weaken social contacts that lead to slighter employment opportunities upon release . There is also evidence that suggests that being labelled as a criminal (e.g. being arrested or imprisoned) may adversely affect subsequent employment stability .  indicates that certificates issued by a correctional institution bear little weight on the outside, and that they are often considered detrimental to an offender's ability to obtain a job. It has been shown to be more beneficial when certificates are endorsed or provided by organisations or trade associations that are directly related to the vocational skill required. Prison labour and inmate behaviour:
 Like the findings of research on corrections-based education programmes, research on prison labour is also encouraging. It appears that prison work experience operates through several mechanisms to produce better behaved inmates, lower recidivism rates and higher rates of involvement in constructive employment after release. Prison labour and inmate behaviour:
 Just as offenders present deficient educational records upon entry to prison, their work histories also reflect vague or non-existent employment records, few marketable skills and an inadequate work ethic. Thus, the purpose of prison labour has always been multifaceted, and includes instilling positive work attitudes and the development of self-discipline and marketable skills. In addition to these offender-focused goals, work programmes have sought to be economically self-sufficient (if not profitable), and to keep inmates occupied in productive activities that reduce the risks associated with inmate idleness. The administration of prison labour programmes and the question of whether such programmes assist in reducing recidivism are complicated by the multiple goals and objectives that are sought through prison labour . Prison labour and inmate behaviour:
 As a research issue, prison labour also suffers from definitional ambiguity; the definition of ""prison work assignment"" may range from innocuous and trivial institutional maintenance assignments to 40 hours per week in workshops that approximate real-world work practices."
"An Analysis of Entrepreneurial Education in the Criminal Justice System","https://scispace.com/paper/an-analysis-of-entrepreneurial-education-in-the-criminal-4sv7js20d4","2017","Dissertation","","Austin Powell","","https://scispace.com/pdf/an-analysis-of-entrepreneurial-education-in-the-criminal-4sv7js20d4.pdf","Currently, American federal and state prisons release more than 600,000 offenders each year that contribute to the estimated 70 million or more Americans that have some form of criminal record. By holding a criminal record, successful reentry for offenders are difficult because the criminal record serves as a barrier to public benefits. There are many correctional education programs designed to help offenders while in prison to overcome these barriers. Entrepreneurial education programs are becoming more popular, due to the positive recidivism and post-release employment results. The purpose of this study is to compare entrepreneurial education to other programs while analyzing the components that make the program successful. This thesis concludes that entrepreneurial education programs utilize logotherapy components derived from Viktor Frankl’s psychotherapy to achieve lower recidivism and higher post-release employment rates. To draw this conclusion, this thesis presents a literature review which contains information regarding the current criminal justice system, and the current educational programs offered. Furthermore, the analysis of entrepreneurial education developed after an in-depth review of phenomenology and Viktor Frankl’s logotherapy.","inmates with at least some postsecondary education were more than twice as likely to have earned a personal income of $2,000 or more in the month before arrest, contrasted to state prison inmates with less than a high school diploma. 39 Recidivism:
 The definition of recidivism varies across many studies.  Some researchers count recidivism as only re-incarceration; however, others stipulate that recidivism is bounded by the conditions of the re-arrest.  Recidivism could include reconviction for the same or a different criminal offense and re-incarceration for technical violations during community supervision.  For the purpose of this study, recidivism will be defined as the ""act of re-engaging in criminal offending despite having been punished.""  The recidivism rate ""is the proportion of persons released from prison who are rearrested, reconvicted, or returned to custody within a specific amount of time,"" and this rate is often used as one of the measurements for the effectiveness of correctional education.  With more than 600,000 individuals returning home annually from U.S state and federal prisons, the National Reentry Resource Center approximated that more than four offenders in every group of ten will be returned to a state prison within three years or less of their release.  The community-level risk factorspoverty, inequality, socioeconomic disadvantage, and limited neighborhood resourcesare identified in placing individuals more at risk to reoffend.  In contrast, individual-level risks are respective to a person's age, ethnic group, gender, and their employment status, living situation, educational attainment, economic mobility, prior criminal record, history of mental health conditions or substance abuse and more.  In reducing recidivism, correctional education is proven to be effective. Offender Reentry and Post-Release Employment:
 Compared to the last three decades, more individuals are being released in some form of community supervision, and the process by which these offenders are leaving the correctional system and returning to civilian society is known as offender reentry.  In a study conducted to answer the question of what differentiates successful and unsuccessful parolees, a successful reentry is defined as ""being discharged from parole by three years after release.""  In other words, a successful reentry is where an individual is not rearrested, reconvicted, or returned to a prison within three years after being released. Although offender reentry cannot be limited to one concept or framework, research does confirm that strategies for reentry include social integration with larger society, local communities, and the workforce.  Other research indicates the components of a successful reentry include: having strong supportive relationships with family and friends; the value of providing classes and other types of programs while offenders are incarcerated; and aftercare support that maintained high levels of self-efficacy or self-worth. 52"
"Employment-Focused Programs for Ex-Prisoners: What Have We Learned, What Are We Learning, and Where Should We Go from Here?.","https://scispace.com/paper/employment-focused-programs-for-ex-prisoners-what-have-we-5btub2381g","2006","","","Dan Bloom","","https://scispace.com/pdf/employment-focused-programs-for-ex-prisoners-what-have-we-5btub2381g.pdf","","other program models, including preemployment training and transitional work. IPS is a work-first approach that relies on rapid placement in unsubsidized jobs, coupled with postemployment supports and accommodations (Bond, Becker, and Mueser, 1999). Employer-Focused Strategies:
 prisoners' prospects might be improved if their records were expunged. Perhaps a state might be willing to experiment with a more liberal or expedited expungement or pardon policy, for example, for individuals who have never committed a violent offense. Education and Training Strategies:
 As discussed earlier, even if they are successful in finding jobs, most former prisoners will earn very low wages. This may be partly attributable to their incarceration, but the larger issue is that relatively few well-paying jobs are available for people with low levels of education and skills. The earnings supplementation strategies discussed above are designed to address this problem, but it is also worth considering whether any specific education and training strategies should be tested among former prisoners. Education and Training Strategies:
 Unfortunately, studies of general job training programs for low-income populationsmany of which were discussed earlier -do not point to many promising models for men. Similarly, in the welfare system, there is little evidence that education and training-based strategies raise earnings more than strategies based on rapid employment -although these studies mostly tested programs that required recipients to attend basic education programs whether they wanted to or not.  And, of course, there is a practical problem: Most former prisoners need to work a lot to make ends meet, leaving little additional time for education or training. Education and Training Strategies:
 The most obvious strategy is to make better use of the time individuals spend in prison. While somewhat promising, the studies cited earlier provide little solid evidence that prisonbased training makes a difference, and little is known about the quality of the training. Thus, an explicit test of a strong prison-based vocational training program, linked to jobs in a highgrowth sector, might be considered. As with the earnings supplement proposal described earlier, some might raise equity concerns about providing better vocational training to prisoners than is typically available to low-income individuals with no criminal record. System Reforms:
 Most of this paper has focused on program models rather than on the systems in which they operate. For example, the paper does not address whether employment services for exprisoners should operate within the context of the criminal justice system or the broader workforce development system. System Reforms:
 The paper also has not discussed the parole system, which sets the context for most community-based reentry programs. Petersilia 56 describes how parole workers' caseloads have . . grown, and how the system has increasingly focused on surveillance and monitoring rather than services to help prisoners reenter the community. 57 Indeed, one-third of prison admissions are for parole violations. A recent study found that parole supervision has little impact on rearrest rates of released prisoners.  It is possible that reentry outcomes could be improved without directly changing parole practices. Many early welfare-to-work initiatives grafted employment services onto the welfare system without attempting to change the day-to-day practices of welfare eligibility workers, even though some of those practices were seen as discouraging employment."
"Listening to the Experts: Correctional and Community College Administrators’ Perceptions of How Collaboration Contributes to the Public Value of a Postsecondary Correctional Education Partnership","https://scispace.com/paper/listening-to-the-experts-correctional-and-community-college-2xrs4nx7ic","2017","","","Luis S. Garcia","","https://scispace.com/pdf/listening-to-the-experts-correctional-and-community-college-2xrs4nx7ic.pdf","","correctional education indicate, by providing correctional programming in correctional systems, correctional education administrators in the criminal justice system possess a unique public value opportunity to impact correctional populations with the academic and occupational skills necessary to becoming productive members of society postrelease . Correctional Education Research: An Overview:
 Given existing recidivism data and the likelihood that 95 out of every 100 inmates return to the community, ensuring effective correctional programming to correctional populations has been a major concern for correctional administrators. The most compelling argument for providing correctional education within correctional institutions has been its role in recidivism reduction. Given this context, a significant body of research has demonstrated the relationship between correctional populations that have participated in correctional educational programming and reduced rates of recidivism and increased post-release employment  In addition, research has demonstrated that investments in correctional education have provided better cost/benefit outcomes than has investment in simple incarceration. According to , every one million dollars spent on correctional education has prevented close to 600 crimes, whereas the same money invested in simple incarceration has prevented only 350 crimes. , in a State of Washington report, found that correctional education programming in Washington state prisons had produced some of the largest net economic benefits for the state from state funding. The reduced costs to the state were multifactorial, including fewer incarcerated state prison inmates, less expenditure treating victims of crime, and improved future economic contributions by the working, nonincarcerated ex-offenders .  suggested that correctional populations that availed themselves of educational opportunities while incarcerated gained employment at a higher rate, began to pay taxes, and contributed in qualitatively different ways than those who returned to criminal lifestyles. In a summary of the impact of correctional education programming,  found that adult basic education and vocational education programs were positively related to post-release employment and negatively related to future criminal activity. In a meta-analysis of 15 studies conducted during 1990-1999,  found a negative correlation between inmate participation in prison PSCE programming and the rate of recidivism. Correctional Education Research: An Overview:
 In a study a sponsored by the State of Virginia Department of Correctional Education, inmates who participated in some PSCE courses had significantly lower recidivism rates than those who did not. Moreover, inmates who participated in PSCE programming increased average earnings after release, especially those who had earned an associate's degree. Correctional Education Research: An Overview:
 Furthermore, inmates who enrolled in both academic and vocational courses through correctional education programming while incarcerated were more likely to continue their education at a Correctional Education Research: An Overview:
 State of Virginia community college after release than were those who did not take any coursework ."
