"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"You Can’t Handle The Truth: The Effects Of The Post-9/11 Gi Bill On Higher Education And Earnings","https://scispace.com/paper/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62","2021","Report","Research Papers in Economics","Andrew Barr
Laura Kawano
Bruce Sacerdote
William L. Skimmyhorn
Michael Stevens","10.3386/W29024","https://scispace.com/pdf/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62.pdf","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the U.S. We examine the impact of the PGIB on veterans’ college-going, degree completion, federal education tax benefit utilization, and long run earnings. Among veterans potentially induced to enroll, the introduction of the PGIB raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a base of 9 percent). But, the PGIB reduced average annual earnings nine years after separation from the Army by $900 (on a base of $32,000). Years enrolled effects are larger and earnings effects more negative for veterans with lower AFQT scores and those who were less occupationally skilled. Under a variety of conservative assumptions, veterans are unlikely to recoup these reduced earnings during their working careers. All veterans who were already enrolled in college at the time of bill passage increase their months of schooling, but only for those in public institutions did this translate into increases in bachelor’s degree attainment and longer-run earnings. For specific groups of students, large subsidies can modestly help degree completion but harm long run earnings due to lost labor market experience.","This paper examined the impact of the post 9/11 GI Bill on veterans' college-going, degree completion, federal education tax benefit utilization, and long run earnings, and found that for specific groups of students, large subsidies can modestly help degree completion but harm long-run earnings due to lost labor market experience."
"From Benefits to Success: Veterans’ Educational Outcomes in the Post-9/11 Era","https://scispace.com/paper/from-benefits-to-success-veterans-educational-outcomes-in-36hzy2ljht","2020","Journal Article","Community College Journal of Research and Practice","Sammi Morrill
Patricia Somers","10.1080/10668926.2019.1629127","","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce. However, there is little empirical re...","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce as discussed by the authors, but there is little empirical evidence to support the GI Bill's benefits."
"The Effect of Veterans Benefits on Education and Earnings","https://scispace.com/paper/the-effect-of-veterans-benefits-on-education-and-earnings-400v5j6f05","1993","Journal Article","Industrial and Labor Relations Review","Joshua D. Angrist","10.1177/001979399304600404","https://www.jstor.org/stable/2524309","Veterans benefits that subsidize education and training constitute the largest federal program for student aid. Using data from the 1987 Survey of Veterans, the author presents estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings. Veterans benefits are estimated to increase schooling by roughly 1.4 years, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits. This premium appears to accrue primarily to the 77% of benefit users who attended college or graduate school. Beginning with the 1944 G.I. Bill, the federal government has subsidized education and training for veterans of the armed forces. The rationale for the original G.I. Bill was to speed the transition to peacetime production and to compensate veterans whose educational plans were interrupted by military service. Increasingly, however, veterans benefits have come to be seen as an essential","Using data from the 1987 Survey of Veterans, the authors presented estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits."
"Going to War and Going to College: Did World War II and the G.I. Bill Increase Educational Attainment for Returning Veterans?","https://scispace.com/paper/going-to-war-and-going-to-college-did-world-war-ii-and-the-g-3nnuf9v1s8","2002","Journal Article","Journal of Labor Economics","John Bound
Sarah Turner","10.1086/342012","https://scispace.com/pdf/going-to-war-and-going-to-college-did-world-war-ii-and-the-g-3nnuf9v1s8.pdf","The flood of veterans enrolling in college at the end of World War II contributed to widespread rhetoric that the G.I. Bill brought about the “democratization” of American higher education. Whether military service, combined with educational benefits, led World War II veterans to increase their investments in college has received little research attention. Our estimation strategy focuses on between‐cohort differences in military service, and we use census data to compare the collegiate attainment of veterans and nonveterans. The net effect of military service and G.I. benefits was substantial gains in the collegiate attainment of World War II veterans.","This article found that the net effect of military service and G.I. benefits was substantial gains in the collegiate attainment of World War II veterans and non-veterans in the US."
"Labor Market Earnings of Veterans: Is Time in the Military More Valuable or Less than is Civilian Experience?","https://scispace.com/paper/labor-market-earnings-of-veterans-is-time-in-the-military-4wm6jveo3q","2019","Journal Article","Social Science Research Network","Christos Makridis
Barry T. Hirsch
Barry T. Hirsch","10.2139/SSRN.3466518","","We assess the labor market experiences of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects. First, we find that male and female veterans receive civilian earnings nearly equivalent to nonveteran men and women. This finding implies that military experience is valued in the labor market similarly to foregone civilian experience. Second, veterans are clustered in occupations with somewhat lower than average employment and real earnings growth, and in metropolitan areas with lower levels and growth of real GDP per capita. Third, veterans experience lower returns to formal educational investments (e.g., college) than do nonveterans. Veterans realize earnings gains from professional licenses, but their returns are lower than for nonveterans. These gains are concentrated among science, technology, engineering, and math (STEM) jobs, suggesting that veterans could help meet the growing demand for tech talent and artificial intelligence skills.","This article assess the labor market experiences of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects, finding that male and female veterans receive civilian earnings nearly equivalent to nonveteran men and women."
"The Labor Market Earnings of Veterans: Is Military Experience More or Less Valuable than Civilian Experience?","https://scispace.com/paper/the-labor-market-earnings-of-veterans-is-military-experience-3hjpb38nr1","2021","Journal Article","Journal of Labor Research","Christos Makridis
Christos Makridis
Barry T. Hirsch","10.1007/S12122-021-09321-Y","https://www.econstor.eu/bitstream/10419/245687/1/dp14636.pdf","We assess the labor market experiences and earnings of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects. First, we find that male and female veterans receive civilian earnings nearly equivalent to nonveteran men and women. This finding implies that military experience is valued in the labor market similarly to foregone civilian experience. Second, veterans are clustered in occupations with somewhat lower than average employment and real earnings growth, and in metropolitan areas with lower levels and growth of real GDP per capita. Third, veterans experience lower returns to formal educational investments (e.g., college) than do nonveterans. Veterans realize earnings gains from professional licenses, but their returns are lower than for nonveterans. These gains are concentrated among science, technology, engineering, and math (STEM) jobs, suggesting that veterans could help meet the growing demand for tech talent and artificial intelligence skills.","The authors assess the labor market experiences and earnings of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects."
"Matching Military Skills to Civilian Jobs: Does Military Training Enhance Veteran's Civilian Wage Rates?","https://scispace.com/paper/matching-military-skills-to-civilian-jobs-does-military-4cvgt47gkc","1995","","","Karl R. Olsen","","",": This thesis statistically analyzes the transferability of military skills to civilian job markets and the relationship between acquired military training and civilian wages. It also assesses the extent to which military training is utilized by veterans currently employed in the civilian labor force and analyzes the process by which veterans assimilate into the civilian work force, including the role geographic migration plays in this process. The relationship between veteran status and post-service civilian wages is examined using linear regression methods. The models test the existence of either a veterans premium or penalty with respect to civilian earnings as a function of various military training, occupation, background, and other variables. Results show that veterans receive a significant wage premium over their civilian counterparts. Additionally, veterans who use their military training in their current civilian job receive higher wages than either non-veterans or veterans who do not use their military skills in civilian occupations.","In this paper, the authors analyzed the transferability of military skills to civilian job markets and the relationship between acquired military training and civilian wages and found that veterans receive a significant wage premium over their civilian counterparts."
"Going to War and Going to College: Did World War II and the G.I. Bill Increase Educational Attainment for Returning Veterans?","https://scispace.com/paper/going-to-war-and-going-to-college-did-world-war-ii-and-the-g-xhnefgc5pk","1999","Posted Content","Research Papers in Economics","John Bound
Sarah Turner","","","The end of World War II brought a flood of returning veterans to America's colleges and universities. Yet, despite widespread rhetoric about the democratization' of higher education that came with this large pool of students, there is little evidence about the question of whether military service, combined with the availability of post-war educational benefits, led these men to increase their investments in education - particularly at the college and university level. This paper uses the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era. Using census data, our results indicate that the net effects of military service and the widely available funding for college through the G.I. Bill led to a moderate gain in the postsecondary educational attainment of World War II veterans.","The authors used the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era."
"From boots to books","https://scispace.com/paper/from-boots-to-books-320htypy","2022","Dissertation","","Lorraine Dinnel","10.17760/d20412725","","Since the creation of the GI Bill, military veterans have had a significant effect on higher education. As U.S.-lead conflicts OIF and OEF conclude and more veterans separate from service, institutions of higher education are seeing increased numbers of service members utilizing education benefits and enrolling in college. Veterans who transition from military service to higher education are unique in that they enter higher education with challenges, strengths, needs, and experience which differ from their tradition, non-military affiliated peers. The purpose of this phenomenological research study was to understand the experiences of student service members who transition from the military to college, and programs and resources which best support their success. Utilizing in-depth interviews as the primary method of data collection, it was the goal of this analysis to add to the growing body of literature regarding this important and contemporary student demographic. This research outlines the perspectives of student service members as they transition from the military and into academic life to pursue their bachelor's degree. Their experiences provide implications for the military and institutions of higher education seeking to promote and support student service member success.--Author's abstract ","In this paper , a phenomenological research study was conducted to understand the experiences of student service members who transition from the military to college, and programs and resources which best support their success."
"The Post-9/11 G.I. Bill: A Catalyst to Change Service Voluntary Education Programs","https://scispace.com/paper/the-post-9-11-g-i-bill-a-catalyst-to-change-service-9t1vo2nnsn","2011","","","Jonathan D Picker","","",": This research paper examines the merit of educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective. Prior to the signing of the Post-9/11 G.I. Bill into law, education benefits provided through the Veterans Administration (VA) and DoD were separate and distinct in that these education benefits were not available to the entire force, but rather to targeted groups. G.I. Bill benefits were available to enlisted members plus certain categories of officers after meeting minimum qualification standards. Tuition Assistance is available to the entire active duty force. The resulting change to Title 38 of U.S. Code from the passage of the Post- 9/11 G.I. Bill now entitles all servicemembers to educational benefits through the VA, once minimum qualifications are met. Therefore, the key question guiding this paper is whether the implementation of the Post-9/11 G.I. Bill has created a redundant funding mechanism for servicemembers despite the current and foreseeable fiscally constrained environment. Additionally, this paper examines the alignment of educational benefits to the current National Security Strategy. This topic is explored through a historical survey of applicable programs followed by a discussion of program execution in order to establish a basis for possible avenues for program improvement or changes to law.","In this article, the authors examined the educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective."
