"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Human capital theory","https://scispace.com/paper/human-capital-theory-49wsadyesn","2024","Book Chapter","","Irena Grugulis","10.4337/9781035308767.ch10","","The Human Capital Theory (HCT) entry includes sections that define the theory, explore developments in the theory, demonstrate specific application of the theory to HRM, and provide suggested topic areas for future research. HCT is the idea that, just as organisational productivity can be increased by investment, by, for example, purchasing new plant and machinery; individuals can invest in themselves, through increasing education, qualifications, skills, knowledge and health and, by so doing, they can improve their earnings (; ). Put simply, learning is earning (). ","Human capital theory is a theory that emphasizes the importance of individual investment in education, skills, and knowledge for improving earning potential."
"人力资本:概念、理论、方法","https://scispace.com/paper/ren-li-zi-ben-gai-nian-li-lun-fang-fa-gcwftxc77ing","","","","阙祥才
唐永木","10.3969/j.issn.1007-9378.2008.22.077","","人力资本是指存在于人体中并具有经济价值的后天获得的知识、技能、健康、迁移能力、思想观念等质量性因素的总和。西方人力资本理论从人力资本投资与收益、人力资本与经济增长关系的关注逐步转向对人力资本产权、人力资本配置等相关问题的强调。国内人力资本的研究进展迅速,但多属应用性研究,基础理论成果较少。人力资本计量可分为基于成本、基于收入、基于教育指标和基于直接能力四种方法。","This paper explores the concept, theory, and methods of human capital, a composite of knowledge, skills, health, and other quality factors with economic value, and discusses the evolution of human capital theory and measurement methods in China and the West."
"Human Capital: A Theoretical and Empirical Analysis, with Special Reference to Education","https://scispace.com/paper/human-capital-a-theoretical-and-empirical-analysis-with-2enwamuyk2","2009","Book","","Gary S. Becker","","","""Human Capital"" is Becker's study of how investment in an individual's education and training is similar to business investments in equipment. Becker looks at the effects of investment in education on earnings and employment, and shows how his theory measures the incentive for such investment, as well as the costs and returns from college and high school education. Another part of the study explores the relation between age and earnings. This edition includes four new chapters, covering recent ideas about human capital, fertility and economic growth, the division of labour, economic considerations within the family, and inequality in earnings.","In this paper, the effects of investment in education and training on earnings and employment are discussed. But the authors focus on the relationship between age and earnings and do not explore the relation between education and fertility."
"Human Capital: Educational Aspects","https://scispace.com/paper/human-capital-educational-aspects-3fiivf7yp0","2001","Book Chapter","","M. Woodhall","10.1016/B0-08-043076-7/02469-4","","The economic concept ‘human capital’ refers to the fact that education and training can be regarded as a form of investment that will increase future levels of income for both individuals and society, by making people more productive, in the same way as buildings or machinery represent investment in physical capital. Economists traditionally measure the relationship between costs and benefits of investment by estimating ‘rates of return.’ This article examines the applicability of the economic concept of human capital to education, summarizes research and literature on educational aspects of human capital, discusses ways in which estimates of rates of return to education and the links between education, employment and economic growth have influenced education policy, particularly on financing of education, and examines criticisms of human capital theories, including the idea that education may represent a ‘screening device,’ rather than a genuinely productive form of investment. The article ends with a discussion of the more recently developed concept of ‘social capital,’ which challenges narrow definitions of human capital.","The authors examines the applicability of the economic concept of human capital to education, summarizes research and literature on educational aspects of human resources, discusses ways in which estimates of rates of return to education and the links between education, employment and economic growth have influenced education policy, particularly on financing of education, and examines criticisms of human resource theories, including the idea that education may represent a screening device, rather than a genuinely productive form of investment."
"Human Capital: A Summary of the 20th Century Research","https://scispace.com/paper/human-capital-a-summary-of-the-20th-century-research-50ghk26tr9","2002","Journal Article","Journal of Education Finance","George Langelett","","https://www.jstor.org/stable/info/40704155","Since the early 1960s, human capital has been a theoretical and empirical focus of economics. During the last two decades, human capital formation became a central issue of neoclassical growth theory. This paper is an overview of the research on human capital, including: the concept, history of studies, education as a form of human capital, issues and caveats, and role in growth theory. The study ends with the current focus of human capital research. The Concept of Human Capital Human capital is the ""know how"" of the work force that increases the productivity of each worker. The theory of human capital is that investments can be made in human beings, as well as in physical capital, which yield a future stream of returns or dividends to the initial investment. Investment in human capital has been one of the major sources of growth in modern economies during the past century. The process of investing in human capital normally takes a much longer time period than physical capital. Most often it takes approximately eighteen years of formal education. In addition, there are shorter investments in human capital over the lifetime of the individual that can include additional formal education, on-the-job training, informal education, life experiences, and learning by doing.1 Human capital formation is both a macroeconomic and microeconomic issue; it is a microeconomic decision with macroeconomic consequences. At the macro level, because it is assumed that genetic endowments (such as intelligence) are normally distributed in large samples, aggregate genetic endowments will be","An overview of the research on human capital, including: the concept, history of studies, education as a form of human capital as discussed by the authors, issues and caveats, and role in growth theory."
"Human Capital Concepts","https://scispace.com/paper/human-capital-concepts-1jk8ngb4sv","1987","Book Chapter","","M. Woodhall","10.1016/B978-0-08-033379-3.50011-5","","Publisher Summary The concept of human capital refers to the fact that human beings invest in themselves, by the means of education, training, or other activities, which raises their future income by increasing their lifetime earnings. The term investment refers to expenditure on assets that will produce income in the future and contrast investment expenditure with consumption, which produces immediate satisfaction or benefits but does not create future income. It is possible to measure the profitability of investment in human capital using the same techniques of cost benefit analysis and investment appraisal that have been traditionally applied to physical capital. The profitability, or rate of return on investment, is a measure of the expected yield of the investment, in terms of the future benefits or income stream generated by the capital compared with the cost of acquiring the capital asset. Explanations of the concept of human capital suggest that education or training raised the productivity of workers. Migration, as well as health care, can all increase earning capacity, and can therefore be regarded as investment in human capital.","The concept of human capital refers to the fact that human beings invest in themselves, by the means of education, training, or other activities, which raises their future income by increasing their lifetime earnings."
"An exploration of human capital theory and its effects on the world of education","https://scispace.com/paper/an-exploration-of-human-capital-theory-and-its-effects-on-fi4cm7j2z6","2020","Book Chapter","","Halil Buyruk","10.4324/9780429020933-6","","Human Capital Theory (HCT) plays an important part in the effects the economy has on education and in describing the economic role of education. According to HCT, individuals acquire knowledge and skills called human capital through a number of activities, mainly through education and training. This chapter describes the historical development of HCT in general terms and looks at some criticisms concerning the theory. It focuses on the role HCT plays in the economisation of education. The chapter explains the contemporary role of HCT and its effects on educational policies along with the roles of global actors. Several criticisms directed to HCT are available. Some alternative approaches call attention to missing elements of the theory, whereas others criticise HCT more radically. HCT also determines the way individuals who are to receive education should behave. According to the basic argument of HCT, individuals make calculations of benefit-cost.","Human Capital Theory (HCT) plays an important part in the effects the economy has on education and in describing the economic role of education as mentioned in this paper, where individuals acquire knowledge and skills called human capital through a number of activities mainly through education and training."
"Comparison and Implications of Human Capital Theory at the Individual, Organization, and Country Levels","https://scispace.com/paper/comparison-and-implications-of-human-capital-theory-at-the-38o560l1qo","2014","Journal Article","Journal of Organizational Culture, Communications and Conflict","Seong-O. Bae
Louise Patterson","","","INTRODUCTION According to human capital theory, education level is positively correlated with income. It specifies a particular mechanism by which education increases skills; in turn, acquired skills increase productivity, resulting in higher productivity being rewarded through higher earnings (Becker, 1993). It shows a positive correlation between age and earnings whereby older workers earn more because they have more on-the-job experience or training. Education and on-the-job training are said to make workers more productive and they are paid more because of their increased productivity. On-the-job training can provide general human capital (i.e., skills and knowledge transferable to other firm settings) or specific human capital (i.e., skills and knowledge only useful in the particular firm) (Becker 1993). The notion of human capital theory provides us with important insight about the relationship between education and earnings and the factors related to education and earnings (e.g., age, type of training, costs, labor markets, etc.). Based on these insights, we can classify three implications of human capital theory at the individual, organization, and country levels. At the individual level, human capital theory explains basically a supply-side theory, which analyzes individual data consisting of the supply-side of the labor market. At the organization level, demand-side theory takes into account the analysis of firm related phenomena (e.g., productivity, investment, turnover, etc.). There is a comprehensive perspective at the country level, where both supply- and demand-side theory should be equally considered in national policy making. With respect to individuals, understanding of human capital theory can increase their investment motivation and decrease failure in the labor market. For human resource development professionals, a more economic view of training and development is required to apply investment activities and gain benefits with a minimal investment risk. With regards to government policy makers, implementing human capital theory provides a wider scope for considering the extent to which policies, such as education reform, government training policy, equal employment opportunity legislation, affirmative action, and pay equity arrangements, can provide a more efficient and equitable use of human resources. The purpose of this paper is to present human resource development professionals with information about significant factors related to human capital investment. It will help human resource development professionals understand what considerations they should make before investing in human capital. Based on a perspective of the individual, organization, or country, human resource development professionals may react differently in human capital investment. This paper will present the differences between three perspectives in human capital investment that are necessary to make good investment decisions. To achieve this purpose, the paper includes two challenges to human capital theory. First, it will theorize the basic frameworks of human capital to provide a theoretical foundation for further analysis in human capital investment. Secondly, it will identify considerable factors in human capital investment related to three levels of perspective--individual, organization, and country. At the same time, it will present how human capital theory can be applied in an investment decision for the three respective levels. THEORETICAL FRAMEWORKS OF HUMAN CAPITAL THEORY Becker (1962) introduced the basic notion of human capital. He states that the theory of human capital can be defined as skills acquisition, and that skills acquisition can be achieved through education and training. Education is the most important way to obtain human capital, and training is another important method to invest in human capital. For example, individuals invest in human capital by spending their money (e. …","In this article, the authors classified three implications of human capital theory at the individual, organization, and country levels, and presented the differences between three perspectives in human capital investment that are necessary to make good investment decisions."
"Conceptual foundations of human capital","https://scispace.com/paper/conceptual-foundations-of-human-capital-4c2xmf9ss9","2024","Journal Article","Russian Journal of Management","Khamit Dusaev
А. Х. Дусаева","10.29039/2409-6024-2024-12-1-13-27","","The article provides various definitions and interpretations of the concept of human capital by domestic and foreign researchers. The chronology of the development of the theory of human capital is revealed. The contribution and significant scientific works of foreign and domestic economists-researchers of human capital problems are analyzed. The features and justification of various concepts in the study of the theory of human capital are presented: ""income function"", the concept of ""overtaking"", ""earnings function"", the new economic theory of the family. The structure, types, components of human capital, investments in human capital, characteristics of the human development index are presented. The competence-based approach in education and its features, investments in human capital as the basis for the development of competitiveness of economic entities and the national economy are substantiated. ","The article explores the conceptual foundations of human capital theory, presenting various definitions, interpretations, and concepts. It analyzes contributions of foreign and domestic economists, discusses the structure and components of human capital, and highlights the importance of investments in human capital for economic competitiveness."
"A Discussion of some Applications of Human Capital Theory to Military Manpower Issues","https://scispace.com/paper/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14","1976","","","Mark J. Albrecht","","https://scispace.com/pdf/a-discussion-of-some-applications-of-human-capital-theory-to-rudoizmw14.pdf",": Since its inception, human capital theory has found a natural subject in the military. Because of its substantial investments in training, its host of essentially nontransferable skills and its unique labor contracts, the military establishment has, indeed, been a conspicuous case for application of human capital principles for policy purposes. In his seminal work, Human Capital Theory, G. S. Becker summarized the military manpower situation from a human capital point of view, thusly, 'the military is a clear example of an organization which pays at least part of training costs and does not pay market wages to skilled personnel.' Implicit in this view is the prediction that the military will have an abundance of 'students' and heavy losses of 'graduates.' When Becker provided this insightful assessment, however, the draft and draft-induced enlistments ensured an essentially infinite supply of manpower at below comparable market wage rate and at constant cost. If one, then assumes a non-infinite marginal rate of substitution between first-term and career personnel, the policy problems of procurement, utilization, and retention could be conveniently consolidated into a single policy variable, namely, yearly draft requirements. With the advent of the all-volunteer force in 1972 and the increasing technological nature of military specialties in the mid-sixties, however, massive low cost labor supply and manageable marginal rates of substitution between first-timers and careerists for technical specialties no longer existed and, consequently, the policy issues of procurement, training, and retention could no longer be addressed by a single policy variable, and therefore, new policy requirements were generated.","In this paper, a human capital theory has been applied to the military, and the authors assume a non-infinite marginal rate of substitution between first-term and career personnel, and assume that the policy problems of procurement, utilization, and retention can be conveniently consolidated into a single policy variable, namely, yearly draft requirements."
