"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The polity of implementation: Organizational and institutional arrangements in policy implementation","https://scispace.com/paper/the-polity-of-implementation-organizational-and-1j56uw1l","2022","Journal Article","Governance","Fritz Sager
Anat Gofen","10.1111/gove.12677","https://scispace.com/pdf/the-polity-of-implementation-organizational-and-1j56uw1l.pdf","Policy implementation is a formative stage of the policy process. It determines policy's form and effect while also lying at the intersection of politics, policy, and the public. Policy implementation takes place within a given institutional setting and requires specific structure and organization to conduct it both of which allocate decision power and mint specific roles in the implementation process. Nevertheless, current implementation literature tends to overlook implementation arrangements as structures influencing, and influenced by, power. This special issue draws on various aspects of implementation arrangements to demonstrate the significant, yet underexplored, polity of implementation. To do so, this introduction begins by reviewing the conceptual frameworks available in the current implementation scholarship. This is followed by a discussion of the special issue's seven contributions. Finally, the conclusion proposes recommendations for conducting future research on the polity of implementation. ","In this paper , the authors present a review of the conceptual frameworks available in the current implementation scholarship and make recommendations for conducting future research on the polity of the implementation process and its polarity."
"Efektivitas Implementasi Kebijakan Publik dalam Mewujudkan Pelayanan Publik yang Responsif: Tinjauan Teoritis dan Empiris","https://scispace.com/paper/efektivitas-implementasi-kebijakan-publik-dalam-mewujudkan-1cjmakpdkcnr","2025","Journal Article","Jurnal Riset Rumpun Ilmu Sosial, Politik dan Humaniora","Addawiyah Addawiyah
Lolita Febrian
Nurul Fadillah","10.55606/jurrish.v4i1.4438","","This study aims to analyze the effectiveness of public policy implementation in realizing responsive public services with a literature review approach. The focus of the study is directed at conceptual understanding of the dimensions of policy effectiveness, the characteristics of responsive public services, the relationship between policy and service quality, and implementation challenges in the field. The method used is a descriptive qualitative method based on literature studies from various theoretical and empirical sources. The results of the study show that the effectiveness of implementation is highly correlated with the quality of public services, where factors such as resources, inter-agency coordination, and community involvement are the main keys to success. Bureaucratic reform strategies, capacity building of apparatus, and open and adaptive governance are needed to realize public services that truly answer the needs of the community. ","This study examines the effectiveness of public policy implementation in achieving responsive public services, identifying key factors such as resources, coordination, and community involvement, and highlighting the need for bureaucratic reform and capacity building."
"Improving the efficiency of public service through strategic human capital management: a comprehensive review of the literature","https://scispace.com/paper/improving-the-efficiency-of-public-service-through-strategic-6dnccm92b6ur","2024","Journal Article","Статистика, учет и аудит","D. Fazylzhan","10.51579/1563-2415.2024.-3.05","","The article provides an overview of the literature on human capital management in the public sector with an emphasis on theoretical foundations, modern practices and problems. Human capital management is critical for the effectiveness of government organizations. The main theories are the resource-based approach and the theory of human capital, which emphasize the importance of staff development. Literature analysis identifies key practices such as technology adoption, training programs, and strategic alignment of reward systems, as well as problems in their implementation, including bureaucratic resistance and financial constraints. The article highlights the importance of strategic human capital management for the success of the public sector and suggests directions for future research. ","This comprehensive review of public sector human capital management literature highlights the importance of strategic management for government effectiveness, identifying key practices and problems, and suggesting future research directions to improve public service efficiency."
"Sobre implementação de políticas públicas: uma revisão sistemática da literatura e agenda de pesquisas","https://scispace.com/paper/sobre-implementacao-de-politicas-publicas-uma-revisao-1mldl8ob","2022","Journal Article","Sociedade E Estado","Jéssica Celestino Ferreira Sousa
Leonardo Ferreira Batista
Diogo Henrique Helal","10.1590/s0102-6992-202237020004","https://scispace.com/pdf/sobre-implementacao-de-politicas-publicas-uma-revisao-1mldl8ob.pdf","Resumo Estudos sobre implementação de políticas públicas têm buscado melhores formas de compreender as falhas e a própria realidade desse processo. A partir de uma revisão sistemática da literatura, que contou com análise bibliométrica, este artigo aponta a historiografia e as frentes de pesquisa sobre a temática e analisa a autoria e as redes de cocitação de autores. Posteriormente, uma metanálise das publicações que compõem o portfólio teórico final (construído por meio do ano de publicação, número de citações e fator de impacto dos periódicos) apresenta as perspectivas e os modelos teóricos prevalentes, os resultados empíricos e as lacunas de cada trabalho. Resultados apontam que temas como governança, desenvolvimento sustentável, e-government, street-level bureaucracy (burocracia de nível de rua), políticas de saúde e descentralização dos processos da administração pública trazem um cenário de pesquisas relevantes para teorizações e aplicações empíricas das discussões do campo. Por fim, apresenta-se uma agenda de pesquisa futura.","In this article , a revisão sistemática da literatura, which contou com análise bibliométrica, aponta a historiografia and as frentes de pesquisa sobre a temátic and analisa a autoria and as redes de cocitação de autores."
"The Public Sector: Concepts, Models and Approaches","https://scispace.com/paper/the-public-sector-concepts-models-and-approaches-3w0w7lnzin","1993","Book","","Jan-Erik Lane","","","Introduction Public Institutions and Interests Demarcation of the Public Sector Concepts of Bureaucracy Public Policy Models Implementation Models Models of Public Regulation The Logic of Public Sector Reform Public Management, Leadership and Privatization The Management State versus the Administrative State The Public Choice Approach The New Institutionalism Efficiency, Effectiveness and Evaluation Institutions and Efficiency in the Public Sector Ethics and Normative Policy Models New Public Management The Basic Ideas Conclusion What Are the Policy Sciences?","In this article, the authors define the public institutions and interests of the public sector and delineate public sector concepts of Bureaucracy, including the Management State versus the Administrative State, the Public Choice Approach and the New Institutionalism."
"Human Capital Deployment and Organizational Efficiency: A ‎Cross-National Benchmarking Analysis of Global Workforce Distribution Patterns","https://scispace.com/paper/human-capital-deployment-and-organizational-efficiency-a-hzpf9c3vitnw","2025","Journal Article","International Journal of Accounting and Economics Studies","Ayse İlgün Kamanli
Yavuz Selim Balcıoğlu","10.14419/8tfrn889","","The research examines human capital deployment strategies between different organizational sizes and geographic locations by analyzing ‎workforce distribution patterns across 8,395 global companies. The study uses Resource-Based View and Human Capital Theory ‎and Strategic Human Resource Management to analyze human capital as both a cost center and performance driver. The study incorporates ‎Institutional Theory and Contingency Theory , and Dynamic Capabilities to understand organizational adaptability and contextual influences. The research uses a quantitative cross-sectional design to study the connections between workforce size and market capitalization ‎and geographic origin, and sectoral distribution. The research demonstrates major differences in human capital efficiency between different ‎organizational sizes and geographic areas, and industrial sectors, which proves that standardized HR strategies are insufficient ‎and organizations need customized workforce scaling methods. The research advances human capital economics theory while providing practical guidance for global HR benchmarking and strategic workforce design‎. ","This study examines human capital deployment strategies across 8,395 global companies, revealing differences in efficiency between organizational sizes, geographic areas, and sectors, highlighting the need for customized workforce scaling methods."
"Systems approaches to public service delivery: methods and frameworks","https://scispace.com/paper/systems-approaches-to-public-service-delivery-methods-and-2g6orep9wm","2023","Journal Article","Journal of Public Policy","Zahra Mansoor
Martin J. Williams","10.1017/s0143814x23000405","https://scispace.compdf/systems-approaches-to-public-service-delivery-methods-and-2g6orep9wm.pdf","
 Researchers and practitioners are increasingly embracing systems approaches to deal with the complexity of public service delivery and policy evaluation. However, there is little agreement on what exactly constitutes a systems approach, conceptually or methodologically. We review and critically synthesize systems literature from the fields of health, education, and infrastructure. We argue that the common theoretical core of systems approaches is the idea that multi-dimensional complementarities between a policy and other aspects of the policy context are the first-order problem of policy design and evaluation. We distinguish between macro-systems approaches, which focus on the collective coherence of a set of policies or institutions, and micro-systems approaches, which focus on how a single policy interacts with the context in which it operates. We develop a typology of micro-systems approaches and discuss their relationship to standard impact evaluation methods as well as to work in external validity, implementation science, and complexity theory.","Systems approaches to public service delivery involve multi-dimensional complementarities between a policy and other aspects of the policy context."
"Human Capital Development and Asset Optimization: A Conceptual Framework for Reducing Asset Mismanagement","https://scispace.com/paper/human-capital-development-and-asset-optimization-a-126ewfu5e9kl","2025","Journal Article","International Journal of Academic Research in Progressive Education and Development","Susana Santy
Putri Firdiah Karim
Guntur Noerman Sanjaya
Norziana Lokman
Fazlida Mohd Razali","10.6007/ijarped/v14-i3/26619","","Asset mismanagement has been identified as a critical governance challenge across both public and private institutions worldwide, resulting in significant financial losses, inefficiencies, and reputational damage. This conceptual paper explores the role of human capital development in mitigating asset mismanagement through a framework that integrates capacity building, ethical leadership, and optimization strategies. Drawing upon global evidence, the paper argues that asset mismanagement is not merely a technical issue of systems and procedures but fundamentally a human issue linked to skill gaps, weak accountability, and organisational culture. The proposed conceptual framework emphasizes the integration of human capital strategies, including training, talent management, and governance awareness, with asset optimization approaches such as lifecycle management, digitalization, and performance measurement. By linking these elements, the paper offers a pathway to reducing mismanagement risks and enhancing sustainable institutional performance. ","This conceptual paper proposes a framework integrating human capital development and asset optimization to mitigate asset mismanagement, highlighting the role of capacity building, ethical leadership, and skill gaps in reducing financial losses and reputational damage."
"Teoría general de sistemas: un enfoque estratégico para la planificación institucional","https://scispace.com/paper/teoria-general-de-sistemas-un-enfoque-estrategico-para-la-17d6wo5vga","2024","Journal Article","Revista Venezolana De Gerencia","Francisco Javier Andrade Domínguez
Juan Carlos Alarcón Gavilanes
Xavier Fernando Ortega Haro
José Luis González Márquez","10.52080/rvgluz.29.105.24","","El propósito de este estudio es realizar un análisis crítico de los sistemas de planificación desde la perspectiva de la Teoría General de Sistemas (TGS) y su aplicación interdisciplinaria hacia enfoques estratégicos de la planificación institucional. Se emplea una metodología de tipo cuantitativa y cualitativa; para ello, se lleva a cabo un análisis clúster sobre un conjunto de variables representativas de las distintas dimensiones de los sistemas. Los resultados se respaldan en la validez del coeficiente de competencia para la elaboración de un esquema lógico y secuencial, fundamentado en la revisión de literatura especializada. Esta revisión se organiza en subcategorías mediante la utilización de un dendograma de variables, estableciendo relaciones entre los diferentes conceptos de la teoría de sistemas. Se resalta la viabilidad del diseño e implementación de sistemas, tanto en entornos naturales como artificiales. El análisis concluye, que, en el contexto de las organizaciones públicas, la planificación se ve inevitablemente influenciada por su entorno estratégico y operativo.","La teoría general de sistemas ofrece un enfoque estratégico para la planificación institucional, permitiendo la integración de variables de diferentes dimensiones en un esquema lógico y secuencial."
"Public Management","https://scispace.com/paper/public-management-zbbhmt7rygxx","","","","Laurence J. O'Toole, Jr
Kenneth J. Meier","10.1017/cbo9780511784040","","How effective are public managers as they seek to influence how public organizations deliver policy results? How, and how much, is management related to the performance of public programs? What aspects of management can be distinguished? Can their separable contributions to performance be estimated? The fate of public policies in today's world lies in the hands of public organizations, which in turn are often intertwined with others in latticed patterns of governance. Collectively, these organizations are expected to generate performance in terms of policy outputs and outcomes. In this book, two award-winning researchers investigate the effectiveness of management in the public sector. Firstly, they develop a systematic theory on how effective public managers are in shaping policy results. The rest of the book then tests this theory against a wide range of evidence, including a data set of 1,000 public organizations.","This book investigates the effectiveness of public managers in shaping policy results, developing a systematic theory and testing it against a dataset of 1,000 public organizations to understand management's separable contributions to performance in the public sector."
"Understanding Policy Implementation Processes as Self-Organizing Systems","https://scispace.com/paper/understanding-policy-implementation-processes-as-self-2ei5efel9j","2008","Journal Article","Public Management Review","Michael J.R. Butler
Peter M. Allen","10.1080/14719030802002923","https://scispace.com/pdf/understanding-policy-implementation-processes-as-self-2ei5efel9j.pdf","Implementation studies and related research in organizational theory can be enhanced by drawing on the field of complex systems to understand better and, as a consequence, more successfully manage change. This article reinterprets data previously published in the British Journal of Management to reveal a new contribution, that policy implementation processes should be understood as a self-organizing system in which adaptive abilities are extremely important for stakeholders. In other words, national policy is reinterpreted at the local level, with each local organization uniquely mixing elements of national policy with their own requirements making policy implementation unpredictable and more sketchy. The original article explained different paces and directions of change in terms of traditional management processes: leadership, politics, implementation and vision. By reinterpreting the data, it is possible to reveal that deeper level processes, which are more emergent, are also at work influencing change, which the authors label possibility space. Implications for theory, policy and practice are identified.","In this article, the authors reinterpreted policy implementation processes as a self-organizing system in which adaptive abilities are extremely important for stakeholders, with each local organization uniquely mixing elements of national policy with their own requirements making policy implementation unpredictable and sketchy."
"Network Theory in the Public Sector : Building New Theoretical Frameworks","https://scispace.com/paper/network-theory-in-the-public-sector-building-new-theoretical-28qt7k7j02","2014","Monograph","","Robyn L Keast
Myrna Mandell
Robert Agranoff","10.4324/9780203752562","","Part 1. Introduction to the Issues/Current Network Theories 1. Introduction: Understanding Theory Myrna P. Mandell 2. Network Theory Tracks and Trajectories: Where From, Where To? Robyn Keast Part 2. New Theoretical Frameworks: Informing Design, Governance Arrangements and Management 3. A Composite Theory of Leadership and Management: Process Catalyst and Strategic Leveraging-Theory of Deliberate Action in Collaborative Networks Robyn Keast and Myrna P. Mandell 4. Building and Using the Theory of Collaborative Advantage Siv Vangen and Chris Huxham 5. The Democratic Potentials of Governance Networks in Inter- Governmental Decision Making Eva Sorensen 6. Governance Network Performance: A Complex Adaptive Systems Approach Christopher Koliba 7. Governing Through Networks: A Systemic Approach Deborah Rice 8. Network Management Theory through Management Channels and Roles Joris Voets Part 3. Putting Theory into Practice 9. Network Management Behaviors: Closing the Theoretical Gap Robert Agranoff and Michael McGuire 10. What Can Governance Network Theory Learn From Complexity Theory? Mirroring Two Perspectives on Complexity Joop Koppenjan and Erik-Hans Klijn 11. Network Performance: Towards A Dynamic Multidimensional Model Denita Cepiku Part 4. Implications and Conclusion 12. Bridging the Theoretical Gap and Uncovering the Missing Holes Robert Agranoff","This chapter discusses Governance Network Theory as a Composite Theory of Leadership and Management: Process Catalyst and Strategic Leveraging-Theory of Deliberate Action in Collaborative Networks, and two Perspectives on Complexity Theory."
"Why Institutions Matter: Analysis of Their Significance in Shaping Economic, Environmental, And Policy Transformation","https://scispace.com/paper/why-institutions-matter-analysis-of-their-significance-in-4svmiktslc","2024","Journal Article","Journal of Social and Policy Issues","Kwadwo Yeboah Botah","10.58835/jspi.v4i2.246","","The role of institutions in shaping societal systems and responding to complex global challenges has gained increased attention in recent decades. Institutions have functioned to shape the development and sustainability of society. Nevertheless, numerous institutionally-led challenges that restrict and alter sustainability and development across various aspects of society have also emerged. While institutional importance is widespread, their relationship with development is debated and contested. Through a systematic review approach, this paper explores the concept of institutions to understand whether they matter for development and examine their relevance within economic, policy, and environmental structures. The study indicates that indeed institutions play a significant role in accelerating economic, policy, and environmental growth across space and time. It demonstrates how it drives policy cycles, fosters economic progress, and shapes environmental transition. The study reveals that institutions create order, facilitate innovation, drive market transactions, and environmental security by mitigating conflicts, enforcing regulations, enhancing cooperation, ensuring the distribution of resources, and promoting sustainable ecological guidelines. However, complexities in their functions, structures, and adaptation exist, which can stimulate instabilities, stagnation, and decline in societal progression. Achieving enhanced institutional capacity toward societal development and progress thus requires unwavering political commitment, innovative actions, and coordinated decision-making. ","This study examines the significance of institutions in shaping economic, policy, and environmental growth, finding that they play a crucial role in driving progress, fostering innovation, and promoting sustainability, but also highlights complexities and challenges in their functions and structures."
"Die Theorie der institutionellen Rollenmodelle als Grundlagentheorie für Transformationsprozesse in Organisationen","https://scispace.com/paper/die-theorie-der-institutionellen-rollenmodelle-als-wj46gozbz0","2021","Book Chapter","","Wolfgang H. Schulz
Oliver Franck
Stanley Smolka","10.1007/978-3-662-62148-6_5","","Die Theorie der institutionellen Rollenmodelle (IRM) ist ein dynamisches Organisationsmodell, welches zwei Ziele verfolgt. Einerseits die Reduzierung von Unsicherheiten fur alle beteiligten Akteure und andererseits die Entwicklung eines Vertrauensverhaltnisses, die Etablierung einer diskriminierungsfreien Kooperationsdynamik und die Verfolgung gemeinsamer Interessen. Das IRM bedient sich aus drei unterschiedlichen Disziplinen: Die Institutionenokonomik, die Systemtheorie sowie die Systemdynamik. Die Vernetzung dieser drei Disziplinen fuhrt unweigerlich zu einem komplexen Gebilde, das jedoch zwingend notwendig ist, um die Systemkomplexitat der zu untersuchenden Organisation adaquat erfassen zu konnen. Zu den grundlegenden Bestandteilen des Modells gehoren die Elemente: „Rollen und Funktionen“, „Akteure“ und „Regeln“. Diese drei Elemente werden anhand einer Zahlenkodierung bewertet und in die algorithmische Kalkulation einbezogen. Das aus den Kalkulationen resultierende Ergebnis bietet eine optimale Grundlage, um ein Organisationssystem effektiv, effizient und diskriminierungsfrei zu strukturieren. Dies ermoglicht Organisationen in den unterschiedlichsten Themengebieten ihr volles Potenzial auszuschopfen. Ziel dieses Beitrages ist die Anwendung der Theorie der Institutionellen Rollenmodelle auf die Themengebiete der Digitalisierung, der Kunstlichen Intelligenz, des maschinellen Lernens sowie der Innovationsforderung.","Theoretically, the institutionelle rollenmodelle (IRM) as mentioned in this paper is a dynamisches Organisationsmodell, which consists of three main components: the Institutionenokonomik, the Systemtheorie, and the Systemdynamik."
"From Idea to Action Notes for a Contingency Theory of the Policy Implementation Process","https://scispace.com/paper/from-idea-to-action-notes-for-a-contingency-theory-of-the-2o89y7po03","1985","Journal Article","Administration & Society","Ernest R. Alexander","10.1177/009539978501600402","","Implementation studies appearing since 1973 show a disappointing lack of convergence that may be due to different, often implicit, conceptualizations of implementation. They range from ""classical"" linear models linking policy or statute with execution to ""circular, "" ""adaptive, "" or ""evolutionary"" concepts that envisage a more dynamic interaction between the making and implementation of policy. It is suggested that the wide range of possible situations calls for a contingent theory linking policy to implementation. Such a theory demands a conceptual model that is abstract enough to accommodate diversity and to recognize that failure to implement policies or programs is not an aberration. A model is presented that meets these specifications: the Policy-Program-Implementation Process (PPIP) model, which can serve as a conceptual framework for developing contingent theories of policy implementation in the future.","A model is presented: the Policy-Program-Implementation Process (PPIP) model, which can serve as a conceptual framework for developing contingent theories of policy implementation in the future."
"Rethinking Governance Capacity As Organizational and Systemic Resources","https://scispace.com/paper/rethinking-governance-capacity-as-organizational-and-x5wz8kwbww","2016","Journal Article","Social Science Research Network","M. Ramesh
Kidjie Saguin
Michael Howlett
Michael Howlett
Xun Wu","10.2139/SSRN.2802438","https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2802438_code1292821.pdf?abstractid=2802438&mirid=1&type=2","This paper proposes to integrate disparate notions of governance capacity by adopting a resource-based view of capacity. Governance capacity can be defined as the set of organizational and systemic resources necessary to make sound policy choices and implement them effectively. Adopting this definition allows for a more nuanced conceptualization of capacity as comprised of three essential dimensions – analytical, operational and political. In order to operationalize this resource-based definition, we identified a fundamental set of resources that are institutionalized, mission-critical and promotive of dynamic learning since not all resources can form part of capacity. This set of resources can easily be evaluated using secondary data at the policy sub-system level but no equivalent tool exists to analyze organizational capacities. To address this gap, we developed a survey instrument to measure the multi-dimensional nature of organizational policy capacity.","In this article, the authors propose to integrate disparate notions of governance capacity by adopting a resource-based view of capacity, which can be defined as the set of organizational and systemic resources necessary to make sound policy choices and implement them effectively."
"Organizational Capacity","https://scispace.com/paper/organizational-capacity-zg3k4qrxh4z2","","","","Michael M. Ting","10.1093/jleo/ewp021","","Organizational capacity is critical to the effective implementation of policy. Consequently, strategic legislators and bureaucrats must take capacity into account in designing programs. This article develops a theory of endogenous organizational capacity. Capacity is modeled as an investment that affects a policy's subsequent quality or implementation level. The agency has an advantage in providing capacity investments and may therefore constrain the legislature's policy choices. A key variable is whether investments can be ""targeted"" toward specific policies. If it cannot, then implementation levels decrease with the divergence in the players' ideal points and policy-making authority may be delegated to encourage investment. If investment can be targeted, then implementation levels increase with the divergence of ideal points if the agency is sufficiently professionalized, and no delegation occurs. In this case, the agency captures more benefits from its investment, and capacity is higher. The agency therefore prefers policy-specific technology. (JEL D72, D73)","This article develops a theory of endogenous organizational capacity, modeling it as an investment affecting policy quality or implementation level, and explores how agency capacity investments interact with legislative policy choices and authority delegation."
"From “New Institutionalism” to “Institutional Processualism”: Advancing Knowledge about Public Management Policy Change","https://scispace.com/paper/from-new-institutionalism-to-institutional-processualism-3gillzhyme","2006","Journal Article","Governance","Michael Barzelay
Raquel Gallego","10.1111/J.1468-0491.2006.00339.X","","Research on public management reform has taken a decidedly disciplinary turn. Since the late 1990s, analytical issues are less often framed in terms of the New Public Management. As part of the disciplinary turn, much recent research on public management reform is highly influenced by the three new institutionalisms. However, these studies have implicitly been challenged by a competing research program on public management reform that is emphatically processual in its theoretical foundations. This article develops the challenge in a more explicit fashion. It provides a theoretical restatement of the competing “institutional processualist” research program and compares its substantive findings with those drawn from the neoinstitutionalisms. The implications of this debate about public management reform for comparative historical analysis and neoinstitutional theories are discussed.","The authors provide a theoretical restatement of the competing ""institutional processualist"" research program and compare its substantive findings with those drawn from the neoinstitutionalisms. But they do not discuss the implications of this debate about public management reform for comparative historical analysis and neo-institutional theories."
"Thresholds Are Everywhere: A Systems Approach to Public Policy","https://scispace.com/paper/thresholds-are-everywhere-a-systems-approach-to-public-tqotb9zyzx","2019","Journal Article","Bar. Brazilian Administration Review","Hamilton Coimbra Carvalho
Giuliana Isabella
José Afonso Mazzon","10.1590/1807-7692BAR2019180106","https://scispace.com/pdf/thresholds-are-everywhere-a-systems-approach-to-public-tqotb9zyzx.pdf","The analysis of public policies often fails to account for effects beyond mere cost-benefit analysis. Incorporating elements from the literature on system dynamics, complexity and legitimacy, the present paper develops a framework to understand long-term effects and important constraints for public policies. We call it the thresholds framework, considering the existence of different thresholds in the life of a policy. The framework relies on the application of conceptual lenses to understand essential aspects of the social reality. Using the proposed conceptual repertoire, the paper applies the framework to a specific policy, the Brazilian Worker Food Program (WFP), which currently benefits around 20 million employees working for 250,000 companies in Brazil. The thresholds framework incorporates legitimacy and complexity issues and it is sufficiently flexible for the pursuit of different strategies of inquiry. It may be used to guide the design of business programs in dynamic contexts, such as the ones found in modern social cause environments.","In this paper, the authors developed a framework to understand long-term effects and important constraints for public policies, called the thresholds framework, considering the existence of different thresholds in the life of a policy."
"Thresholds Are Everywhere: A Systems Approach to Public Policy","https://scispace.com/paper/thresholds-are-everywhere-a-systems-approach-to-public-36jvx17ywf","2019","Dataset","","Hamilton Coimbra Carvalho
Giuliana Isabella
José Afonso Mazzon","10.6084/m9.figshare.9696788","","Abstract The analysis of public policies often fails to account for effects beyond mere cost-benefit analysis. Incorporating elements from the literature on system dynamics, complexity and legitimacy, the present paper develops a framework to understand long-term effects and important constraints for public policies. We call it the thresholds framework, considering the existence of different thresholds in the life of a policy. The framework relies on the application of conceptual lenses to understand essential aspects of the social reality. Using the proposed conceptual repertoire, the paper applies the framework to a specific policy, the Brazilian Worker Food Program (WFP), which currently benefits around 20 million employees working for 250,000 companies in Brazil. The thresholds framework incorporates legitimacy and complexity issues and it is sufficiently flexible for the pursuit of different strategies of inquiry. It may be used to guide the design of business programs in dynamic contexts, such as the ones found in modern social cause environments. ","The thresholds framework is a systems approach to public policy that incorporates legitimacy and complexity issues. It is designed to understand long-term effects and important constraints for public policies."
"Efficiency of Public Sector Organizations: Perspectives from Theories of Bureaucracy","https://scispace.com/paper/efficiency-of-public-sector-organizations-perspectives-from-5bkq4atxld","2013","Journal Article","Journal of Advanced Research in Law and Economics","Taptuk Emre Erkoc","","https://mpra.ub.uni-muenchen.de/49386/1/MPRA_paper_49386.pdf","Economic insights on the provision of public goods and services by public sector organizations went hand in hand with probing questions on the efficient allocation of resources within them concerning neo-classical assumptions on the theory of firm (Coase, 1937; Alchian and Demsetz, 1972). The rationale behind the unprecedented divergences from the neo-classical firm postulations on the basis of not-to-operate at the efficient production frontier has attracted attentions of researchers working not only on the private firms but also on the public sector. This paper investigates theoretical underpinnings of efficient allocation of resources within public sector organizations on the basis of a variety of arguments. Before examining the (in) efficient usage of resources in the public sector that is mostly based on the theory of bureaucracy, methodological and practical challenges to measure the efficiency performances of public intuitions are visited. Subsequently, institutional framework on the public provision of goods and services is scrutinised referring particularly to the discussion on incentive schemes and efficiency.","In this article, the authors investigated theoretical underpinnings of efficient allocation of resources within public sector organizations on the basis of a variety of arguments, including the theory of bureaucracy, methodological and practical challenges to measure the efficiency performances of public intuitions."
