"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Mandela Rules: New Standards for the Human Rights of Prisoners","https://scispace.com/paper/the-mandela-rules-new-standards-for-the-human-rights-of-22a1k46dgo","2019","","","Li Hailing","10.11648/J.ASH.20180406.13","https://article.sciencepublishinggroup.com/pdf/10.11648.j.ash.20180406.13.pdf","The Standard Minimum Rules for the Treatment of Prisoners were adopted in 1955 by the First United Nations Congress on the Prevention of Crime and the Treatment of Offenders. Though they are not of legally binding nature, they have remained an important reference for criminal legislation and judicial reform in various countries in the past fifty years. Fifty years later, on October 7, 2015, the new Standard Minimum Rules for the Treatment of Prisoners, known as the Mandela Rules, were officially introduced, which revised the old Rules from nine aspects. The aim of the study is to provide accurate reference for countries to improve their domestic laws with reference to the changes in prisoners’ human rights standards reflected in the revised contents of the Standard Minimum Rules for the Treatment of Prisoners after fifty years. The method adopted in the study is the text analysis method and historical research method. The study analyzes their historical progress by comparing the content and different historical backgrounds of the two texts. Thus, it can be concluded that the revision of human rights standards in the new Standard Minimum Rules for the Treatment of Prisoners known as the Mandela Rules has been summarized into four aspects: the emphasis and protection of the basic human rights of prisoners, the new changes in the prisoners’ rights protection mechanism, the major changes in the status of prison medical personnel, and the prudent use of disciplinary sanctions against prisoners. All countries should pay attention to the changes in these four aspects and make reforms and improvements keeping pace with the Times in accordance with their own national conditions when revising their domestic laws.","The Standard Minimum Rules for the Treatment of Prisoners, known as the Mandela Rules, were adopted in 1955 by the First United Nations Congress on the Prevention of Crime and the treatment of Offenders."
"Modernizing the Standard Minimum Rules for the Treatment of Prisoners – A Human Rights Perspective","https://scispace.com/paper/modernizing-the-standard-minimum-rules-for-the-treatment-of-3cwmqe8a33","2016","Journal Article","","Katrin Tiroch","10.1163/18757413-00190010","","While international human rights law provides a general framework of rights and safeguards for persons deprived of their liberty, the reality for them is often harsh. The Standard Minimum Rules for the Treatment of Prisoners are a key reference point in this context, setting forth global minimum standards and essential elements for the treatment of prisoners and the management of detention centers. However, having been adopted more than half a century ago, critics have pointed out that the Rules no longer reflect the changing nature and context of detention and practically outdate the evolution of the international system for the protection of human rights. Over the past few years, the Rules have undergone an extensive revision process with a view to addressing these deficiencies and modernizing the standards in this field. This contribution seeks to analyze the revision process and evaluate its outcome document from a human rights perspective.","The Standard Minimum Rules for the Treatment of Prisoners as discussed by the authors are a key reference point in this context, setting forth global minimum standards and essential elements for the treatment of prisoners and the management of detention centers."
"The United Nations Standard Minimum Rules for the Treatment of Prisoners (the Nelson Mandela Rules)","https://scispace.com/paper/the-united-nations-standard-minimum-rules-for-the-treatment-2aiog2idb4","2016","Book","","","10.18356/9789213589427","","The following rules are not intended to describe in detail a model system of penal institutions. They seek only, on the basis of the general consensus of contemporary thought and the essential elements of the most adequate systems of today, to set out what is generally accepted as being good principles and practice in the treatment of prisoners and prison management. ","The Nelson Mandela Rules provide general principles and practices for the treatment of prisoners and prison management."
"Standard Minimum Rules for the Treatment of Prisoners","https://scispace.com/paper/standard-minimum-rules-for-the-treatment-of-prisoners-2ff1esa2eq","2017","Book Chapter","","Tom Campbell
John Kleinig","10.4324/9781315089461-18","","The rules are not intended to describe in detail a model system of penal institutions. They seek only, on the basis of the general consensus of contemporary thought and the essential elements of the most adequate systems of today, to set out what is generally accepted as being good principle and practice in the treatment of prisoners and the management of institutions. The treatment of persons sentenced to imprisonment or a similar measure shall have as its purpose, so far as the length of the sentence permits, to establish in them the will to lead law-abiding and self-supporting lives after their release and to fit them to do so. The treatment will encourage their self-respect and develop their sense of responsibility. Where sleeping accommodation is in individual cells or rooms, each prisoner shall occupy by night a cell or room by himself.","The treatment of persons sentenced to imprisonment or a similar measure shall have as its purpose, so far as the length of the sentence permits, to establish in them the will to lead law-abiding and self-supporting lives after their release and to fit them to do so."
"Introductory note to the United Nations revised minimum rules for the treatment of prisoners (Nelson Mandela rules)","https://scispace.com/paper/introductory-note-to-the-united-nations-revised-minimum-34x9eyxo8v","2016","Journal Article","International legal materials","Kasey McCall-Smith","10.1017/S0020782900030898","https://scispace.com/pdf/introductory-note-to-the-united-nations-revised-minimum-34x9eyxo8v.pdf","Cognizant of Article 45(1) (c) of the African Charter, which mandates the Commission to cooperate with other African and international Institutions concerned with the promotion and protection of human and peoples’ rights; and the ‘Addis Ababa Road Map’ agreement between the special procedures of the United Nations Human Rights Council and the special mechanisms of the Commission,aimed at fostering cooperation between the two entities with the common objective to protect and promote human rights;","In this paper, the authors discuss the role of the African Human Rights Commission in the promotion and protection of human and peoples' rights in the context of the Addis Ababa Road Map agreement between the United Nations Human Rights Council and the special mechanisms of the Commission."
"The Implementation in Canada of the UN Standard Minimum Rules for the Treatment of Prisoners: A Practitioner’s Perspective","https://scispace.com/paper/the-implementation-in-canada-of-the-un-standard-minimum-149dtxs5u8","2021","Journal Article","Journal of Human Rights Practice","Victoria Prais","10.1093/JHUMAN/HUAB001","","\n This article provides a practitioner’s view of the extent to which the 1955 UN Standard Minimum Rules for the Treatment of Prisoners (SMRs) have been utilized in Canada. The author reviews how the SMRs are being used by national authorities, civil society organizations and criminal law practitioners in Canada and presents reflections as to how the SMRs could be better utilized to ensure that prisoners’ rights are protected in Canada. The SMRs, which, as revised in 2015, are often referred to as the Nelson Mandela Rules, are not in themselves binding upon states. However, they do carry weight: this is evidenced by the UN human rights bodies which have invoked the SMRs as a minimum universal standard in interpretations of binding international legal standards in their decisions and comments. Furthermore, the SMRs (traditionally classified as ‘soft law’) provide key stakeholders with useful and practical guidelines on all aspects of prisoners’ rights. This article argues that the SMRs are being utilized to a degree in Canada, but that there is room for improvement. Canada is, in general, rather insular in its application of soft law standards. The Canadian courts have ruled, for example, that the SMRs are not binding in the domestic context. Thus, within the context of litigation, compliance with the SMRs is a challenge. Furthermore, a lack of legal literacy and training in prisoners’ rights in general and in the SMRs more specifically is evident in Canada. The author’s view is that legal training on the SMRs for criminal law practitioners and the judiciary would be one significant step towards more effective utilization of the SMRs in Canada.","In this article, the authors provide a practitioner's view of the extent to which the 1955 UN Standard Minimum Rules for the Treatment of Prisoners (SMRs) have been utilized in Canada and present reflections on how the SMRs could be better utilized to ensure that prisoners' rights are protected in Canada."
"Impotence of Being Earnest: Status of the United Nations Standard Minimum Rules for the Treatment of Prisoners in Europe and the United States","https://scispace.com/paper/impotence-of-being-earnest-status-of-the-united-nations-4cmr8mk56p","2006","","","Sara A Rodriguez","","https://scispace.com/pdf/impotence-of-being-earnest-status-of-the-united-nations-4cmr8mk56p.pdf","The Standard Minimum Rules for the Treatment of Prisoners were approved with the most earnest of good intentions at the First United Nations Crime Congress in 1955, in an attempt to establish “what is generally accepted as being good principle and practice in the treatment of prisoners and the management of institutions.” In spite of their noble purpose, implementation of these rules has been somewhat of a disappointment. Europe has adopted the Standard Minimum Rules wholesale. The United States, by contrast, has declined to adopt a set of standards patterned after the Standard Minimum Rules, relying instead on pre-existing correctional standards bolstered by reforms resulting from prisoner civil rights litigation. This paper will review the status of the Standard Minimum Rules and, using Europe and the United States as examples, will demonstrate how these guidelines can be an important, and not an impotent, tool when implemented in connection with a domestic enforcement mechanism.","The Standard Minimum Rules for the Treatment of Prisoners (SMLR) as mentioned in this paper are a set of standards for the treatment of prisoners and the management of institutions in the United Nations."
"Правила Нельсона Манделы: Анализ обновленных стандартов обращения с заключенными","https://scispace.com/paper/pravila-nelsona-mandely-analiz-obnovlennykh-standartov-y9t96gh1h03w","","","","R.E. Jansaraeva
M.Sh. Kurmangali","10.26577/japj-2019-4-j13","","Аннотация. В статье анализируются Правила Нельсона Манделы в части обновленных стандартов обращения с заключенными. Новая редакция Правил была одобрена в 2015 году. Цель научной статьи – обратить внимание юридической общественности Казахстана на изменения международных стандартов и обновления в подходе к вопросам прав заключенных. В первой части статьи проводится общий обзор внесенных в Минимальные стандартные правила ООН для персонала пенитенциарных учреждений при обращении с заключенными поправок в 9 областях стандартов. Во второй части авторами осуществлен научный анализ внесенных в данный документ ООН изменений и сформулированы предвариательные выводы по ним. Третья часть статьи посвящена концептуальным вопросам имплементации минимальных стандартов обращения с заключенными в национальную сферу Казахстана. Научная и практическая значимость работы состоит в правовом анализе содержания обновленных правил. Основные результаты и выводы авторов состоят в том, что Правила Нельсона Манделы имеют огромное значение и оказывают существенное влияние на развитие политики, законодательства и практики государств во всем мире. В написании статьи использовались методы логики, формально-юридический и системный методы исследования. Ценность статьи состоит в разработке проблем пенитенциарной науки и права РК. Практическое значение итогов работы заключается в научном обосновании возможностей имплементации рассматриваемых стандартов в национальную систему РК. Ключевые слова: Правила Нельсона Манделы, международно-правовые стандарты обращения с заключенными, пенитенциарные учреждения, международное пенитенциарное право, уголовно-исполнительное законодательство РК, уголовно-исполнительная система РК.","This study analyzes the updated Nelson Mandela Rules, adopted in 2015, highlighting changes in international standards and approaches to prisoner rights, with a focus on Kazakhstan's implementation of minimum standards in its penal system."
"Special Issue: History, Medicine, and Incarceration","https://scispace.com/paper/special-issue-history-medicine-and-incarceration-r8dc6mwaitvi","","","","Louella McCarthy
Kathryn Weston
Stephen Hampton
Tobias Mackinnon","10.1353/hah.2020.0027","","2 3 4 5 6 7 https://doi. org/10.1016/S2468-2667(20)30058-X https://www.un.org/en/ events/mandeladay/mandela_rules.shtml ...","This special issue explores the intersection of history, medicine, and incarceration, examining the complex relationships between healthcare, punishment, and social justice, with a focus on historical and contemporary contexts."
"Avant-propos","https://scispace.com/paper/avant-propos-2eznrpxkcp","2018","Book Chapter","","","10.1017/9781780684994.002","","La communauté internationale a longtemps coopéré à l’élaboration de normes communes en matière de traitement des délinquants. Les efforts consentis par la Commission internationale pénale et pénitentiaire (CIPP), en collaboration avec la Société des Nations, puis le travail de la Fondation internationale pénale et pénitentiaire (FIPP), ont mené à l'adoption du premier ensemble de règles internationales en 1955, à savoir les Ensemble de règles minima pour le traitement des détenus (ERMTD). L'adoption de ces règles marque une étape déterminante dans la garantie d'un traitement fondé sur les droits pour ceux qui sont privés de liberté. ","La communauté internationale a adopté les Ensemble de règles minima pour le traitement des détenus (ERMTD) en 1955, garantissant un traitement fondé sur les droits pour les détenus."
