"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"You Can’t Handle The Truth: The Effects Of The Post-9/11 Gi Bill On Higher Education And Earnings","https://scispace.com/paper/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62","2021","Report","Research Papers in Economics","Andrew Barr
Laura Kawano
Bruce Sacerdote
William L. Skimmyhorn
Michael Stevens","10.3386/W29024","https://scispace.com/pdf/you-can-t-handle-the-truth-the-effects-of-the-post-9-11-gi-1jakdd8m62.pdf","The Post 9/11 GI Bill (PGIB) is among the largest and most generous college subsidies enacted thus far in the U.S. We examine the impact of the PGIB on veterans’ college-going, degree completion, federal education tax benefit utilization, and long run earnings. Among veterans potentially induced to enroll, the introduction of the PGIB raised college enrollment by 0.17 years and B.A. completion by 1.2 percentage points (on a base of 9 percent). But, the PGIB reduced average annual earnings nine years after separation from the Army by $900 (on a base of $32,000). Years enrolled effects are larger and earnings effects more negative for veterans with lower AFQT scores and those who were less occupationally skilled. Under a variety of conservative assumptions, veterans are unlikely to recoup these reduced earnings during their working careers. All veterans who were already enrolled in college at the time of bill passage increase their months of schooling, but only for those in public institutions did this translate into increases in bachelor’s degree attainment and longer-run earnings. For specific groups of students, large subsidies can modestly help degree completion but harm long run earnings due to lost labor market experience.","This paper examined the impact of the post 9/11 GI Bill on veterans' college-going, degree completion, federal education tax benefit utilization, and long run earnings, and found that for specific groups of students, large subsidies can modestly help degree completion but harm long-run earnings due to lost labor market experience."
"The Post-9/11 G.I. Bill: A Catalyst to Change Service Voluntary Education Programs","https://scispace.com/paper/the-post-9-11-g-i-bill-a-catalyst-to-change-service-9t1vo2nnsn","2011","","","Jonathan D Picker","","",": This research paper examines the merit of educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective. Prior to the signing of the Post-9/11 G.I. Bill into law, education benefits provided through the Veterans Administration (VA) and DoD were separate and distinct in that these education benefits were not available to the entire force, but rather to targeted groups. G.I. Bill benefits were available to enlisted members plus certain categories of officers after meeting minimum qualification standards. Tuition Assistance is available to the entire active duty force. The resulting change to Title 38 of U.S. Code from the passage of the Post- 9/11 G.I. Bill now entitles all servicemembers to educational benefits through the VA, once minimum qualifications are met. Therefore, the key question guiding this paper is whether the implementation of the Post-9/11 G.I. Bill has created a redundant funding mechanism for servicemembers despite the current and foreseeable fiscally constrained environment. Additionally, this paper examines the alignment of educational benefits to the current National Security Strategy. This topic is explored through a historical survey of applicable programs followed by a discussion of program execution in order to establish a basis for possible avenues for program improvement or changes to law.","In this article, the authors examined the educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective."
"Higher Education Benefits for Post-9/11 Military Service Members and Veterans","https://scispace.com/paper/higher-education-benefits-for-post-9-11-military-service-3x1njed86q","2015","","","Gabriella C. Gonzalez
Laura L. Miller
Peter Buryk
Jennie W. Wenger","","https://scispace.com/pdf/higher-education-benefits-for-post-9-11-military-service-3x1njed86q.pdf",": The Post-9/11 Veterans Educational Assistance Act represented the largest expansion of veterans education benefits since their origin with the enactment of the Servicemen's Readjustment Act of 1944. Modern bills reaffirm President Franklin D. Roosevelt s declaration upon signing the original legislation that educational benefits are an integral way to support service members transition into civilian life and compensate them for the sacrifices made during military service. 3 Educational benefits have also historically helped to recruit and retain individuals for voluntary military service; service members consistently acknowledge the importance of education benefits in their enlistment decisions. For example, 62 percent of service members responding to the 1999 Active-Duty Survey selected education benefits as the primary reason for enlisting in the military4 and 74 percent of active-duty military and veterans responding to a 2014 survey indicated that receipt of educational benefits was either an important or very important reason for joining the military.5 The most popular and generous educational benefit available today is the Post-9/11 GI Bill, which took effect in August of 2009. With over 1 million users as of 2014, it significantly increased the higher-education benefits available to those who served on active duty in the U.S. armed forces after September 10, 2001. With over 2 million total post- 9/11 era veterans and planned military end strength reductions in the coming years, usage of the program will likely continue to grow both in participation and cost. It is therefore vital that military personnel and veterans understand and are able to access educational benefits in order to successfully reach their educational goals and earning potential.","The most popular and generous educational benefit available today is the Post-9/11 GI Bill as mentioned in this paper, which took effect in August of 2009 and significantly increased the higher education benefits available to those who served on active duty in the U.S. armed forces after September 10, 2001."
"Higher Education Benefits for Post-9/11 Military Service Members and Veterans. Testimony. CT-428.","https://scispace.com/paper/higher-education-benefits-for-post-9-11-military-service-195127o5se","2015","Journal Article","The RAND Corporation","Gabriella C. Gonzalez
Laura L. Miller
Peter Buryk
Jennie W. Wenger","","","Abstract : The Post-9/11 Veterans Educational Assistance Act represented the largest expansion of veterans education benefits since their origin with the enactment of the Servicemen's Readjustment Act of 1944. Modern bills reaffirm President Franklin D. Roosevelt s declaration upon signing the original legislation that educational benefits are an integral way to support service members transition into civilian life and compensate them for the sacrifices made during military service. 3 Educational benefits have also historically helped to recruit and retain individuals for voluntary military service; service members consistently acknowledge the importance of education benefits in their enlistment decisions. For example, 62 percent of service members responding to the 1999 Active-Duty Survey selected education benefits as the primary reason for enlisting in the military4 and 74 percent of active-duty military and veterans responding to a 2014 survey indicated that receipt of educational benefits was either an important or very important reason for joining the military.5 The most popular and generous educational benefit available today is the Post-9/11 GI Bill, which took effect in August of 2009. With over 1 million users as of 2014, it significantly increased the higher-education benefits available to those who served on active duty in the U.S. armed forces after September 10, 2001. With over 2 million total post- 9/11 era veterans and planned military end strength reductions in the coming years, usage of the program will likely continue to grow both in participation and cost. It is therefore vital that military personnel and veterans understand and are able to access educational benefits in order to successfully reach their educational goals and earning potential.","The Post-9/11 Veterans Educational Assistance Act represented the largest expansion of veterans education benefits since their origin with the enactment of the Servicemen's Readjustment Act of 1944."
"The Labor Market Earnings of Veterans: Is Military Experience More or Less Valuable than Civilian Experience?","https://scispace.com/paper/the-labor-market-earnings-of-veterans-is-military-experience-3hjpb38nr1","2021","Journal Article","Journal of Labor Research","Christos Makridis
Christos Makridis
Barry T. Hirsch","10.1007/S12122-021-09321-Y","https://www.econstor.eu/bitstream/10419/245687/1/dp14636.pdf","We assess the labor market experiences and earnings of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects. First, we find that male and female veterans receive civilian earnings nearly equivalent to nonveteran men and women. This finding implies that military experience is valued in the labor market similarly to foregone civilian experience. Second, veterans are clustered in occupations with somewhat lower than average employment and real earnings growth, and in metropolitan areas with lower levels and growth of real GDP per capita. Third, veterans experience lower returns to formal educational investments (e.g., college) than do nonveterans. Veterans realize earnings gains from professional licenses, but their returns are lower than for nonveterans. These gains are concentrated among science, technology, engineering, and math (STEM) jobs, suggesting that veterans could help meet the growing demand for tech talent and artificial intelligence skills.","The authors assess the labor market experiences and earnings of military veterans, focusing on three major outcomes, among others, controlling for a wide array of demographic characteristics and industry and occupational fixed effects."
"From Benefits to Success: Veterans’ Educational Outcomes in the Post-9/11 Era","https://scispace.com/paper/from-benefits-to-success-veterans-educational-outcomes-in-36hzy2ljht","2020","Journal Article","Community College Journal of Research and Practice","Sammi Morrill
Patricia Somers","10.1080/10668926.2019.1629127","","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce. However, there is little empirical re...","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce as discussed by the authors, but there is little empirical evidence to support the GI Bill's benefits."
"From the Battlefield to the Schoolyard: The Short-Term Impact of the Post-9/11 GI Bill","https://scispace.com/paper/from-the-battlefield-to-the-schoolyard-the-short-term-impact-2leih4y1r3","2015","Journal Article","Journal of Human Resources","Andrew Barr","10.3368/JHR.50.3.580","","The Post-9/11 GI Bill brought about an enormous expansion in veteran education benefits, roughly doubling the average maximum benefit level and generating large variation in the magnitude of benefit expansion across states. Using this context, I explore how enrollment of older, nontraditional students responds to educational subsidies. The transition from a conditional cash transfer to a more in-kind benefit affects the relative prices of different types of education, pushing veterans to invest in more expensive (plausibly higher-quality) schooling. Using a difference-in-differences strategy, combined with state level variation in the degree of benefit expansion, I find that the higher level of benefits increased college enrollment of separated veterans by between 15 and 20 percent while also shifting the composition of enrollment toward four-year schools.","This article explored how enrollment of older, nontraditional students responds to educational subsidies and found that the higher level of benefits increased college enrollment of separated veterans by between 15 and 20 percent while also shifting the composition of enrollment toward four-year schools."
"The Effect of Veterans Benefits on Education and Earnings","https://scispace.com/paper/the-effect-of-veterans-benefits-on-education-and-earnings-400v5j6f05","1993","Journal Article","Industrial and Labor Relations Review","Joshua D. Angrist","10.1177/001979399304600404","https://www.jstor.org/stable/2524309","Veterans benefits that subsidize education and training constitute the largest federal program for student aid. Using data from the 1987 Survey of Veterans, the author presents estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings. Veterans benefits are estimated to increase schooling by roughly 1.4 years, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits. This premium appears to accrue primarily to the 77% of benefit users who attended college or graduate school. Beginning with the 1944 G.I. Bill, the federal government has subsidized education and training for veterans of the armed forces. The rationale for the original G.I. Bill was to speed the transition to peacetime production and to compensate veterans whose educational plans were interrupted by military service. Increasingly, however, veterans benefits have come to be seen as an essential","Using data from the 1987 Survey of Veterans, the authors presented estimates of the effect of veterans benefits on schooling completed since entering the military and on subsequent earnings, which implies annual earnings approximately 6% higher than would have been expected in the absence of the benefits."
"Going to War and Going to College: Did World War II and the G.I. Bill Increase Educational Attainment for Returning Veterans?","https://scispace.com/paper/going-to-war-and-going-to-college-did-world-war-ii-and-the-g-xhnefgc5pk","1999","Posted Content","Research Papers in Economics","John Bound
Sarah Turner","","","The end of World War II brought a flood of returning veterans to America's colleges and universities. Yet, despite widespread rhetoric about the democratization' of higher education that came with this large pool of students, there is little evidence about the question of whether military service, combined with the availability of post-war educational benefits, led these men to increase their investments in education - particularly at the college and university level. This paper uses the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era. Using census data, our results indicate that the net effects of military service and the widely available funding for college through the G.I. Bill led to a moderate gain in the postsecondary educational attainment of World War II veterans.","The authors used the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era."
"Going to War and Going to College: Did World War Ii and the G.I. Bill Increase Educational Attainment for Returning Veterans?","https://scispace.com/paper/going-to-war-and-going-to-college-did-world-war-ii-and-the-g-4iv4axqfa5","1999","Posted Content","Social Science Research Network","John Bound
John Bound
Sarah Turner
Sarah Turner","","","The end of World War II brought a flood of returning veterans to America's colleges and universities. Yet, despite widespread rhetoric about the democratization' of higher education that came with this large pool of students, there is little evidence about the question of whether military service, combined with the availability of post-war educational benefits, led these men to increase their investments in education - particularly at the college and university level. This paper uses the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era. Using census data, our results indicate that the net effects of military service and the widely available funding for college through the G.I. Bill led to a moderate gain in the postsecondary educational attainment of World War II veterans.","This article used the structure of the draft during the World War II period and the changing manpower requirements in the armed forces to address the effects of selection in comparisons of the educational attainment of veterans and nonveterans in this era."
