"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The veteran employees: recruitment, career development, engagement, and job satisfaction of veterans transitioning to the civilian workforce","https://scispace.com/paper/the-veteran-employees-recruitment-career-development-55av3cyg8n","2020","Journal Article","New Directions for Adult and Continuing Education","Yvonne Hunter-Johnson
Yuanlu Niu
Sharlene Smith
Brandi Whitaker
Rehshetta Wells
Aynur Charkasova","10.1002/ACE.20389","","The transitioning of veterans, specifically as mature workers, from the military world to the civilian world, and by extension, the civilian workforce is the ultimate career transition. Despite their motivation and resilience, veterans still encounter a multiplicity of challenges when transitioning to the civilian workforce, which quite often has a rippling impact on their attainment of employment, career development, employee engagement, and job satisfaction within the civilian sector. On this premise, the purpose of this conceptual paper is two-fold: (a) discuss veterans' career transitional challenges as civilian employees, specifically, recruitment, career development, engagement, and job satisfaction, and (b) from a Human Resource Development perspective, provide strategies, interventions, and/or best practices for recruiting, developing, engaging, and satisfying the veteran employee in the civilian workforce.","In this paper, the authors discuss veterans' career transitional challenges as civilian employees, specifically, recruitment, career development, engagement, and job satisfaction, and provide strategies, interventions, and/or best practices for recruiting, developing, engaging, and satisfying the veteran employee in the civilian workforce."
"The Post-9/11 G.I. Bill: A Catalyst to Change Service Voluntary Education Programs","https://scispace.com/paper/the-post-9-11-g-i-bill-a-catalyst-to-change-service-9t1vo2nnsn","2011","","","Jonathan D Picker","","",": This research paper examines the merit of educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective. Prior to the signing of the Post-9/11 G.I. Bill into law, education benefits provided through the Veterans Administration (VA) and DoD were separate and distinct in that these education benefits were not available to the entire force, but rather to targeted groups. G.I. Bill benefits were available to enlisted members plus certain categories of officers after meeting minimum qualification standards. Tuition Assistance is available to the entire active duty force. The resulting change to Title 38 of U.S. Code from the passage of the Post- 9/11 G.I. Bill now entitles all servicemembers to educational benefits through the VA, once minimum qualifications are met. Therefore, the key question guiding this paper is whether the implementation of the Post-9/11 G.I. Bill has created a redundant funding mechanism for servicemembers despite the current and foreseeable fiscally constrained environment. Additionally, this paper examines the alignment of educational benefits to the current National Security Strategy. This topic is explored through a historical survey of applicable programs followed by a discussion of program execution in order to establish a basis for possible avenues for program improvement or changes to law.","In this article, the authors examined the educational benefits provided to military servicemembers through DoD Tuition Assistance and through the Post-9/11 G.I. Bill from a whole-of-government perspective."
"From Benefits to Success: Veterans’ Educational Outcomes in the Post-9/11 Era","https://scispace.com/paper/from-benefits-to-success-veterans-educational-outcomes-in-36hzy2ljht","2020","Journal Article","Community College Journal of Research and Practice","Sammi Morrill
Patricia Somers","10.1080/10668926.2019.1629127","","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce. However, there is little empirical re...","The Post-9/11 GI Bill provides unprecedented federal funding for veterans to attend post-secondary education and make the transition to the civilian workforce as discussed by the authors, but there is little empirical evidence to support the GI Bill's benefits."
"The Military Spouse Education and Career Opportunities Program","https://scispace.com/paper/the-military-spouse-education-and-career-opportunities-y1gwwfynva","2016","","","Gabriella C. Gonzalez
Laura L. Miller
Thomas E. Trail","","","Abstract : In 2007, the U.S. Department of Defense (DoD)s Military Community and Family Policy office established a portfolio of initiatives under the Spouse Education and Career Opportunities (SECO) program. These initiatives include career counseling services available through the SECO Call Center at Military OneSource; scholarships for testing, education, and training for portable career fields through the My Career Advancement Account Scholarship; avenues to connect spouses with potential employers through the Military Spouse Employment Partnership; and efforts by the DoD State Liaison Office to improve the portability of occupational licenses and credentials across state lines and to expand unemployment compensation eligibility to military spouses following their service members permanent change of station moves.","In 2007, the U.S. Department of Defense (DoD)s Military Community and Family Policy office established a portfolio of initiatives under the Spouse Education and Career Opportunities (SECO) program as discussed by the authors."
"(Dis)honorably discharged: identifying policy gaps in military–civilian reintegration","https://scispace.com/paper/dis-honorably-discharged-identifying-policy-gaps-in-military-4n1oa3hgz5","2024","Journal Article","","Tavis Reid
Kaitlyn M Sims","10.1093/haschl/qxae021","","Abstract Despite the substantial transition assistance available for honorably separating servicemembers, 75% of US veterans report difficulties with the transition to civilian life. For the 16% of veterans who separate with less-than-honorable discharges, these difficulties are compounded by the lack of structural support from the US military. Social stigma, limited transition programming, and loss of benefits create a perfect storm of barriers for these discharged servicemembers. These barriers compound with post-service mental and physical health challenges to contribute to cycles of misconduct that can result in criminal incarceration. Further, because most of these veterans lack health benefits from the Department of Veterans Affairs due to their discharge status, this population is substantially understudied from a public health perspective. However, actionable policy paths forward and federal policy change offer opportunity to soften the landing for these veterans and meet their legitimate needs for care.","Lack of structural support for dishonorably discharged veterans creates significant barriers to reintegration into civilian life, leading to mental and physical health challenges and potential criminal involvement."
"FACILITATING VETERANS' ACADEMIC SUCCESS: Veterans Integration to Academic Leadership (VITAL) Initiative","https://scispace.com/paper/facilitating-veterans-academic-success-veterans-integration-1gurta3a97","2014","Journal Article","The Career Planning and Adult Development Journal","Shannon E. McCaslin
Jessica Thiede
Trisha Vinatieri
Holly Passi
Kristin Bull Lyon
D. Aaron Ahern
Keith Armstrong
Kai Chitaphong","","","Unprecedented numbers of veterans are enrolling in higher education programs after the passing of the Post-9/11 GI Bill in 2008, a significant percentage of whom could benefit from additional support in their transition from military to academic life. Given this need, there is an imperative to forge partnerships between Federal and community organizations and institutions. Partnerships with college and university campuses provide an opportunity to create community collaboration, to overcome barriers to care, and ultimately, to provide convenient services and resources to support the transition from military service to the college campus. In 2011, the Department of Veterans Affairs implemented the Veterans Integration to Academic Leadership (VITAL) initiative. VITAL increases access to resources and treatment through on-campus clinical services and establishing connections between VA Medical Centers and academic settings. This article describes potential challenges and needs of military service members transitioning to the college setting and how the VITAL initiative is addressing them. Increasing numbers of Veterans are pursuing higher education. In fiscal year 2012, almost 1 million Veterans and military Service members attended school using VA educational benefits (Department of Veterans Affairs, 2012). Post 9/11 recipients comprised 68 per cent of beneficiaries. An additional 59,387 Veterans enrolled in college or vocational training through the Vocational Rehabilitation & Employment (VRE Cook & Kim, 2009; Rumann & Hamrick, 2009, 2010). In addi- tion to transitional stressors, a significant number also experience mental health challenges, with depression and PTSD being the most frequently reported (Ackerman et al., 2009; Bryan, Bryan, Hinkson, Bichrest, & Ah- ern, 2014; Rudd, Goulding, & Bryan, 2011; Rumann & Hamrick, 2010; Vance & Miller, 2009). Academic settings may not be fully equipped to aid student Veterans transitioning to academia. Faculty, staff, and admin- istrators may have limited exposure to military culture, putting them at a disadvantage in terms of understanding and serving student Veterans' needs (Rumann & Hamrick, 2009). This is reflected in student Veteran reports of feeling that their experiences are not understood by faculty (DiRamio, Ackerman, & Mitchell, 2008). Increasing awareness of these education and service gaps has triggered calls for improved mental health and support services for student Veterans on campus (Ackerman et al., 2009; U.S. Department of Education, 2013). The Secretary of Veterans Affairs recently highlighted the importance of collaboration among VA, Veterans, and community partners, such as colleges and universities, in order to best serve Veterans' needs (Department of Veterans Affairs, 2014). …","The Veterans Integration to Academic Leadership (VITAL) initiative as mentioned in this paper was developed by the U.S. Department of Veterans Affairs to support the transition from military service to academic life."
"Veteran Employment: Lessons from the 100,000 Jobs Mission","https://scispace.com/paper/veteran-employment-lessons-from-the-100-000-jobs-mission-50lrtd4j4f","2014","Book","","Kimberly Curry Hall
Margaret C. Harrell
Barbara Bicksler
Robert Stewart
Michael P. Fisher","","https://scispace.com/pdf/veteran-employment-lessons-from-the-100-000-jobs-mission-50lrtd4j4f.pdf","Eleven companies cofounded the 100,000 Jobs Mission in 2011 to promote veteran employment. The coalition has grown to more than 175 member companies, representing almost every U.S. industry. These companies have hired more than 190,000 veterans as of September 2014, already far exceeding the original goal. RAND interviewed member companies to capture lessons and experiences and to identify further improvements to veteran employment opportunities.","The 100,000 Jobs Mission (100K Jobs Mission) as discussed by the authors was founded to promote the employment of veterans in the U.S. The coalition has grown to more than 175 member companies, representing almost every U. S. industry and employing more than 190,000 veterans."
"Veteran Employment: Lessons from the 100,000 Jobs Mission","https://scispace.com/paper/veteran-employment-lessons-from-the-100000-jobs-mission-5fi5aus8ebr7","","","","Kimberly Curry Hall
Margaret Harrell
Barbara Bicksler
Robert Stewart
Michael Fisher","10.7249/rr836","","Eleven companies cofounded the 100,000 Jobs Mission in 2011 to promote veteran employment. The coalition has grown to more than 175 member companies, representing almost every U.S. industry. These companies have hired more than 190,000 veterans as of September 2014, already far exceeding the original goal. RAND interviewed member companies to capture lessons and experiences and to identify further improvements to veteran employment opportunities.","The 100,000 Jobs Mission, a coalition of 175+ US companies, has hired over 190,000 veterans by 2014, exceeding its goal, and RAND research identifies lessons and areas for improvement in promoting veteran employment opportunities across various industries."
"Soldier to Engineer: From the Battlefield to the Classroom","https://scispace.com/paper/soldier-to-engineer-from-the-battlefield-to-the-classroom-3exirbq94z","2011","","","Stephanie Adams
Rosalyn S. Hobson","","https://scispace.com/pdf/soldier-to-engineer-from-the-battlefield-to-the-classroom-3exirbq94z.pdf","With the passage of the Post-9/11 Veterans Education Assistance Act of 2008 it is expected that more veterans will consider pursuing a college education upon their separation from the military. This expectation means, “higher education must act immediately to develop programs that more effectively promote access and success for this underrepresented group.” 2 It also means “a seamless transition from the battlefield to the classroom is needed.” In November 2008 the American Council of Education (ACE) released an Issue Brief, entitled Serving Those Who Serve: Higher Education and American’s Veterans. In this report, ACE, identified the issues facing higher education “on the cusp of serving more than 2 million military veterans as they return from the Afghanistan and Iraq wars.” 2 The Issue Brief also identified “factors that positively affect veteran participation in higher education—namely, greater access to accurate and timely information; streamlined processes for accessing education benefits; academic credit for military training and experience; and transitional support programs on college campuses.” 2 Based on focus groups conducted by ACE, veteran’s reported finding institutions that recognize their military training and experience during the admissions process was difficult. They return from serving our country with weeks, hours and months of military course credit, on-the-job training only to be told there is little to no equivalency for their experience as it relates to pursuing an engineering degree. In many cases veterans were compared to traditional students and given little to no credit for “the range of experiences and leadership skills the veteran will bring.” This paper presents the efforts of the authors to understand and propose a system to shorten the time to degree in Engineering at the bachelor’s level. Utilizing existing resources such as American Council on Education College Credit for Military Experience and the DANTES College Credit-by-Examination Programs the authors will provide strategies to determine equivalencies for courses in the engineering curriculum. Schools and colleges of engineering must actively and aggressively look at their curricula and find ways to make engineering more attractive to Post 9/11 Veterans.","In this paper, the authors presented the efforts of the authors to understand and propose a system to shorten the time to degree in Engineering at the bachelor's level. But, they did not provide strategies to determine equivalencies for courses in the engineering curriculum."
"Matching Military Skills to Civilian Jobs: Does Military Training Enhance Veteran's Civilian Wage Rates?","https://scispace.com/paper/matching-military-skills-to-civilian-jobs-does-military-4cvgt47gkc","1995","","","Karl R. Olsen","","",": This thesis statistically analyzes the transferability of military skills to civilian job markets and the relationship between acquired military training and civilian wages. It also assesses the extent to which military training is utilized by veterans currently employed in the civilian labor force and analyzes the process by which veterans assimilate into the civilian work force, including the role geographic migration plays in this process. The relationship between veteran status and post-service civilian wages is examined using linear regression methods. The models test the existence of either a veterans premium or penalty with respect to civilian earnings as a function of various military training, occupation, background, and other variables. Results show that veterans receive a significant wage premium over their civilian counterparts. Additionally, veterans who use their military training in their current civilian job receive higher wages than either non-veterans or veterans who do not use their military skills in civilian occupations.","In this paper, the authors analyzed the transferability of military skills to civilian job markets and the relationship between acquired military training and civilian wages and found that veterans receive a significant wage premium over their civilian counterparts."
