State,Incarceration_Rate_per_100k,Total_Incarcerated,Rank,Source
Louisiana,1094,50800,1,Prison Policy Initiative (2024)
Mississippi,1031,30800,2,Prison Policy Initiative (2024)
Oklahoma,993,39500,3,Prison Policy Initiative (2024)
Arkansas,991,30200,4,Prison Policy Initiative (2024)
Arizona,948,77000,5,Prison Policy Initiative (2024)
Texas,940,243000,6,Prison Policy Initiative (2024)
Kentucky,930,41300,7,Prison Policy Initiative (2024)
Missouri,919,56400,8,Prison Policy Initiative (2024)
Alabama,911,44700,9,Prison Policy Initiative (2024)
Georgia,901,96000,10,Prison Policy Initiative (2024)
