State,State_Population_2024,Prison_Population,Percentage_Incarcerated,Incarceration_Rate_per_100k,Region,Source
Louisiana,4573749,50800,1.1107,1110.7,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Mississippi,2939690,30800,1.0477,1047.7,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Arizona,7431344,77000,1.0362,1036.2,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
District of Columbia,678972,7000,1.031,1031.0,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Oregon,4233358,43000,1.0157,1015.7,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Wyoming,584057,5900,1.0102,1010.2,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Hawaii,1435138,14400,1.0034,1003.4,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Nevada,3194176,32000,1.0018,1001.8,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
New Mexico,2114371,21100,0.9979,997.9,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Alaska,733406,7300,0.9954,995.4,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Montana,1122867,11100,0.9885,988.5,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Arkansas,3067732,30200,0.9844,984.4,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
North Dakota,783926,7700,0.9822,982.2,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
New Hampshire,1402054,13700,0.9771,977.1,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Oklahoma,4053824,39500,0.9744,974.4,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Rhode Island,1095962,10600,0.9672,967.2,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Maine,1395722,13400,0.9601,960.1,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Vermont,647464,6200,0.9576,957.6,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Washington,7812880,74000,0.9472,947.2,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Utah,3417734,32000,0.9363,936.3,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Kentucky,4526154,41300,0.9125,912.5,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Missouri,6196156,56400,0.9102,910.2,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Alabama,5108468,44700,0.875,875.0,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Georgia,11029227,96000,0.8704,870.4,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
West Virginia,1770071,15200,0.8587,858.7,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Tennessee,7126489,58000,0.8139,813.9,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
South Dakota,919318,7400,0.8049,804.9,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Texas,30503301,243000,0.7966,796.6,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Kansas,2940546,23000,0.7822,782.2,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Indiana,6862199,52700,0.768,768.0,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Florida,22610726,172000,0.7607,760.7,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Massachusetts,6981974,52000,0.7448,744.8,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Ohio,11785935,87600,0.7433,743.3,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
South Carolina,5373555,39500,0.7351,735.1,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
North Carolina,10835491,76000,0.7014,701.4,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Virginia,8715698,60800,0.6976,697.6,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Nebraska,1978379,13700,0.6925,692.5,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Pennsylvania,12961683,87600,0.6758,675.8,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Idaho,1964726,13200,0.6718,671.8,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Wisconsin,5910955,39200,0.6632,663.2,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Delaware,1031890,6800,0.659,659.0,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Michigan,10037261,63200,0.6297,629.7,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Colorado,5877610,36500,0.621,621.0,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Iowa,3207004,17600,0.5488,548.8,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Illinois,12549689,68000,0.5418,541.8,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
California,38965193,210000,0.5389,538.9,West,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Maryland,6164660,32600,0.5288,528.8,South,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Connecticut,3617176,18200,0.5032,503.2,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
New York,19571216,97000,0.4956,495.6,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
New Jersey,9290841,40200,0.4327,432.7,Northeast,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
Minnesota,5737915,22000,0.3834,383.4,Midwest,U.S. Census Bureau (2024); Prison Policy Initiative (2024)
